,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,11330,11879,12244,15899,23026,29605,16863,21681,20677,22886,24893
1,Market Cap Growth,-25.29%,-25.29%,-46.83%,-46.30%,36.55%,36.55%,-18.45%,-5.26%,-16.94%,-36.67%,-50.40%
2,Last Close Price,0.31,0.33,0.34,0.43,0.63,0.81,0.84,1.08,1.03,1.14,1.19
3,PE Ratio,4.30,4.51,4.62,5.35,7.17,8.80,4.58,6.36,6.38,8.53,8.73
4,PS Ratio,0.81,0.85,0.82,0.94,1.41,2.17,1.18,1.57,1.50,1.83,1.87
5,PB Ratio,0.13,0.11,0.11,0.15,0.22,0.27,0.22,0.29,0.29,0.35,0.38
6,P/FCF Ratio,1.23,-,-0.98,-,0.80,-,-0.47,-,-,-,11.91
7,P/OCF Ratio,1.22,-,-1.06,-,0.77,-,-0.48,-,-,-,7.44
8,Debt / Equity Ratio,3.19,3.19,3.50,3.58,3.66,3.19,3.41,2.72,3.34,3.04,3.32
9,Debt / FCF Ratio,36.68,-,-29.84,-,13.45,-,-7.34,-,-,-,102.92
10,Earnings Yield,23.26%,29.56%,28.98%,24.19%,17.92%,14.16%,25.95%,18.91%,18.96%,14.68%,14.22%
11,FCF Yield,81.49%,77.73%,-102.14%,-98.12%,125.16%,116.78%,-210.81%,-419.72%,-242.51%,-89.53%,8.39%
12,Buyback Yield / Dilution,-0.00%,-,-0.00%,-60.16%,-82.07%,-13.68%,-,-,-,-,-
13,Total Shareholder Return,-0.00%,-,-0.00%,-60.16%,-82.07%,-13.68%,-,-,-,-,-
