,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,276.05,473.12,693.56,465.87,-
1,Short-Term Investments,243.96,330.19,243.8,567.15,-
2,Trading Asset Securities,519.09,469.34,461.6,43.5,-
3,Cash & Short-Term Investments,1039,1273,1399,1077,-
4,Cash Growth,-25.72%,18.22%,-,-,-
5,Accounts Receivable,54.64,63.5,5.32,1.34,-
6,Other Receivables,8.63,13.47,10.78,2.78,-
7,Receivables,63.27,76.97,16.1,4.12,-
8,Inventory,64.72,45.31,20.94,20,-
9,Other Current Assets,43.01,21.38,44.05,44.8,-
10,Total Current Assets,1210,1416,1480,1145,-
11,"Property, Plant & Equipment",223.36,226.01,217.28,229.01,-
12,Other Intangible Assets,8.2,7.81,8.03,0.6,-
13,Long-Term Accounts Receivable,9.29,9.97,10.63,11.27,-
14,Other Long-Term Assets,24.32,14.95,41.87,30.23,-
15,Total Assets,1508,1707,1789,1447,-
16,Accounts Payable,4.66,20.29,0.24,-,-
17,Accrued Expenses,21.03,34.84,14.27,17.88,-
18,Short-Term Debt,130.33,89.41,69.42,-,-
19,Current Portion of Long-Term Debt,40,40,-,-,-
20,Current Portion of Leases,12.06,11.37,7.74,8.83,-
21,Current Income Taxes Payable,1.03,1.34,0.92,0.96,-
22,Current Unearned Revenue,-,0.4,0.4,-,-
23,Other Current Liabilities,28.67,57.13,38.37,49.73,-
24,Total Current Liabilities,237.78,254.79,131.35,77.4,-
25,Long-Term Debt,40,60,-,2570,-
26,Long-Term Leases,41.67,42.97,41.09,45.3,-
27,Long-Term Unearned Revenue,-,-,-,0.4,-
28,Total Liabilities,319.44,357.76,172.43,2693,-
29,Common Stock,0.04,0.04,0.04,0.01,-
30,Additional Paid-In Capital,4686,4686,4689,259.16,-
31,Retained Earnings,-3151,-2950,-2626,-986.11,-
32,Comprehensive Income & Other,-347.1,-387.02,-446.68,-519.37,-
33,Shareholders' Equity,1188,1349,1616,-1246,-
34,Total Liabilities & Equity,1508,1707,1789,1447,-
35,Total Debt,264.06,243.76,118.24,2624,-
36,Net Cash (Debt),775.03,1029,1281,-1548,-
37,Net Cash Growth,-39.48%,-,-,-,-
38,Net Cash Per Share,2.54,3.37,12.37,-19.33,-
39,Filing Date Shares Outstanding,304.74,304.02,304.02,80.05,80.05
40,Total Common Shares Outstanding,304.74,304.02,304.02,80.05,80.05
41,Working Capital,972.32,1162,1349,1068,-
42,Book Value Per Share,3.90,4.44,5.32,-15.57,-
43,Tangible Book Value,1180,1341,1608,-1247,-
44,Tangible Book Value Per Share,3.87,4.41,5.29,-15.58,-
45,Machinery,-,74.31,-,52.9,-
46,Construction In Progress,-,2.48,-,7.23,-
47,Leasehold Improvements,-,148.69,-,136.38,-
