,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,95.58,103.28,34.34,10.71,0.66
1,Revenue Growth (YoY),178.30%,864.51%,5119.30%,-,-
2,Cost of Revenue,45.24,53.53,13.08,3.22,0.21
3,Gross Profit,50.34,49.75,21.26,7.49,0.45
4,"Selling, General & Admin",171.09,248.23,145.97,89.26,47.12
5,Research & Development,99.01,125.57,90.14,97.29,83.46
6,Operating Expenses,270.09,374.56,236.11,186.56,130.59
7,Operating Income,-219.76,-324.81,-214.85,-179.07,-130.13
8,Interest Expense,-4.85,-2.76,-1.72,-1.12,-0.61
9,Interest & Investment Income,7.35,10.55,12.87,14.17,3.21
10,Currency Exchange Gain (Loss),1.23,-6.88,27.68,20.89,53.09
11,Other Non Operating Income (Expenses),4.53,2.64,-14.7,-12.59,-4.25
12,EBT Excluding Unusual Items,-211.49,-321.27,-190.72,-157.72,-78.69
13,Gain (Loss) on Sale of Investments,10.56,-2.15,4.62,5.94,1.73
14,Other Unusual Items,-,-,-1454,-152.45,-174.65
15,Pretax Income,-200.93,-323.42,-1640,-304.22,-251.61
16,Net Income,-200.93,-323.42,-1640,-304.22,-251.61
17,Net Income to Common,-200.93,-323.42,-1640,-304.22,-251.61
18,Shares Outstanding (Basic),305,306,104,80,80
19,Shares Outstanding (Diluted),305,306,104,80,80
20,Shares Change (YoY),194.26%,281.87%,29.37%,-,-
21,EPS (Basic),-0.66,-1.06,-15.84,-3.80,-3.14
22,EPS (Diluted),-0.66,-1.06,-15.84,-3.80,-3.14
23,Free Cash Flow,-255.91,-238.73,-198.31,-214.31,-156.23
24,Free Cash Flow Per Share,-0.84,-0.78,-1.91,-2.68,-1.95
25,Operating Margin,-229.93%,-314.49%,-625.59%,-1672.30%,-19777.20%
26,Profit Margin,-210.23%,-313.15%,-4776.34%,-2841.08%,-38239.06%
27,Free Cash Flow Margin,-267.76%,-231.15%,-577.44%,-2001.40%,-23743.62%
28,EBITDA,-205.2,-309.41,-199.4,-172.88,-125.55
29,D&A For EBITDA,14.56,15.4,15.45,6.19,4.59
30,EBIT,-219.76,-324.81,-214.85,-179.07,-130.13
