,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2019,Q1 2019,Q2 2018,Q1 2018,Q1 2015,Q3 2014,Q1 2014,Q3 2013
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013"
0,Market Capitalization,1956000,1932000,1632000,2016000,2364000,2376000,2496000,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-18.69%,-18.69%,-34.62%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Last Close Price,16300.00,16100.00,13600.00,16800.00,19700.00,19800.00,20800.00,-,-,-,-,-,-,-,-,-,-
3,PE Ratio,16.65,15.43,14.56,20.37,25.61,27.74,37.20,-,-,-,-,-,-,-,-,-,-
4,PS Ratio,8.92,8.27,8.21,12.32,13.10,12.05,14.26,-,-,-,-,-,-,-,-,-,-
5,PB Ratio,1.23,1.21,1.03,1.32,1.55,1.62,1.70,-,-,-,-,-,-,-,-,-,-
6,Debt / Equity Ratio,1.32,1.32,1.32,0.69,0.69,0.27,0.27,-,-,0.48,-,-,0.51,-,-,-,-
7,Asset Turnover,0.07,0.08,0.08,-,0.07,-,-,-,-,-,-,-,-,-,-,-,
8,Quick Ratio,0.57,0.57,0.57,1.06,1.06,3.04,3.04,-,-,72.58,-,-,-,4.63,4.09,-,-
9,Current Ratio,1.34,1.34,1.34,1.07,1.07,3.06,3.06,-,-,74.30,-,-,-,4.66,4.10,-,-
10,Return on Equity (ROE),8.56%,8.75%,7.50%,-,5.70%,-,-,-,-,-,-,-,-,-,-,-,
11,Return on Assets (ROA),3.66%,4.30%,4.37%,-,4.42%,-,-,-,-,-,-,-,-,-,-,-,
12,Earnings Yield,6.40%,6.48%,6.87%,4.91%,3.91%,3.61%,2.69%,-,-,-,-,-,-,-,-,-,-
13,FCF Yield,-100.37%,-101.62%,-104.03%,-71.05%,-47.92%,-35.07%,-14.98%,-,-,-,-,-,-,-,-,-,-
14,Buyback Yield / Dilution,-104.05%,-63.38%,-63.38%,-191.88%,-191.88%,-697.33%,-4386.68%,-,-,-,-,-,-,-,-,-,-
15,Total Shareholder Return,-104.05%,-63.38%,-63.38%,-191.88%,-191.88%,-697.33%,-4386.68%,-,-,-,-,-,-,-,-,-,-
