,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2019,Q1 2019,Q2 2018,Q1 2018,Q1 2015,Q3 2014,Q1 2014,Q3 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013"
0,Cash & Equivalents,157302,157302,151486,151486,405904,405904,-,-,105068,-,-,-,39759,41549,-,-
1,Trading Asset Securities,111684,111684,156093,156093,159493,159493,-,-,55676,-,-,-,-,-,-,-
2,Accounts Receivable,172.34,172.34,-,-,322.45,322.45,-,-,-,-,-,-,-,-,-,-
3,Other Receivables,947681,947681,837426,837426,711123,711123,-,-,79604,-,-,-,101866,106875,-,-
4,"Property, Plant & Equipment",3729,3729,2792,2792,859.33,859.33,-,-,238.7,-,-,-,1585,1342,-,-
5,Other Intangible Assets,6786,6786,4618,4618,5276,5276,-,-,-,-,-,-,654.71,1033,-,-
6,Investments in Debt & Equity Securities,850000,850000,1439000,1439000,600000,600000,-,-,64000,-,-,-,15477,16602,-,-
7,Other Current Assets,1632857,1632857,10753,10753,6722,6722,-,-,5701,-,-,-,977.99,652.13,-,-
8,Other Long-Term Assets,11358,11358,8764,8764,6567,6567,-,-,2476,-,-,-,2296,1788,-,-
9,Total Assets,3721571,3721571,2610932,2610932,1896268,1896268,-,-,312763,-,-,-,162616,169842,-,-
10,Accounts Payable,1005,1005,208.26,208.26,889.06,889.06,-,-,-,-,-,-,23.82,91.67,-,-
11,Accrued Expenses,14271,14271,11576,11576,10910,10910,-,-,1698,-,-,-,659.62,781.55,-,-
12,Short-Term Debt,2100000,2100000,1058000,1058000,400000,400000,-,-,-,-,-,-,-,-,-,-
13,Other Current Liabilities,1005,1005,124.88,124.88,1303,1303,-,-,20.29,-,-,-,29517,34992,-,-
14,Long-Term Debt,-,-,-,-,-,-,-,-,100000,-,-,-,-,-,-,-
15,Long-Term Deferred Tax Liabilities,7168,7168,4743,4743,5251,5251,-,-,-,-,-,-,-,-,-,-
16,Total Liabilities,2130685,2130685,1088143,1088143,425365,425365,-,-,103312,-,-,-,30573,36322,-,-
17,Common Stock,1200000,1200000,1200000,1200000,1200000,1200000,-,-,200000,-,-,-,135000,135000,-,-
18,Retained Earnings,390886,390886,322789,322789,270903,270903,-,-,9451,-,-,-,-2957,-1480,-,-
19,Shareholders' Equity,1590886,1590886,1522789,1522789,1470903,1470903,-,-,209451,-,-,137844,132043,133520,-,-
20,Total Liabilities & Equity,3721571,3721571,2610932,2610932,1896268,1896268,-,-,312763,-,-,-,162616,169842,-,-
21,Total Debt,2100000,2100000,1058000,1058000,400000,400000,-,-,100000,-,-,70000,-,-,-,-
22,Net Cash (Debt),-1831013,-1831013,-750421,-750421,165398,165398,-,-,60744,-,-,40610,39759,41549,-,-
23,Net Cash Growth,-,-,-,-,172.29%,-,-,-,52.78%,-,-,-,-,-,-,-
24,Net Cash Per Share,-13084.01,-13084.01,-6481.88,-6481.88,1930.97,1930.97,-,-,5654.37,-,-,-,-,-,-,-
25,Filing Date Shares Outstanding,120,120,115.77,115.77,85.66,85.66,39.66,39.66,10.74,1.91,-,-,-,-,-,-
26,Total Common Shares Outstanding,120,120,115.77,115.77,85.66,85.66,39.66,39.66,10.74,1.91,-,-,-,-,-,-
27,Working Capital,726181,726181,72358,72358,863451,863451,-,-,242737,-,-,-,112030,112754,-,-
28,Book Value Per Share,13257.38,13257.38,13153.33,13153.33,17172.34,17172.34,-,-,19496.94,-,-,10210.66,-,-,-,-
29,Tangible Book Value,1584100,1584100,1518171,1518171,1465627,1465627,-,-,209451,-,-,137739,131389,132487,-,-
30,Tangible Book Value Per Share,13200.83,13200.83,13113.45,13113.45,17110.75,17110.75,-,-,19496.94,-,-,10202.88,-,-,-,-
