,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2019,Q1 2019,Q2 2018,Q1 2018,Q1 2015,Q3 2014,Q1 2014,Q3 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Jun '18 Jun 30, 2018","Mar '18 Mar 31, 2018","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013"
0,Interest and Dividend Income,1096,1096,50.11,50.11,0,0,0,0,129.67,117.38,55.47,35.31,242.12,5048,3023,372.11
1,Total Interest Expense,15945,15945,5820,5820,553.97,553.97,145.6,145.6,2503,2503,1457,1647,-,-,-,-
2,Net Interest Income,-14849,-14849,-5770,-5770,-553.97,-553.97,-145.6,-145.6,-2374,-2386,-1401,-1612,242.12,5048,3023,372.11
3,Brokerage Commission,11853,11853,12558,12558,12287,12287,10359,10359,1998,2876,3051,2178,981.46,1310,1344,562.83
4,Trading & Principal Transactions,-849.68,-849.68,-,-,-695.32,-695.32,-,-,-,-,-,-,-,-,-,-
5,Asset Management Fee,1080,1080,1091,1091,1247,1247,397.5,397.5,111.5,328.48,1187,959.32,-,-,-,-
6,Underwriting & Investment Banking Fee,-354.58,-354.58,354.58,354.58,577.7,577.7,477.39,477.39,235.81,201.82,98.6,319.87,-,-,-,-
7,Gain on Sale of Investments (Rev),43237,43237,20187,20187,2446,2446,45647,45647,2685,1451,336.75,804.83,-,-,-,-
8,Other Revenue,26258,26258,22061,22061,16046,16046,10523,10523,6447,4740,2965,2347,3375,2428,2607,3038
9,Revenue,66375,66375,50482,50482,31355,31355,67258,67258,9104,7211,6237,4997,4599,8786,6975,3973
10,Revenue Growth (YoY),111.69%,111.69%,-24.94%,-24.94%,244.42%,334.80%,978.43%,1245.92%,97.96%,-17.92%,-10.58%,25.78%,-,-,-,-
11,Cost of Services Provided,21886,21886,17338,17338,16816,16816,11944,11944,4835,4984,4697,5107,6351,4706,4009,4376
12,Other Operating Expenses,52.27,52.27,-52.27,-52.27,226.22,226.22,-226.22,-226.22,-,-,-,-,-,-,-,-
13,Total Operating Expenses,21967,21967,17286,17286,16780,16780,11718,11718,4835,4984,4697,5107,6351,4706,4009,4376
14,Operating Income,44408,44408,33196,33196,14575,14575,55540,55540,4269,2227,1540,-110.05,-1752,4080,2966,-402.97
15,Other Non-Operating Income (Expenses),1657,1657,5707,5707,11478,11478,10776,10776,2888,1575,877.89,896.39,-,-,-,-
16,EBT Excluding Unusual Items,46065,46065,38903,38903,26053,26053,66316,66316,7157,3803,2417,786.34,-1752,4080,2966,-402.97
17,Gain (Loss) on Sale of Investments,-3713,-3713,-3211,-3211,156.87,156.87,-38948,-38948,-3848,-2020,-7901,-3958,-,-,-,-
18,Pretax Income,42352,42352,35692,35692,26210,26210,27367,27367,3265,1761,-5662,-3261,-1752,4080,2966,-402.97
19,Income Tax Expense,8304,8304,7154,7154,5257,5257,5493,5493,874.08,1536,-,260.03,-,-,-,-
20,Net Income,34048,34048,28538,28538,20953,20953,21875,21875,2391,224.7,-5662,-3521,-1752,4080,2966,-402.97
21,Net Income to Common,34048,34048,28538,28538,20953,20953,21875,21875,2391,224.7,-5662,-3521,-1752,4080,2966,-402.97
22,Net Income Growth,62.50%,62.50%,30.46%,30.46%,776.33%,9224.92%,-,-,-,-94.49%,-,-,-,-,-,-
23,Shares Outstanding (Basic),140,140,116,116,86,86,40,40,11,2,-,-,-,-,-,-
24,Shares Outstanding (Diluted),140,140,116,116,86,86,40,40,11,2,-,-,-,-,-,-
25,Shares Change (YoY),63.38%,63.38%,191.88%,191.88%,697.33%,4386.68%,-,-,-,-,-,-,-,-,-,-
26,EPS (Basic),243.30,243.30,246.50,246.50,244.62,244.62,551.50,551.50,222.57,117.70,-,-,-,-,-,-
27,EPS (Diluted),243.30,243.30,246.50,246.50,244.62,244.62,551.50,551.50,222.57,117.70,-,-,-,-,-,-
28,EPS Growth,-0.54%,-0.54%,-55.30%,-55.30%,9.91%,107.84%,-,-,-,-,-,-,-,-,-,-
29,Free Cash Flow,-741118,-741118,-240547,-240547,-475594,-475594,58989,58989,-16328,-16328,-20976,-20976,-11926,-,15597,-
30,Free Cash Flow Per Share,-5295.86,-5295.86,-2077.77,-2077.77,-5552.41,-5552.41,1487.24,1487.24,-1519.91,-8552.76,-,-,-,-,-,-
31,Operating Margin,66.91%,66.91%,65.76%,65.76%,46.48%,46.48%,82.58%,82.58%,46.89%,30.89%,24.69%,-2.20%,-38.11%,46.44%,42.52%,-10.14%
32,Profit Margin,51.30%,51.30%,56.53%,56.53%,66.83%,66.83%,32.52%,32.52%,26.26%,3.12%,-90.79%,-70.46%,-38.11%,46.44%,42.52%,-10.14%
33,Free Cash Flow Margin,-1116.56%,-1116.56%,-476.50%,-476.50%,-1516.82%,-1516.82%,87.71%,87.71%,-179.36%,-226.42%,-336.33%,-419.76%,-259.34%,-,223.62%,-
34,Effective Tax Rate,19.61%,19.61%,20.04%,20.04%,20.06%,20.06%,20.07%,20.07%,26.77%,87.24%,-,-,-,-,-,-
35,Revenue as Reported,83170,83170,56302,56302,32604,32604,67404,67404,11607,9715,7694,6644,-,-,-,-
