,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,12279,18368,8828,6738,26931,2791,33993,9428,27835,63551,34835,35388,150192,29363,99428,11574,80012,27603,153544,7467,Upgrade
1,Revenue Growth (YoY),-54.41%,558.04%,-74.03%,-28.53%,-3.25%,-95.61%,-2.42%,-73.36%,-81.47%,116.43%,-64.96%,205.75%,87.71%,6.38%,-35.24%,55.00%,403.93%,-47.46%,208.46%,-83.16%,Upgrade
2,Cost of Revenue,13655,11653,8659,6141,8893,2978,12382,5268,9290,30115,16206,6657,64695,15426,49235,9419,47317,8557,97470,7102,Upgrade
3,Gross Profit,-1376,6715,168.85,597.11,18037,-186.35,21611,4159,18544,33437,18630,28731,85497,13937,50193,2156,32695,19046,56074,365.49,Upgrade
4,"Selling, General & Admin",13120,50368,9973,9961,17936,13932,15796,14159,15858,20153,11745,15901,26075,16449,11139,15026,17532,13201,12852,13429,Upgrade
5,Operating Expenses,13120,50368,9973,9961,17936,13932,15796,14159,15858,20153,11745,15901,26075,16449,11139,15026,17532,13201,12852,13429,Upgrade
6,Operating Income,-14496,-43653,-9804,-9364,101.58,-14118,5814,-10000,2686,13284,6885,12830,59422,-2512,39053,-12870,15163,5845,43221,-13064,Upgrade
7,Interest Expense,-,-14311,-97999,-13196,-22071,-14292,-16370,-14156,-11707,-8788,-9003,-6312,-11128,-7743,-9245,-7080,-11909,-4229,-5508,-5033,Upgrade
8,Interest & Investment Income,-,7153,356704,7696,-,7485,7211,7712,6461,5057,3826,2103,3426,455.08,564.59,560.67,523.23,749.26,541.82,312.49,Upgrade
9,Earnings From Equity Investments,-260.38,-138.64,-91.65,-68.3,229.53,-50.02,-111.75,359.38,-644.75,-94.18,272.03,548.13,141.57,206.7,1168,-307.5,807.57,-20.67,1050,-1027,Upgrade
