,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,619891,672272,829613,781934,780980,809588,826752,650340,365220,380518,696112,629361,1597243,1306402,705648,550215,540679,488232,411946,409085,333752,Upgrade
1,Market Cap Growth,0.35%,-16.96%,0.35%,20.23%,113.84%,112.76%,18.77%,3.33%,-77.13%,-70.87%,-1.35%,14.38%,195.41%,167.58%,71.30%,34.50%,62.00%,26.42%,6.14%,-17.18%,-36.35%,Upgrade
2,Enterprise Value,865101,837653,1680229,1628477,1564677,1545777,1440162,1231841,835632,717452,994095,827633,2027175,1639992,1184626,952051,970870,859206,732078,629046,578054,Upgrade
3,Last Close Price,6500.00,7050.00,8197.11,7726.01,7716.59,7999.25,8168.84,6425.78,3608.61,3759.36,6878.03,5774.77,14655.67,11987.03,6037.75,4707.82,4626.22,4177.47,3524.74,3500.27,2855.69,Upgrade
4,PE Ratio,3.80,-,5.10,-,-,-950.31,-,238.06,-,-,6.45,6.72,14.92,15.81,-,67.75,-,37.66,14.29,12.21,-,Upgrade
5,PS Ratio,10.17,14.55,13.63,17.27,11.09,11.07,11.17,4.82,2.69,2.35,2.45,2.52,5.08,4.50,3.20,2.52,1.98,1.82,2.01,1.78,2.66,Upgrade
6,PB Ratio,0.54,0.61,0.72,0.80,0.78,0.79,0.82,0.64,0.36,0.37,0.68,0.58,1.48,1.22,0.68,0.53,0.53,0.47,0.40,0.40,0.33,Upgrade
7,P/TBV Ratio,0.74,0.65,0.74,0.84,0.82,0.84,0.92,0.71,0.41,0.42,0.77,0.66,1.70,1.41,0.79,0.61,0.63,0.56,0.48,0.48,0.41,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,137.32,-,39.05,-,-3.15,-,-,-,3.69,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,107.10,-,38.45,-,-3.16,-,-,-,3.66,Upgrade
10,EV/Sales Ratio,14.21,18.13,27.61,35.96,22.21,21.13,19.45,9.14,6.16,4.44,3.50,3.31,6.45,5.64,5.38,4.35,3.56,3.20,3.58,2.74,4.60,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-108.88,-,76.80,-,18.05,10.38,10.29,17.92,18.64,-,17.36,-,14.57,14.37,11.12,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-84.93,-,104.53,-,20.11,10.76,10.80,18.63,19.74,-,20.17,-,16.79,16.91,12.86,-,Upgrade
13,EV/FCF Ratio,-1.33,-,-,-,-,-,-,-,-,-,-,-,174.29,-,65.56,-,-5.66,-,-,-,6.39,Upgrade
14,Debt / Equity Ratio,0.46,0.40,0.46,0.87,0.84,0.78,0.74,0.61,0.53,0.53,0.38,0.35,0.29,0.49,0.37,0.46,0.40,0.44,0.38,0.35,0.24,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,177.61,-,23.08,-,32.13,6.87,12.34,5.81,2.18,-,2.96,-,5.89,15.34,2.02,-,Upgrade
