,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,189927,362091,14187,4291,20699,13313,19720,-,87088,61759,94424,129766,105825,54686,7335,15383,5654,19425,39968,17431,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Upgrade
2,Trading Asset Securities,131.69,131.69,131.69,131.69,131.69,131.69,131.69,-,131.69,131.69,131.69,131.69,131.69,131.69,131.69,2132,2132,5132,5132,131.75,Upgrade
3,Cash & Short-Term Investments,190059,362222,14319,4422,20830,13445,19852,87220,87220,61890,94556,129898,105957,54818,7466,17515,7785,24556,45100,22563,Upgrade
4,Cash Growth,812.41%,2594.14%,-27.87%,-94.93%,-76.12%,-78.28%,-79.01%,-32.85%,-17.68%,12.90%,1166.45%,641.65%,1260.99%,123.23%,-83.45%,-22.37%,-81.58%,11.76%,-91.26%,-47.80%,Upgrade
5,Accounts Receivable,17184,19372,19028,25430,25015,34094,33869,-,30374,38175,30344,26662,29237,42174,39208,39563,40240,37268,34590,50030,Upgrade
6,Other Receivables,703401,697841,470556,561992,218624,479414,149303,-,125294,77160,76176,22797,29494,23770,203123,347314,184943,371683,338560,341125,Upgrade
7,Receivables,854944,849944,641965,784348,458616,513508,183173,-,271614,200135,213320,125259,134031,66631,259602,406834,244453,426875,399288,406030,Upgrade
8,Inventory,234077,207615,1073203,1072971,1071945,1192713,1192142,-,1021165,380619,405981,412282,418723,905381,909464,763312,760234,784986,869657,693097,Upgrade
9,Prepaid Expenses,147.18,159.25,144.19,147.81,160.34,45.27,43.7,-,3.97,5.54,10.83,695.62,712.79,205.4,351.77,458.79,58.09,308.1,294.36,526.33,Upgrade
10,Other Current Assets,56764,138494,73936,83469,355963,273137,493033,-,455796,973396,990124,950920,983473,944809,713751,626698,775376,435319,351072,357177,Upgrade
11,Total Current Assets,1335992,1558436,1803567,1945358,1907515,1992849,1888244,-,1835800,1616046,1703992,1619054,1642896,1971845,1890634,1814818,1787906,1672045,1665411,1479394,Upgrade
12,"Property, Plant & Equipment",152003,153130,153779,153115,153643,36379,37111,-,60650,59673,48117,67218,67518,69008,69880,72374,71494,72409,73487,74612,Upgrade
13,Long-Term Investments,133251,133511,135650,135741,135810,152645,155195,-,185041,178185,178279,178007,177459,48218,48011,44843,45151,39343,39364,38638,Upgrade
14,Goodwill,61962,40406,43515,46623,49731,93355,98847,-,109830,115321,120812,126304,131795,137287,142778,148270,153761,159253,164744,170236,Upgrade
15,Long-Term Deferred Tax Assets,8082,8238,10003,9972,9935,10020,9981,-,9838,9927,10854,8425,9764,11971,11701,8425,8425,8425,8425,8425,Upgrade
16,Other Long-Term Assets,142082,147561,141430,11864,12298,15144,15492,-,17245,61076,24355,26903,21623,26460,30350,23450,23515,125034,28768,20134,Upgrade
17,Total Assets,1930772,2138682,2385343,2400073,2366331,2397791,2302269,-,2242856,2041596,2087778,2025912,2051055,2264790,2193356,2112179,2090253,2076509,1980199,1791439,Upgrade
18,Accounts Payable,2749,2905,2774,2889,2945,4564,5409,-,17798,2572,2591,2953,2946,259105,109508,4609,2380,77697,69270,4098,Upgrade
19,Accrued Expenses,115660,281280,14353,16654,67340,259912,91040,-,89382,23045,92900,17872,117118,25210,100406,21331,89940,59095,37539,18373,Upgrade
20,Short-Term Debt,434263,526049,853221,839253,792802,737372,620999,-,546627,387794,362046,317199,525152,380970,452095,412076,431874,388440,322645,194978,Upgrade
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,19500,-,-,-,27000,-,29000,-,39000,35000,Upgrade
22,Current Income Taxes Payable,-,37601,181.36,512.86,683.41,5008,6031,-,11751,13434,9468,4590,24066,9236,9144,12133,12176,9163,11815,5114,Upgrade
23,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56268,-,Upgrade
24,Other Current Liabilities,280556,134157,530203,533813,480838,385944,554165,-,554863,588872,513713,604147,312785,552544,448207,642023,485268,510135,416079,527762,Upgrade
