,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q4 2020,Q1 2020,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Cash & Equivalents,65504,43341,60206,-,83645,43607,32700,-,47757,-,-,-,557298,19401,-,11319,34033
1,Short-Term Investments,748160,261675,540782,-,369310,-,-,-,-,-,-,-,1.28,101270,-,11776,5515
2,Trading Asset Securities,-,-,-,-,-,-,-,-,979867,-,-,-,-,-,-,-,-
3,Accounts Receivable,113843,47378,37002,-,70334,25246,26279,-,24401,-,-,-,237.06,35213,-,16874,53643
4,Other Receivables,974143,1169067,1057594,-,1450918,3401653,160030,-,97130,-,-,-,1452924,1420588,-,465932,404270
5,Inventory,24654,19068,18954,-,15512,22740,35883,-,12729,-,-,-,-,6918,-,48702,58644
6,Prepaid Expenses,2935,5450,2884,-,1180,906.53,653.81,-,784.48,-,-,-,190.39,468.32,-,683.31,670.13
7,Loans Receivable Current,-,-,-,-,-,-,2954687,-,2125927,-,-,-,-,-,-,-,-
8,Other Current Assets,26808,29851,27361,-,875802,27277,29303,-,28455,-,-,-,20683,34202,-,24632,25912
9,Total Current Assets,1956046,1575831,1744783,-,2866701,3521429,3239535,-,3317050,-,-,-,2031334,1618060,-,579917,582687
10,"Property, Plant & Equipment",659530,659887,672249,-,693932,731560,742601,-,756594,-,-,-,12188,1040671,-,974269,920316
11,Goodwill,50462,52893,55324,-,60186,33131,39652,-,43385,-,-,-,-,80977,-,58720,12907
12,Other Intangible Assets,15813,17611,20588,-,37941,26513,27151,-,29010,-,-,-,-,77402,-,77886,79238
13,Long-Term Investments,5739578,6119237,5969012,-,4925584,4732899,4381269,-,4323502,-,-,-,1668229,1119250,-,1024673,1042807
14,Long-Term Deferred Tax Assets,86531,86809,88061,-,88061,86111,86111,-,83050,-,-,-,-,17058,-,17182,15950
15,Other Long-Term Assets,164214,163599,164576,-,161491,164961,216367,-,221659,-,-,-,12507,180178,-,167060,7059
16,Total Assets,8672174,8675866,8714593,-,8833896,9296605,8732686,-,8774251,-,-,-,3724259,4133596,-,2899708,2660965
17,Accounts Payable,5440,3014,3617,-,8171,4187,3063,-,4661,-,-,-,72.47,38596,-,28004,18853
