,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q4 2020,Q1 2020,Q4 2019,Q4 2018
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Revenue,190810,120219,163477,124513,137664,96492,56485,56485,73625,70782,75083,75083,3856,78671,3880,50786,83810
1,Revenue Growth (YoY),38.61%,24.59%,189.42%,120.44%,86.98%,36.32%,-24.77%,-24.77%,1809.42%,-10.03%,1834.92%,47.84%,-95.40%,-,-,-,-
2,"Selling, General & Admin",31876,16348,18017,17569,20581,16310,14996,14996,22172,17309,12837,12837,1396,10690,1084,12277,10459
3,Other Operating Expenses,69668,66963,76910,67725,93604,48027,32011,32011,35457,36836,32886,32886,4077,33051,4193,38110,71982
4,Total Operating Expenses,101543,83311,94927,85294,114185,64337,47007,47007,57629,54145,45723,45723,5473,43741,5277,50387,82441
5,Operating Income,89266,36907,68550,39219,23479,32155,9478,9478,15996,16636,29360,29360,-1617,34929,-1397,398.88,1369
6,Interest Expense,-88519,-102109,-84481,-91081,-99114,-108593,-108810,-108810,-112585,-118475,-118557,-118557,-22835,-33926,-4073,-22189,-18014
7,Interest Income,54939,319853,34727,41933,77741,78016,77993,77993,74524,97000,203653,203653,3622,27063,456.14,11579,11129
8,Net Interest Expense,-33579,217744,-49754,-49148,-21373,-30577,-30816,-30816,-38061,-21475,85096,85096,-19213,-6863,-3617,-10610,-6885
9,Income (Loss) on Equity Investments,74759,-54104,129102,130013,190166,144509,73072,73072,-9286,117460,89974,89974,-,-3534,-,39359,-39311
10,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-8.39,-8.39,-,-,-,-,-
