,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q4 2020,Q1 2020,Q4 2019,Q4 2018
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Market Capitalization,3036468,2544646,2801249,2886783,3485523,3399989,3464140,3228920,2437728,2544646,3784893,3849060,9266255,-,-,-,-,-
1,Market Cap Growth,-25.16%,-25.16%,-19.14%,-10.60%,42.98%,33.61%,-8.47%,-16.11%,-73.69%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6355696,6491068,6671832,7135410,7734150,8609077,8367747,7510419,6130985,6237903,8338284,5347456,10764651,-,-,-,-,-
3,PE Ratio,7.26,6.35,6.18,6.36,8.92,10.96,-57.76,-60.77,111.10,-,14.24,22.88,112.71,-,-,-,-,-
4,PS Ratio,5.42,4.25,5.13,5.53,8.40,9.79,12.24,12.55,8.83,8.64,16.84,16.54,57.38,-,-,-,-,-
5,PB Ratio,0.73,0.56,0.64,0.68,0.86,0.84,0.87,0.84,0.64,0.67,-,-,2.48,-,-,-,-,-
6,P/FCF Ratio,8.58,7.19,-6.30,-,-,-,3.72,-7.67,-2.88,-2.00,-,-,-,-,-,-,-,-
7,P/OCF Ratio,6.72,6.72,-6.36,-,-,-,3.55,-8.43,-3.02,-2.07,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,11.35,10.84,12.22,13.67,18.63,24.80,29.56,29.18,22.22,21.18,37.09,22.98,66.66,-,-,-,-,-
9,EV/EBITDA Ratio,11.23,20.64,26.51,28.80,42.04,57.58,63.61,67.29,46.37,40.82,68.08,38.81,118.37,-,-,-,-,-
10,EV/EBIT Ratio,13.10,27.75,39.68,43.67,74.13,115.42,124.69,145.58,85.78,68.28,113.08,58.10,175.68,-,-,-,-,-
11,EV/FCF Ratio,17.96,18.34,-15.00,-,-,-,8.99,-17.85,-7.25,-4.91,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.84,0.84,0.90,0.98,1.08,1.08,1.20,1.16,1.20,1.20,-,-,1.15,2.07,0.90,-,0.42,0.43
13,Debt / EBITDA Ratio,13.23,8.61,17.19,11.66,18.50,23.49,22.62,44.95,46.02,39.84,-,-,23.62,-,9.09,-,13.95,13.21
14,Debt / FCF Ratio,10.66,10.66,-8.79,-,-,-,5.14,-10.65,-5.42,-3.61,-,-,-,-,-,-,-,-
15,Quick Ratio,2.13,4.11,0.87,0.56,-,0.54,1.83,0.15,-,1.37,-,-,-,1.10,3.55,-,1.09,1.19
16,Current Ratio,4.23,4.23,0.90,0.58,-,0.78,1.86,2.21,-,3.95,-,-,-,1.11,3.64,-,1.25,1.39
17,Asset Turnover,0.09,0.06,-,-,0.06,0.04,-,-,-,-,-,-,0.00,-,-,-,-,
18,Return on Equity (ROE),14.04%,12.07%,8.47%,9.48%,18.82%,13.57%,0.88%,-,-,-,-,-,-5.33%,-,-,-,-,
19,Return on Assets (ROA),2.57%,1.06%,-,-,0.65%,0.89%,-,-,-,-,-,-,-0.10%,-,-,-,-,
20,Return on Capital (ROIC),2.70%,1.11%,2.04%,1.16%,0.68%,0.94%,0.28%,-,-,-,-,-,-0.12%,-,-,-,-,
21,Return on Capital Employed (ROCE),2.49%,2.85%,2.43%,2.87%,-,1.44%,0.91%,0.71%,-,1.15%,-,-,-,-,0.96%,-,0.07%,0.06%
22,Earnings Yield,13.77%,15.75%,16.19%,15.72%,11.21%,9.13%,-1.73%,-1.65%,0.90%,3.81%,7.02%,4.37%,0.89%,-,-,-,-,-
23,Earnings Yield,13.77%,15.75%,16.19%,15.72%,11.21%,9.13%,-1.73%,-1.65%,0.90%,3.81%,7.02%,4.37%,0.89%,-,-,-,-,-
24,FCF Yield,11.66%,13.91%,-15.88%,-22.48%,-3.74%,11.41%,26.87%,-13.03%,-34.70%,-49.94%,-54.37%,-19.36%,-8.01%,-,-,-,-,-
25,Payout Ratio,6.30%,11.57%,-,8.67%,6.87%,6.17%,-,61.21%,61.21%,-,3.31%,0.01%,0.01%,-,-,-,-,-
26,Buyback Yield / Dilution,-0.13%,-0.54%,-0.11%,-0.12%,-152.90%,-0.02%,0.17%,0.15%,-,-,-2.04%,-,-2.02%,-,-,-,-,-
27,Total Shareholder Return,-0.13%,-0.54%,-0.11%,-0.12%,-152.90%,-0.02%,0.17%,0.15%,-,-,-2.04%,-,-2.02%,-,-,-,-,-
