,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,121,192,233,236,383,435,310,192,192,142,173,Upgrade
1,Market Cap Growth,-18.92%,-18.92%,-39.17%,-45.59%,23.71%,126.67%,61.67%,34.83%,11.11%,-77.18%,-80.00%,Upgrade
2,Enterprise Value,104,180,209,200,343,389,265,147,149,101,145,Upgrade
3,Last Close Price,0.38,0.60,0.73,0.74,1.20,1.36,0.97,0.60,0.60,0.45,0.54,Upgrade
4,PE Ratio,-,-15.05,-,-,340.57,-42.17,-,-,-,-,-,Upgrade
5,Forward PE,-,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,Upgrade
6,PS Ratio,1.50,2.37,2.95,2.50,4.07,4.06,3.16,5.29,-,2.34,-,Upgrade
7,PB Ratio,2.04,3.21,4.01,3.22,4.92,5.43,3.81,2.08,1.89,1.21,1.45,Upgrade
8,P/TBV Ratio,3.21,3.21,4.01,3.22,4.92,5.43,3.81,2.54,1.90,1.58,1.46,Upgrade
9,P/FCF Ratio,53.92,85.14,-,-,-515.43,-,-,101.88,-,39.57,-,Upgrade
10,P/OCF Ratio,70.57,70.57,-,-,188.35,-,112.15,77.85,-,33.12,-,Upgrade
11,EV/Sales Ratio,1.29,2.22,2.64,2.12,3.64,3.63,2.70,4.05,-,1.66,-,Upgrade
12,EV/EBITDA Ratio,-,-15.92,-,-,-,-50.67,-,-,-,14.85,-,Upgrade
13,EV/EBIT Ratio,-,-13.54,-,-,-,-45.69,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,46.34,79.78,-,-,-461.28,-,-,77.95,-,28.01,-,Upgrade
15,Debt / Equity Ratio,0.10,0.10,0.14,0.04,0.05,0.05,0.07,0.08,0.10,0.02,0.04,Upgrade
16,Debt / FCF Ratio,2.72,2.72,-,-,-5.44,-,-,4.08,-,0.55,-,Upgrade
17,Return on Capital Employed (ROCE),-,-21.27%,-,-,-,-10.59%,-,-,-,-,-,Upgrade
18,Earnings Yield,-10.49%,-6.65%,-8.24%,-1.42%,0.29%,-2.37%,-6.88%,-5.68%,-,-0.68%,-,Upgrade
19,FCF Yield,1.85%,1.17%,-5.62%,-3.16%,-0.19%,-0.62%,0.60%,0.98%,-,2.53%,-,Upgrade
