,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,1131,1300,1241,2037,1722,1755,1534,1515,1535,1688,Upgrade
1,Short-Term Investments,113.11,152.14,33.77,336.5,94.7,98.52,263.03,79.54,0.28,76.78,Upgrade
2,Trading Asset Securities,818.43,54.16,508.59,118.74,193.57,379.52,470.37,490.14,191.69,56.56,Upgrade
3,Cash & Short-Term Investments,2063,1506,1783,2492,2010,2234,2267,2085,1727,1821,Upgrade
4,Cash Growth,15.68%,-39.58%,-11.29%,11.59%,-11.35%,7.13%,31.28%,14.48%,-10.06%,27.21%,Upgrade
5,Accounts Receivable,3991,4269,3589,3372,3048,3301,2164,2052,2010,2396,Upgrade
6,Other Receivables,257.2,294.64,387.04,250.63,396.49,264.91,296.01,318.6,211.67,341.93,Upgrade
7,Receivables,4250,4566,3976,3622,3445,3566,2460,2371,2222,2738,Upgrade
8,Inventory,450.89,480.71,468.67,114.5,60.99,36.43,18.89,12.75,33.86,33.45,Upgrade
9,Prepaid Expenses,2.27,3.19,-,2.2,-,1.31,-,-,-,-,Upgrade
10,Other Current Assets,81.89,69.59,68.57,74.02,75.82,77.75,74.82,39.68,64.68,64.17,Upgrade
11,Total Current Assets,6848,6625,6297,6305,5592,5915,4822,4508,4048,4656,Upgrade
12,"Property, Plant & Equipment",505.3,516.36,508.87,548.07,569.33,551.29,456.43,415.14,337.49,225.31,Upgrade
13,Long-Term Investments,48.52,831.71,441.86,102.47,188.66,204.06,224.25,217.96,201.78,192.81,Upgrade
14,Goodwill,30.55,30.55,30.55,30.55,30.55,30.55,30.55,30.55,30.55,30.55,Upgrade
15,Other Intangible Assets,300.67,313.83,312.04,331.3,349.01,422.22,294.49,268.95,105.33,108.29,Upgrade
16,Other Long-Term Assets,-,-,-,-,-,-,-,-,57.96,55.88,Upgrade
17,Total Assets,7733,8318,7592,7321,6732,7126,5830,5443,4781,5269,Upgrade
18,Accounts Payable,294.44,421.88,405.13,586.66,409.34,420.03,405.84,316.06,129.24,394.4,Upgrade
19,Short-Term Debt,31.98,19.59,66.29,132.65,160.83,187.54,225.03,136.7,267.05,119.94,Upgrade
20,Current Portion of Long-Term Debt,142.97,215.47,287.83,175.92,229.35,617.68,550.37,376.97,41.95,250.32,Upgrade
21,Current Portion of Leases,28.17,29.22,25.36,27.05,29.42,25.59,20.42,23.04,14.54,20.84,Upgrade
22,Current Income Taxes Payable,77.89,201.52,110.92,230.9,136.29,82.43,49.94,32.54,54.45,174.92,Upgrade
23,Current Unearned Revenue,715.52,555.14,581.09,512.75,569.13,405.7,366.36,568.71,813.93,779.72,Upgrade
24,Other Current Liabilities,3934,4057,3483,3442,3231,3501,2492,2326,2095,2299,Upgrade
25,Total Current Liabilities,5225,5500,4960,5107,4765,5240,4110,3780,3416,4040,Upgrade
26,Long-Term Debt,23,355.12,355.12,23,23,23,23,23,10.95,13.91,Upgrade
27,Long-Term Leases,27.82,39.58,33.44,42.86,14.43,22.91,22.68,28.6,4.31,8.19,Upgrade
28,Long-Term Deferred Tax Liabilities,5.75,5.75,5.75,5.75,5.75,18.47,5.75,5.75,5.75,5.75,Upgrade
29,Other Long-Term Liabilities,12.47,14.93,13.51,15.5,14.41,15.63,15.74,16.8,15.74,16.89,Upgrade
30,Total Liabilities,5294,5916,5368,5195,4823,5320,4177,3854,3453,4084,Upgrade
31,Common Stock,124.19,124.19,124.19,124.19,124.19,124.19,124.19,124.19,124.19,124.19,Upgrade
32,Additional Paid-In Capital,14.19,14.19,14.19,14.19,14.19,14.19,14.19,14.19,14.19,14.19,Upgrade
33,Retained Earnings,2391,2342,2168,2048,1813,1688,1541,1481,1249,1100,Upgrade
34,Comprehensive Income & Other,-112.07,-103.62,-109.92,-93.72,-78.95,-60.92,-68.44,-38.31,-64.64,-59.64,Upgrade
35,Total Common Equity,2417,2376,2197,2093,1873,1766,1611,1581,1323,1178,Upgrade
