,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1167,1254,1428,1267,1043,1018,1167,1378,1242,1006,1105,Upgrade
1,Market Cap Growth,-0.98%,-0.98%,36.90%,24.39%,-10.64%,-26.13%,-6.00%,37.04%,12.36%,-22.86%,11.25%,Upgrade
2,Enterprise Value,-619,433,441,-791,-473,-219,-217,-110,-141,-395,-480,Upgrade
3,Last Close Price,0.94,0.98,1.03,0.88,0.66,0.64,0.68,0.81,0.68,0.55,0.57,Upgrade
4,PE Ratio,3.14,3.38,3.02,2.61,2.40,2.94,3.96,3.64,2.82,2.95,3.73,Upgrade
5,PS Ratio,0.09,0.10,0.11,0.10,0.08,0.09,0.12,0.16,0.16,0.13,0.15,Upgrade
6,PB Ratio,0.48,0.51,0.59,0.57,0.49,0.53,0.65,0.83,0.78,0.76,0.93,Upgrade
7,P/TBV Ratio,0.60,0.60,0.70,0.68,0.60,0.68,0.89,1.07,0.97,0.85,1.06,Upgrade
8,P/FCF Ratio,4.64,-,7.18,-,1.03,4.62,-,5.92,-12.51,-,-,Upgrade
9,P/OCF Ratio,3.89,3.89,5.63,-,0.94,2.55,-,3.49,9.39,-,-,Upgrade
10,EV/Sales Ratio,0.03,0.03,0.04,-,-,-,-,-,-,-,-,Upgrade
11,EV/EBITDA Ratio,0.70,0.70,0.52,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,0.81,0.81,0.58,-,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-2.46,-,2.21,-,-,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.10,0.10,0.27,0.35,0.19,0.24,0.49,0.51,0.37,0.26,0.35,Upgrade
15,Debt / FCF Ratio,1.01,-,3.31,-,0.40,2.07,-,3.61,-5.93,-,-,Upgrade
16,Return on Capital Employed (ROCE),21.38%,21.38%,27.06%,25.06%,24.59%,23.08%,18.39%,16.70%,20.03%,29.37%,29.38%,Upgrade
17,Earnings Yield,31.82%,29.62%,33.16%,38.32%,41.64%,34.01%,25.23%,27.51%,35.50%,33.95%,26.82%,Upgrade
18,FCF Yield,21.54%,20.05%,13.94%,31.73%,97.17%,21.64%,-17.34%,16.90%,-7.99%,-29.62%,47.28%,Upgrade
19,Dividend Yield,11.70%,11.25%,11.63%,4.53%,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,11.70%,11.25%,11.63%,4.53%,-,-,-,-,-,-,-,Upgrade
