,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,181,216,252,368,336,504,-,-
1,Market Cap Growth,-41.30%,-41.30%,-25.00%,-26.98%,-,-,-,-
2,Enterprise Value,130,144,141,243,294,453,-,-
3,Last Close Price,0.23,0.27,0.32,0.46,0.42,0.63,-,-
4,PE Ratio,-,-,-89.35,-,11.91,13.97,-,-
5,PS Ratio,0.91,1.09,1.20,2.17,1.03,1.20,-,-
6,PB Ratio,0.77,0.92,1.04,1.56,1.33,1.97,-,-
7,P/TBV Ratio,0.92,0.92,1.04,1.56,1.33,1.97,-,-
8,P/FCF Ratio,-,-,-,-,-,6.65,-,-
9,P/OCF Ratio,-,-,-,-,-,6.52,-,-
10,EV/Sales Ratio,0.66,0.73,0.67,1.43,0.90,1.08,-,-
11,EV/EBITDA Ratio,-,-,-57.40,-,8.49,9.82,-,-
12,EV/EBIT Ratio,-,-,-,-,9.49,10.74,-,-
13,EV/FCF Ratio,-2.21,-,-,-,-,5.97,-,-
14,Debt / Equity Ratio,0.09,0.09,0.14,-,-,0.05,0.17,-
15,Debt / FCF Ratio,-,-,-,-,-,0.16,0.62,-
16,Return on Capital Employed (ROCE),-,-,-,-,12.21%,16.37%,40.38%,-
17,Earnings Yield,-0.57%,-0.48%,-1.12%,0.33%,8.40%,7.16%,-,-
18,FCF Yield,-32.55%,-27.25%,-19.62%,-6.42%,3.19%,15.04%,-,-
19,Buyback Yield / Dilution,0.03%,-,0.07%,-33.09%,-33.42%,-0.18%,-,-
20,Total Shareholder Return,0.03%,-,0.07%,-33.09%,-33.42%,-0.18%,-,-
