,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,67.17,95.12,102.9,110.28,45.93,58.58,-
1,Cash & Short-Term Investments,67.17,95.12,102.9,110.28,45.93,58.58,-
2,Cash Growth,-34.72%,-13.74%,124.05%,88.26%,-,-,-
3,Accounts Receivable,135.35,149.76,111.45,115.89,155.87,145.08,-
4,Other Receivables,7.19,2.37,7.27,2.97,88.88,1.22,-
5,Receivables,142.54,152.13,118.72,118.86,244.75,146.3,-
6,Inventory,50.73,57.73,71.99,55.72,38.9,50.1,-
7,Restricted Cash,2.81,13.49,2.9,11.51,26.17,6.26,-
8,Other Current Assets,0.48,0.63,0.46,0.65,0.26,3.88,-
9,Total Current Assets,263.73,319.09,296.97,297.01,356,265.12,-
10,"Property, Plant & Equipment",43.5,24.86,23.65,24.21,25.83,27.48,-
11,Other Intangible Assets,0.08,0.09,0.11,0.12,0.13,0.13,-
12,Long-Term Deferred Tax Assets,2.33,1.84,0.74,0.85,1.1,0.99,-
13,Other Long-Term Assets,-,19.25,-,0.58,-,-,-
14,Total Assets,309.65,365.14,321.47,322.77,383.06,293.73,-
15,Accounts Payable,67.41,107.08,94.98,85.24,138.9,124.64,-
16,Accrued Expenses,2.62,5.66,4.83,10.25,10.02,9.03,-
17,Short-Term Debt,19.8,30,-,-,10.01,16.81,-
18,Current Portion of Leases,-,-,-,-,0.02,0.04,-
19,Current Income Taxes Payable,-,0.35,0.7,2.61,4.08,1.82,-
20,Other Current Liabilities,0.3,0.26,0.45,0.27,0.24,38.72,-
21,Total Current Liabilities,90.14,143.34,100.96,98.38,163.28,191.06,-
22,Long-Term Unearned Revenue,1.56,1.58,1.61,1.63,1.65,1.67,-
23,Total Liabilities,91.7,144.93,102.56,100,164.93,192.73,-
24,Common Stock,6.84,6.84,6.84,6.84,6.84,-,-
25,Additional Paid-In Capital,89.98,89.98,89.98,89.98,90.33,-,-
26,Retained Earnings,61.13,63.39,62.08,65.95,60.96,41,-
27,Comprehensive Income & Other,60,60,60,60,60,60,-
28,Shareholders' Equity,217.95,220.21,218.91,222.77,218.13,101,-
29,Total Liabilities & Equity,309.65,365.14,321.47,322.77,383.06,293.73,-
30,Total Debt,19.8,30,-,-,10.03,16.85,-
31,Net Cash (Debt),47.37,65.12,102.9,110.28,35.89,41.73,-
32,Net Cash Growth,-53.97%,-40.95%,186.69%,164.30%,-,-,-
33,Net Cash Per Share,0.06,0.08,0.13,0.14,0.06,0.07,-
34,Filing Date Shares Outstanding,800,800,800,800,800,600,600
35,Total Common Shares Outstanding,800,800,800,800,800,600,600
36,Working Capital,173.59,175.75,196.02,198.64,192.72,74.06,-
37,Book Value Per Share,0.27,0.28,0.27,0.28,0.27,0.17,-
38,Tangible Book Value,217.86,220.12,218.8,222.65,218,100.86,-
39,Tangible Book Value Per Share,0.27,0.28,0.27,0.28,0.27,0.17,-
40,Buildings,-,20.84,-,19.04,-,19.04,-
41,Machinery,-,21.36,-,20.01,-,19.94,-
