,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,57.06,127.31,63.63,93.43,195.53,162.31,208
1,Revenue Growth (YoY),-10.33%,36.26%,-67.46%,-42.44%,-6.00%,-,-
2,Cost of Revenue,52.03,114.92,58.43,76.88,151.64,131.39,157.14
3,Gross Profit,5.03,12.4,5.2,16.55,43.89,30.92,50.87
4,"Selling, General & Admin",9.82,14.9,11,19.12,19.95,21.16,21.35
5,Other Operating Expenses,-1.42,-2.26,-0.85,-5.91,-0.12,-2.15,-0.03
6,Operating Expenses,8.41,12.64,10.16,13.22,19.83,19.01,21.33
7,Operating Income,-3.38,-0.24,-4.96,3.33,24.06,11.92,29.54
8,Interest Expense,-0.45,-0.57,-,-0.01,-0.21,-0.28,-0.55
9,Interest & Investment Income,0.75,0.73,1.05,0.95,0.51,0.77,0.61
10,Currency Exchange Gain (Loss),0.02,-0.09,0.18,1.08,-0.72,0.1,-0.05
11,EBT Excluding Unusual Items,-3.06,-0.17,-3.73,5.35,23.65,12.51,29.55
12,Gain (Loss) on Sale of Assets,-0.06,0.03,-0.03,-,-,0,-
13,Pretax Income,-3.11,-0.14,-3.75,5.35,23.65,12.52,29.55
14,Income Tax Expense,-0.85,-1.45,0.11,0.36,3.68,1.69,4.69
15,Net Income,-2.26,1.3,-3.86,4.99,19.97,10.82,24.87
16,Net Income to Common,-2.26,1.3,-3.86,4.99,19.97,10.82,24.87
17,Net Income Growth,-,-73.85%,-,-53.93%,-19.70%,-,-
18,Shares Outstanding (Basic),800,800,800,801,601,600,600
19,Shares Outstanding (Diluted),800,800,800,801,601,600,600
20,Shares Change (YoY),-,-0.07%,33.09%,33.42%,0.18%,-,-
21,EPS (Basic),-0.00,0.00,-0.00,0.01,0.03,0.02,0.04
22,EPS (Diluted),-0.00,0.00,-0.00,0.01,0.03,0.02,0.04
23,EPS Growth,-,-73.83%,-,-65.47%,-19.85%,-,-
24,Free Cash Flow,-17.5,-37.27,-7.6,-14.27,23.76,40.95,-13.59
25,Free Cash Flow Per Share,-0.02,-0.05,-0.01,-0.02,0.04,0.07,-0.02
26,Operating Margin,-5.92%,-0.19%,-7.79%,3.57%,12.30%,7.34%,14.20%
27,Profit Margin,-3.97%,1.02%,-6.07%,5.34%,10.21%,6.67%,11.95%
28,Free Cash Flow Margin,-30.66%,-29.28%,-11.94%,-15.27%,12.15%,25.23%,-6.54%
29,EBITDA,-1.86,1.19,-3.42,4.85,25.79,13.56,31.22
30,D&A For EBITDA,1.52,1.43,1.54,1.52,1.74,1.64,1.68
31,EBIT,-3.38,-0.24,-4.96,3.33,24.06,11.92,29.54
