,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,122.43,311.33,219.25,128.09,179.73,237.7,169.79,251.25,261.88,268.94
1,Other Revenue,1.11,-0.94,-2.4,3.79,-3.09,-1.21,-0.41,46.94,-3.37,-
2,Revenue,123.53,310.39,216.86,131.88,176.63,236.5,169.38,298.19,258.51,268.94
3,Revenue Growth (YoY),-43.03%,135.35%,22.77%,-44.23%,4.28%,-20.69%,-34.48%,10.88%,-19.76%,2.28%
4,Cost of Revenue,103.98,276.29,204.14,114.89,157.33,197.92,140.01,239.51,237.76,248.21
5,Gross Profit,19.56,34.1,12.72,17,19.31,38.58,29.37,58.68,20.75,20.73
6,"Selling, General & Admin",13.09,14.81,15.85,10.37,20.41,19.34,14.78,16.89,12.33,14.21
7,Operating Expenses,13.09,14.81,15.85,10.37,20.41,19.34,14.78,16.89,12.33,14.21
8,Operating Income,6.47,19.28,-3.14,6.62,-1.1,19.24,14.59,41.79,8.42,6.51
9,Interest Expense,-2.2,-2.21,-2.16,-1.52,-0.73,-0.17,-0.18,-0.15,-0.17,-0.21
10,Interest & Investment Income,0.43,0.49,0.42,0.32,0,0,0.01,0.08,0.39,0.65
11,Other Non Operating Income (Expenses),0.1,0.07,-,-,0.07,-,-,-3.68,3.72,-
12,EBT Excluding Unusual Items,4.79,17.63,-4.87,5.43,-1.75,19.07,14.42,38.05,12.36,6.96
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,0.06
14,Asset Writedown,-,-10.14,-,-2.44,-,-,-,-,-,-
15,Other Unusual Items,-,-,-,-0,2.62,-0.12,0.32,5.4,-,-
16,Pretax Income,4.79,7.49,-4.87,2.99,0.87,18.95,14.74,43.44,12.36,7.02
17,Income Tax Expense,0.32,2.13,0.2,0.17,1.23,4.51,2.72,-0.04,1.76,0.76
18,Earnings From Continuing Operations,4.47,5.37,-5.06,2.82,-0.36,14.44,12.02,43.48,10.6,6.26
19,Minority Interest in Earnings,-0.3,-0.08,0.13,0.14,0.2,0.21,0.34,0.16,0.15,-
20,Net Income,4.17,5.29,-4.94,2.96,-0.16,14.65,12.36,43.65,10.75,6.26
21,Net Income to Common,4.17,5.29,-4.94,2.96,-0.16,14.65,12.36,43.65,10.75,6.26
22,Net Income Growth,-,78.70%,-,-79.80%,-,-66.44%,15.06%,596.98%,-30.07%,-4.35%
23,Shares Outstanding (Basic),800,800,800,800,800,800,800,800,800,800
24,Shares Outstanding (Diluted),800,800,800,800,800,800,800,800,800,800
25,EPS (Basic),0.01,0.01,-0.01,0.00,-0.00,0.02,0.02,0.05,0.01,0.01
26,EPS (Diluted),0.01,0.01,-0.01,0.00,-0.00,0.02,0.02,0.05,0.01,0.01
27,EPS Growth,-,78.71%,-,-79.81%,-,-66.44%,15.05%,597.02%,-30.07%,-4.35%
28,Free Cash Flow,35.57,-7.87,-11.8,-22.25,-18.25,-25.99,79.52,-17.99,-82.21,97.67
29,Free Cash Flow Per Share,0.04,-0.01,-0.01,-0.03,-0.02,-0.03,0.10,-0.02,-0.10,0.12
30,Dividend Per Share,-,-,-,-,-,0.010,0.010,0.040,0.010,-
31,Dividend Growth,-,-,-,-,-,-75.00%,0%,-,0%,-
32,Operating Margin,5.23%,6.21%,-1.45%,5.02%,-0.62%,8.14%,8.61%,14.02%,3.26%,2.42%
33,Profit Margin,3.38%,1.70%,-2.28%,2.24%,-0.09%,6.19%,7.30%,14.64%,4.16%,2.33%
34,Free Cash Flow Margin,28.79%,-2.54%,-5.44%,-16.87%,-10.33%,-10.99%,46.95%,-6.03%,-31.80%,36.32%
35,EBITDA,6.5,19.43,-2.86,6.9,-0.82,19.53,14.92,41.9,8.52,6.59
36,D&A For EBITDA,0.04,0.15,0.28,0.28,0.28,0.29,0.33,0.11,0.1,0.07
37,EBIT,6.47,19.28,-3.14,6.62,-1.1,19.24,14.59,41.79,8.42,6.51
38,Revenue as Reported,123.53,310.39,216.86,131.88,176.63,236.5,169.38,298.19,258.51,268.94
