,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,52.13,21.11,38.74,58.87,63.64,141.65,168.29,87.14,111.38,195.67
1,Short-Term Investments,0.91,0.91,1.01,0.99,1.12,2.12,1.43,60.07,2.33,1.37
2,Cash & Short-Term Investments,53.04,22.01,39.76,59.86,64.76,143.77,169.71,147.21,113.71,197.04
3,Cash Growth,33.41%,-63.23%,-38.61%,-58.37%,-61.84%,-2.34%,49.26%,-25.29%,-12.86%,77.74%
4,Accounts Receivable,146.41,246.59,161.7,107.26,133.46,125.83,118.59,165.91,185.43,167.74
5,Other Receivables,0.05,0.05,0.2,0.37,0.37,0.28,2.08,1.21,0.34,0
6,Receivables,146.46,246.64,161.89,107.64,133.83,126.11,120.67,167.12,185.77,167.74
7,Inventory,0.57,0.44,0.5,0.48,0.59,0.6,0.52,0.38,-,-
8,Prepaid Expenses,0.56,0.58,0.45,0.45,0.38,0.83,0.29,1.07,0.26,0.32
9,Other Current Assets,19.12,24.36,18.61,17.43,24.42,25.1,11.49,14.43,17.24,16.14
10,Total Current Assets,219.74,294.04,221.21,185.85,223.99,296.41,302.68,330.21,316.98,381.24
11,"Property, Plant & Equipment",3.04,4.3,0.71,2.21,3.73,5.23,6.81,4.19,4.24,5.51
12,Long-Term Investments,7.77,6.66,7.6,10,12.97,16.06,55.87,61.83,67.29,12.56
13,Other Long-Term Assets,120.26,115.93,121.21,124.63,114.03,-,-,-,-,-
14,Total Assets,350.82,420.93,350.73,322.69,354.71,317.7,365.35,396.22,388.51,399.31
15,Accounts Payable,14.82,18.68,12.3,6.66,15.5,15.26,11.57,14.46,31.36,27.11
16,Accrued Expenses,-,0.05,-,0.83,-,-,-,-,-,-
17,Current Portion of Long-Term Debt,74.38,23.52,19.4,19.33,0.96,-,-,-,-,-
18,Current Portion of Leases,2.68,2.58,0.23,1.76,2.89,2.79,2.7,2.99,2.51,2.47
19,Current Income Taxes Payable,1.64,1.85,0.8,0.68,7.16,5.93,2.93,0.27,1.93,0.82
20,Current Unearned Revenue,-,-,-,1.76,7.07,4.07,-,1.22,11.98,19.73
21,Other Current Liabilities,93.42,155.19,106.06,67.39,107.46,120.22,183.8,194.86,193.15,210.94
22,Total Current Liabilities,186.94,201.86,138.8,98.41,141.03,148.27,201,213.81,240.92,261.06
23,Long-Term Debt,-,54.48,54.79,61.52,55.92,-,-,-,-,-
24,Long-Term Leases,0.28,1.76,-,-,0.23,1.76,3.12,1.2,1.86,3.11
25,Total Liabilities,187.22,258.09,193.6,159.93,197.18,150.03,204.12,215,242.78,264.17
26,Common Stock,8,8,8,8,8,8,8,8,8,8
27,Additional Paid-In Capital,-,73.61,73.61,73.61,73.61,73.61,73.61,73.61,73.61,73.61
28,Retained Earnings,-,95.58,90.3,95.23,92.27,100.43,93.79,113.42,77.78,67.03
29,Comprehensive Income & Other,156.56,-13.1,-13.44,-12.87,-15.3,-13.51,-13.51,-13.51,-13.51,-13.51
30,Total Common Equity,164.56,164.1,158.47,163.97,158.59,168.53,161.89,181.52,145.88,135.13
31,Minority Interest,-0.96,-1.26,-1.34,-1.21,-1.07,-0.86,-0.65,-0.31,-0.15,-
32,Shareholders' Equity,163.6,162.84,157.13,162.76,157.53,167.67,161.23,181.21,145.73,135.13
33,Total Liabilities & Equity,350.82,420.93,350.73,322.69,354.71,317.7,365.35,396.22,388.51,399.31
34,Total Debt,77.34,82.34,74.43,82.61,60,4.55,5.82,4.19,4.37,5.58
35,Net Cash (Debt),-24.31,-60.33,-34.67,-22.75,4.76,139.22,163.9,143.03,109.34,191.46
36,Net Cash Growth,-,-,-,-,-97.09%,-2.66%,49.90%,-25.30%,-11.64%,72.71%
37,Net Cash Per Share,-0.03,-0.08,-0.04,-0.03,0.01,0.17,0.20,0.18,0.14,0.24
38,Filing Date Shares Outstanding,800,800,800,800,800,800,800,800,800,800
39,Total Common Shares Outstanding,800,800,800,800,800,800,800,800,800,800
40,Working Capital,32.81,92.18,82.41,87.44,82.96,148.14,101.68,116.4,76.06,120.18
41,Book Value Per Share,0.21,0.21,0.20,0.20,0.20,0.21,0.20,0.23,0.18,0.17
42,Tangible Book Value,164.56,164.1,158.47,163.97,158.59,168.53,161.89,181.52,145.88,135.13
43,Tangible Book Value Per Share,0.21,0.21,0.20,0.20,0.20,0.21,0.20,0.23,0.18,0.17
44,Machinery,-,6.87,-,6.84,-,6.72,-,5.57,-,6.22
