,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,3604,3017,3274,3065,4733,2895,4092,3440,4883,5614,Upgrade
1,Short-Term Investments,799.32,673.3,1746,393.37,1104,939.57,973.36,1332,1005,1111,Upgrade
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,72.8,Upgrade
3,Cash & Short-Term Investments,4403,3691,5020,3458,5837,3834,5066,4772,5888,6798,Upgrade
4,Cash Growth,-12.29%,6.71%,-13.99%,-9.80%,15.22%,-19.66%,-13.97%,-29.80%,16.83%,4.12%,Upgrade
5,Accounts Receivable,9636,9171,9296,7620,7105,8343,6425,4553,5090,2946,Upgrade
6,Other Receivables,359.85,178.63,371.79,207.49,241.44,138.08,151.16,102.71,213.81,124.04,Upgrade
7,Receivables,9996,9350,9668,7827,7346,8481,6576,4655,5304,3070,Upgrade
8,Inventory,5586,5959,5625,6040,6014,5154,5328,5011,4803,4847,Upgrade
9,Prepaid Expenses,-,133.64,-,150.25,-,-,-,-,-,-,Upgrade
10,Other Current Assets,568.38,666.53,642.8,490.95,757.93,734.12,632.94,692.75,477.17,608.18,Upgrade
11,Total Current Assets,20553,19800,20957,17967,19955,18203,17602,15132,16473,15324,Upgrade
12,"Property, Plant & Equipment",7831,7960,7949,7924,7817,7866,7597,7470,6831,6602,Upgrade
13,Long-Term Investments,11,11.85,13.53,15.35,16.54,18.01,16.9,22.16,21.95,24.36,Upgrade
14,Goodwill,3458,3458,3456,3456,3492,3492,3511,3522,3539,3539,Upgrade
15,Other Intangible Assets,5299,5486,5678,5875,6061,6258,6278,6366,6426,6456,Upgrade
16,Long-Term Deferred Tax Assets,233.63,219.48,200.32,202.07,202.26,187.47,187.29,170.31,191.11,151.64,Upgrade
17,Other Long-Term Assets,160.46,133.32,162.22,197.67,376.81,365,412.28,407.22,458.09,377.67,Upgrade
18,Total Assets,37546,37068,38415,35637,37921,36389,35604,33088,33939,32474,Upgrade
19,Accounts Payable,2827,2743,2401,1889,2174,2093,2260,1964,1898,2487,Upgrade
20,Accrued Expenses,1545,1591,1313,1518,1439,2672,1190,1094,773.72,1067,Upgrade
21,Short-Term Debt,153.66,-,219.38,-,259.33,-,518.05,68.49,-,45.25,Upgrade
22,Current Portion of Long-Term Debt,3297,2951,4842,4497,6520,2156,3131,2596,4515,5463,Upgrade
23,Current Portion of Leases,26.01,18.59,19.07,16.76,16.76,15,14.92,13.99,11.95,12.01,Upgrade
24,Current Income Taxes Payable,80.96,103.05,112.4,66.29,105.72,153.57,123.53,150.83,140.2,124.23,Upgrade
25,Current Unearned Revenue,163.38,210.51,122.52,290.68,153.92,204.08,137.92,292.33,157.36,223.11,Upgrade
26,Other Current Liabilities,1796,1716,1848,1825,1885,1471,1333,1355,2170,1726,Upgrade
27,Total Current Liabilities,9889,9333,10876,10103,12554,8765,8709,7535,9667,11147,Upgrade
28,Long-Term Debt,1914,2111,2139,466.06,548,2810,2790,2452,2395,160.12,Upgrade
29,Long-Term Leases,91.84,79.87,75.74,62.87,71.78,82.5,87.23,89.96,95.98,102.11,Upgrade
30,Long-Term Unearned Revenue,407.13,421.29,426.98,437.84,376.99,390.7,397.94,405.09,303.7,265.18,Upgrade
31,Long-Term Deferred Tax Liabilities,1094,1187,1556,1619,1639,1680,1707,1710,1730,1749,Upgrade
32,Total Liabilities,13396,13132,15075,12689,15189,13728,13691,12192,14192,13423,Upgrade
33,Common Stock,11982,11982,11982,11982,11982,11982,11982,11982,11982,11982,Upgrade
34,Retained Earnings,9632,9421,8756,8415,8062,7965,7242,6312,5381,4868,Upgrade
35,Comprehensive Income & Other,-243.08,-243.07,-225.46,-228.9,-236.99,-229.02,-230.05,-230.55,-222.23,-227.3,Upgrade
36,Total Common Equity,21371,21160,20513,20168,19808,19719,18994,18064,17141,16623,Upgrade
37,Minority Interest,2779,2776,2827,2780,2924,2942,2919,2832,2606,2427,Upgrade
38,Shareholders' Equity,24151,23937,23340,22948,22732,22661,21913,20896,19747,19051,Upgrade
39,Total Liabilities & Equity,37546,37068,38415,35637,37921,36389,35604,33088,33939,32474,Upgrade
40,Total Debt,5483,5160,7296,5043,7416,5064,6541,5221,7018,5782,Upgrade
41,Net Cash (Debt),-1080,-1470,-2275,-1584,-1579,-1229,-1476,-448.35,-1130,1016,Upgrade
42,Net Cash Growth,-,-,-,-,-,-,-,-,-,156.85%,Upgrade
43,Net Cash Per Share,-0.21,-0.29,-0.45,-0.31,-0.31,-0.24,-0.29,-0.09,-0.22,0.20,Upgrade
44,Filing Date Shares Outstanding,5036,5036,5036,5036,5036,5036,5036,5036,5036,5036,Upgrade
45,Total Common Shares Outstanding,5036,5036,5036,5036,5036,5036,5036,5036,5036,5036,Upgrade
46,Working Capital,10664,10467,10080,7864,7401,9439,8893,7597,6806,4177,Upgrade
47,Book Value Per Share,4.24,4.20,4.07,4.00,3.93,3.92,3.77,3.59,3.40,3.30,Upgrade
48,Tangible Book Value,12614,12216,11379,10837,10255,9969,9206,8176,7177,6629,Upgrade
49,Tangible Book Value Per Share,2.50,2.43,2.26,2.15,2.04,1.98,1.83,1.62,1.43,1.32,Upgrade
50,Machinery,-,3559,-,3288,-,2953,-,2556,-,2111,Upgrade
51,Construction In Progress,-,773.48,-,544.81,-,617.66,-,1247,-,1137,Upgrade
