,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Revenue,121.12,64.44,64.12,53.87,110.32,59.26,69.56,41.66,93.43,44.31,73.53,31.32,90.49,16.35,55.97,27.77,78.12,23.96
1,Revenue Growth (YoY),9.79%,8.74%,-7.82%,29.30%,18.08%,33.75%,-5.39%,33.01%,3.25%,170.98%,31.38%,12.77%,15.84%,-31.75%,-,-,-,-
2,Cost of Revenue,-28.98,8.57,13.71,6.7,35.48,6.24,6.48,4.85,15.56,6.06,4.34,3.44,8.12,2.69,7.42,3.75,18.01,-
3,Gross Profit,150.1,55.87,50.41,47.17,74.84,53.02,63.08,36.81,77.87,38.24,69.18,27.88,82.37,13.66,48.54,24.03,60.1,23.96
4,"Selling, General & Admin",-43.09,14.28,14.86,13.95,11.61,12.78,14.53,10.94,10.97,9.08,9.7,7.42,6.39,6.83,5.35,6.05,17.56,-
5,Research & Development,-94.61,27.38,30.71,36.51,38.29,37.11,28.87,22.8,35.19,15.26,17.7,11.7,14.46,8.33,9.64,8.08,30.3,-
6,Other Operating Expenses,290.19,-4.54,-0,-0.29,5.1,-0.99,-2.36,-0.63,3.21,0.27,-1.46,-0.03,4.85,-3.17,-0,0.22,-35.96,15.64
7,Operating Expenses,137.96,39.57,49.75,58.07,58.47,51.6,43.61,35.94,53.98,25.11,29.83,20.49,28,10.87,17.65,12.83,16.23,15.64
8,Operating Income,12.14,16.3,0.66,-10.91,16.37,1.42,19.46,0.87,23.88,13.13,39.36,7.39,54.37,2.79,30.89,11.2,43.87,8.32
9,Interest Expense,-17.3,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-,-,-,-0.03,-,-0.02,-0.02,-,-
10,Interest & Investment Income,0.03,1.46,5.75,10.09,10.08,11.21,10.18,9.94,11.69,10.18,4.6,0.79,0.07,0.12,0.16,0.15,0.28,-
