,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,-,1186,1359,1518,1593,1568,1596,1629,1676,1641,1663,1724,192.98,-,210.43,-,199.93,-
1,Trading Asset Securities,-,181.49,150.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1368,1368,1509,1518,1593,1568,1596,1629,1676,1641,1663,1724,192.98,-,210.43,199.93,199.93,-
3,Cash Growth,-14.13%,-12.78%,-5.46%,-6.81%,-4.94%,-4.45%,-4.00%,-5.51%,768.40%,-,690.24%,762.36%,-3.48%,-,-,-,-,-
4,Accounts Receivable,-,384.96,366.68,388.92,383.18,332.47,310.88,287.04,280.16,253.66,235.18,175.19,175.15,-,130.72,-,103.63,-
5,Other Receivables,-,0.61,1.65,2.18,1.79,1.85,1.62,1.8,0.03,0.08,0.04,0.09,0.04,-,0,-,0.87,-
6,Receivables,-,385.57,368.33,391.1,384.97,334.32,312.49,288.84,280.19,253.74,235.22,175.28,175.18,-,130.72,-,104.5,-
7,Inventory,-,122.78,118.15,115.42,106.06,108.27,98.52,87.18,71.72,65.15,49.67,37.85,29.8,-,21.3,-,13,-
8,Other Current Assets,-,69.25,51.84,51.87,33.58,47.33,42.31,44.64,44.8,60.49,51,51.08,38.28,-,13.9,-,8.92,-
9,Total Current Assets,-,1946,2047,2077,2118,2058,2050,2050,2073,2021,1999,1988,436.24,-,376.35,-,326.35,-
10,"Property, Plant & Equipment",-,231.5,66.85,68.23,68.77,73.86,66.8,57.79,40.5,31.05,27.88,26.84,28.14,-,24.26,-,23.56,-
11,Long-Term Investments,-,27.46,29.21,32.54,34.34,34.95,38.18,39.4,42.76,30.89,32.88,35.58,37.26,-,42.06,-,45.89,-
12,Other Intangible Assets,-,1.12,1.04,1.16,1.28,1.45,1.4,1.51,1.61,1.72,1.82,0.56,0.6,-,0.68,-,0.76,-
13,Long-Term Deferred Charges,-,19.43,19.96,20.49,20.41,-,-,-,-,-,-,-,-,-,0.05,-,0.11,-
14,Other Long-Term Assets,-,4.02,46.4,27.51,2.74,12.31,8.52,6.84,11.36,15.72,5.5,0.71,0.07,-,0.91,-,0.03,-
15,Total Assets,-,2229,2211,2227,2245,2181,2165,2155,2169,2100,2067,2052,502.31,-,444.31,-,396.69,-
16,Accounts Payable,-,66,60.07,58.04,49.64,33.3,29.1,25.69,21.69,17.19,9.79,9.63,3.5,-,4.23,-,4.1,-
17,Accrued Expenses,-,12.13,14.61,7.8,32.53,11.43,17.43,6.21,32.46,9.05,22.91,4.07,24.19,-,12.18,-,10.21,-
18,Current Portion of Leases,-,0.2,0.55,0.55,0.55,0.55,0.54,0.34,0.33,-,-,-,-,-,0.03,-,-,-
19,Current Income Taxes Payable,-,3.22,0.04,3.55,0.05,10.89,0.04,4.71,0.05,18.94,0.39,12.63,0.02,-,0.18,-,0.16,-
20,Current Unearned Revenue,-,15.39,13.47,15.12,13.67,22.28,21.55,19.02,22.11,16.94,16.77,16.67,13.89,-,25.06,-,20.45,-
21,Other Current Liabilities,-,2.98,3.21,9.23,12.52,2.67,2.47,2.39,2.48,0,0.01,5.28,0.16,-,0.01,-,0.07,-
22,Total Current Liabilities,-,99.92,91.96,94.29,108.96,81.12,71.13,58.36,79.12,62.13,49.87,48.28,41.76,-,41.69,-,34.99,-
23,Long-Term Leases,-,0.53,0.64,0.63,0.21,0.21,0.56,0.35,0.35,-,-,-,-,-,-,-,-,-
24,Long-Term Unearned Revenue,-,0.78,0.78,0.78,0.78,0.78,0.78,0.47,0.47,-,-,-,-,-,-,-,-,-
25,Other Long-Term Liabilities,-,1.78,1.43,1.12,0.96,0.78,0.59,0.42,0.23,-,-,-,-,-,-,-,-,-
26,Total Liabilities,-,103.02,94.81,96.83,110.92,82.89,73.07,59.6,80.17,62.13,49.87,48.28,41.76,-,41.69,-,34.99,-
27,Common Stock,-,214.05,214.05,152.89,152.89,152.89,152.89,109.21,109.21,109.21,109.21,109.21,81.9,-,81.9,-,81.9,-
28,Additional Paid-In Capital,-,1733,1731,1791,1790,1787,1787,1828,1828,1814,1814,1814,304.82,-,304.82,-,304.82,-
29,Retained Earnings,-,179.49,170.65,185.34,191.02,158.48,152.07,158.54,151.3,114.99,93.97,80.74,73.82,-,15.9,-,-25.02,-
30,Shareholders' Equity,2126,2126,2116,2130,2134,2098,2092,2096,2089,2038,2017,2004,460.55,-,402.62,361.7,361.7,-
31,Total Liabilities & Equity,-,2229,2211,2227,2245,2181,2165,2155,2169,2100,2067,2052,502.31,-,444.31,-,396.69,-
32,Total Debt,0.73,0.73,1.19,1.18,0.76,0.76,1.1,0.69,0.68,-,-,-,-,-,0.03,-,-,-
33,Net Cash (Debt),1367,1367,1508,1517,1592,1568,1595,1629,1675,1641,1663,1724,192.98,-,210.4,199.93,199.93,-
34,Net Cash Growth,-14.14%,-12.78%,-5.47%,-6.85%,-4.94%,-4.50%,-4.07%,-5.55%,768.05%,-,690.37%,762.36%,-3.48%,-,-,-,-,-
35,Net Cash Per Share,4.77,5.59,8.53,7.64,7.29,7.41,7.37,8.03,7.93,7.63,7.63,8.90,1.25,-,1.27,1.29,1.25,-
36,Filing Date Shares Outstanding,214.05,214.05,214.05,214.05,214.05,214.05,214.05,214.05,214.05,214.05,214.05,214.05,160.52,160.52,160.52,155.59,160.52,-
