,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Market Capitalization,8733,7492,5916,5587,7850,10455,7400,9927,9790,12665,11467,6772,7266,-,-,-,-,-,-
1,Market Cap Growth,-28.34%,-28.34%,-20.05%,-43.72%,-19.82%,-17.45%,-35.47%,46.59%,34.74%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7366,6125,4408,4070,6257,8887,5805,8299,8148,11024,9804,5048,7055,-,-,-,-,-,-
3,Last Close Price,40.80,35.00,27.64,26.10,36.53,48.66,34.44,46.20,45.42,58.76,53.20,31.42,33.54,-,-,-,-,-,-
4,PE Ratio,481.68,413.20,125.87,125.32,-,144.24,97.05,109.27,90.60,117.57,88.93,62.52,75.50,-,-,-,-,-,-
5,Forward PE,47.44,46.67,40.65,39.61,46.67,68.04,41.32,52.98,49.94,69.65,68.85,44.37,56.14,-,-,-,-,-,-
6,PS Ratio,30.46,24.68,20.21,19.43,26.79,37.23,28.04,39.88,38.71,52.21,47.85,31.99,37.43,-,-,-,-,-,-
7,PB Ratio,4.11,3.52,2.78,2.64,3.69,4.90,3.53,4.75,4.67,6.06,5.63,3.36,3.63,-,-,-,-,-,-
8,P/TBV Ratio,3.53,3.53,2.78,2.64,3.69,4.90,3.53,4.75,4.67,6.07,5.63,3.36,3.63,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-90.72,-,-276.17,-,-446.43,-,-804.42,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,320.18,-,1184.15,-,430.89,-,705.46,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,24.27,20.18,15.06,14.15,21.36,31.65,22.00,33.33,32.22,45.44,40.91,23.85,36.34,-,-,-,-,-,-
12,EV/EBITDA Ratio,260.31,211.74,132.97,232.80,-,190.80,108.91,128.69,97.61,123.21,82.09,46.41,70.64,-,-,-,-,-,-
13,EV/EBIT Ratio,336.81,336.81,196.70,540.29,-,233.14,127.20,144.71,105.49,131.61,85.82,48.58,73.93,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-66.09,-,-234.76,-,-373.19,-,-700.17,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,0.00,-,-,-
16,Debt / EBITDA Ratio,0.03,0.01,0.01,0.05,-,0.01,0.06,0.01,0.07,0.01,-,-,-,-,-,0.00,-,-,-
17,Debt / FCF Ratio,-,-,-,-0.02,-,-0.02,-,-0.05,-,-0.04,-,-,-,-,-,0.02,-,-,-
18,Asset Turnover,-,0.12,0.12,0.10,0.20,0.11,0.13,0.08,0.18,0.09,0.14,0.10,-,-,-,-,-,-,
19,Inventory Turnover,-,-,0.28,0.47,0.24,1.32,0.24,0.28,0.24,0.91,0.42,0.40,0.41,-,-,-,-,-,-
20,Quick Ratio,-,-,17.55,20.42,20.25,18.15,23.46,26.83,32.86,24.72,30.50,38.06,39.34,8.82,-,8.18,-,8.70,-
21,Current Ratio,-,-,19.47,22.27,22.02,19.43,25.37,28.81,35.12,26.19,32.53,40.08,41.18,10.45,-,9.03,-,9.33,-
22,Return on Equity (ROE),0.69%,1.67%,2.13%,-1.06%,6.15%,1.22%,5.02%,1.38%,7.04%,4.15%,8.65%,2.25%,-,-,32.86%,10.53%,-,-,
23,Return on Assets (ROA),-,1.83%,0.07%,-1.22%,1.85%,0.16%,2.25%,0.10%,2.80%,1.58%,4.78%,1.45%,-,-,-,-,-,-,
24,Return on Capital (ROIC),1.43%,1.92%,0.08%,-1.28%,1.93%,0.17%,2.32%,0.10%,2.89%,1.62%,4.89%,1.50%,-,-,20.21%,7.74%,-,-,
25,Return on Capital Employed (ROCE),-,-,1.05%,0.36%,-,1.78%,2.17%,2.74%,3.68%,4.01%,5.61%,5.15%,4.76%,21.55%,-,23.42%,-,14.43%,-
26,Earnings Yield,0.21%,0.24%,0.79%,0.80%,0.76%,0.69%,1.03%,0.92%,1.10%,0.85%,1.12%,1.60%,1.32%,-,-,-,-,-,-
27,FCF Yield,-,-3.02%,-1.10%,-0.84%,-0.36%,-0.38%,-0.22%,-0.60%,-0.12%,-0.38%,-0.67%,-0.24%,-,-,-,-,-,-,
28,Dividend Yield,0.29%,-,-,-,-,0.25%,-,-,-,0.26%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,229.88%,-,-,-,124.62%,-,-,-,69.57%,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,-4.97%,-31.29%,-15.61%,18.27%,2.12%,-3.40%,1.64%,0.70%,-4.67%,-36.62%,-30.24%,-31.87%,-24.53%,3.69%,-,-,-,-,-
31,Total Shareholder Return,-4.68%,-31.29%,-15.61%,18.27%,2.12%,-3.15%,1.64%,0.70%,-4.67%,-36.36%,-30.24%,-31.87%,-24.53%,3.69%,-,-,-,-,-
