,Fiscal Quarter,Current,H1 2024,H1 2023,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019,H2 2018
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018"
0,Market Capitalization,24,23,23,62,71,137,173,1897,2198,1991,2423
1,Market Cap Growth,0%,-63.64%,-68.42%,-54.79%,-58.70%,-92.77%,-92.14%,-4.72%,-9.30%,-2.75%,10.26%
2,Enterprise Value,1471,1858,1858,2188,2539,2556,2629,3999,4544,4494,4293
3,Last Close Price,0.01,0.01,0.01,0.03,0.04,0.07,0.09,1.01,1.17,1.06,1.29
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,49.60
5,Forward PE,-,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97
6,PS Ratio,0.08,0.07,0.08,0.56,0.57,1.77,1.13,11.19,12.03,3.64,3.41
7,PB Ratio,-0.01,-0.01,-0.01,-0.06,2.56,0.20,0.17,0.91,0.99,0.84,1.02
8,P/TBV Ratio,-,-,-,-,2.83,0.19,0.16,0.95,1.04,0.88,1.06
9,P/FCF Ratio,-,-,-,0.78,0.35,-1.04,-,-,-,3.57,-
10,P/OCF Ratio,-,-,-,0.78,0.35,-1.04,-,-,-,3.57,-
11,EV/Sales Ratio,5.10,5.55,6.71,19.89,20.31,32.95,17.22,23.59,24.87,8.22,6.04
12,EV/EBITDA Ratio,-,-,-,-,-174.06,-,-,-,-,-,33.20
13,EV/EBIT Ratio,-,-,-,-,-172.72,-,-,-,-,-,33.61
14,EV/FCF Ratio,-,-,-,27.50,12.40,-19.42,-,-,-,8.06,-
15,Debt / Equity Ratio,-0.47,-0.47,-0.59,-1.70,81.64,3.73,2.58,1.14,1.09,1.06,1.08
16,Debt / FCF Ratio,-,-,-,23.70,11.12,-19.36,-,-,-,4.47,-
17,Return on Capital Employed (ROCE),-,-,-,-,-2.39%,-,-,-,-,-,3.17%
18,Earnings Yield,-2681.68%,-2794.80%,-5710.29%,-2866.85%,-1485.51%,-1066.14%,-687.65%,-10.53%,-5.95%,3.25%,2.02%
19,FCF Yield,-,-,128.36%,286.90%,-95.94%,-154.95%,-30.89%,-0.81%,28.00%,2.85%,
20,Buyback Yield / Dilution,-,-,-,-,-,-,10.30%,-,-11.49%,-,
21,Total Shareholder Return,-,-,-,-,-,-,10.30%,-,-11.49%,-,
