,Fiscal Quarter,H1 2024,H1 2023,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,H1 2019,H2 2018
,Period Ending,"Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019","Dec '18 Dec 31, 2018"
0,Revenue,78.7,233,23.17,70.75,31.09,33.41,95.13,59.41,103.94,376.54
1,Revenue Growth (YoY),239.69%,229.34%,-25.47%,111.79%,-67.32%,-43.77%,-8.47%,-84.22%,-58.13%,-
2,Cost of Revenue,134.28,197.08,59.65,-25.51,70.34,464.36,54.84,37.48,82.59,220.03
3,Gross Profit,-55.59,35.92,-36.48,96.26,-39.26,-430.96,40.29,21.94,21.34,156.5
4,"Selling, General & Admin",9.99,21.62,22.04,27.68,33.38,29.63,37.04,17.25,53.02,61.78
5,Other Operating Expenses,7.31,176.2,294.65,-215.75,223.65,135.54,52.7,33.1,16.44,21.63
6,Operating Expenses,17.3,197.82,316.69,-188.06,257.04,165.17,89.74,50.35,69.46,83.41
7,Operating Income,-72.89,-161.9,-353.18,284.32,-296.3,-596.13,-49.45,-28.41,-48.12,73.1
8,Interest Expense,-232.73,36.37,-1.65,-475.24,-0.66,-299.56,-5.96,-128.01,-2.08,-3.5
9,Interest & Investment Income,0.02,0.1,0.03,0.09,0.1,0.07,0.06,0.2,-,0.74
10,Currency Exchange Gain (Loss),-4.66,-4.39,4.6,0.96,1.58,2.51,-,-5.06,5.8,1.63
11,Other Non Operating Income (Expenses),0.14,-72.58,0.27,0.2,0.69,0.45,0.34,-2.64,2.69,-0.24
12,EBT Excluding Unusual Items,-310.11,-202.39,-349.92,-189.67,-294.58,-892.66,-55.01,-163.91,-41.7,71.73
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-2.23,2.23,-8.36
14,Gain (Loss) on Sale of Assets,-,-,-686.59,-640.06,-,-0.06,-,-,-,-
15,Asset Writedown,-27.28,-68.21,-95,-1.98,-0.02,-18.3,-4.6,114.42,32.4,67.19
16,Legal Settlements,-,-,-,-,-,-40,-,-,-,-
17,Other Unusual Items,-,-,-11.6,284.37,-,-44.73,-1.07,-6.22,18.17,-20.69
18,Pretax Income,-337.39,-270.6,-1143,-547.34,-294.6,-995.75,-60.67,-57.94,11.09,109.86
19,Income Tax Expense,5.42,11,-172.24,-11.81,0.98,41.16,18.32,37.61,28.06,63.6
20,Earnings From Continuing Operations,-342.81,-281.6,-970.88,-535.52,-295.58,-1037,-78.99,-95.56,-16.96,46.26
21,Net Income to Company,-342.81,-281.6,-970.88,-535.52,-295.58,-1037,-78.99,-95.56,-16.96,46.26
22,Minority Interest in Earnings,7.93,30.12,31.02,-41.88,9.05,107.74,7.41,-14.95,10.49,17.16
23,Net Income,-334.88,-251.48,-939.86,-577.41,-286.53,-929.18,-71.58,-110.5,-6.48,63.43
24,Net Income to Common,-334.88,-251.48,-939.86,-577.41,-286.53,-929.18,-71.58,-110.5,-6.48,63.43
25,Shares Outstanding (Basic),1879,1879,1879,1879,1879,1879,1879,1879,1879,1879
26,Shares Outstanding (Diluted),1879,1879,1879,1879,1879,1879,1879,1879,2094,1879
27,Shares Change (YoY),-,-,-,-,-,-,-10.30%,-,11.49%,-
28,EPS (Basic),-0.18,-0.13,-0.50,-0.31,-0.15,-0.49,-0.04,-0.06,-0.00,0.03
29,EPS (Diluted),-0.18,-0.13,-0.50,-0.31,-0.15,-0.49,-0.04,-0.06,-0.01,0.03
30,Free Cash Flow,-,-,7.56,60.37,106.49,-215.89,-9.62,-524.68,508.81,-18.53
31,Free Cash Flow Per Share,-,-,0.00,0.03,0.06,-0.11,-0.01,-0.28,0.24,-0.01
32,Operating Margin,-92.62%,-69.48%,-1524.48%,401.88%,-953.15%,-1784.55%,-51.98%,-47.81%,-46.29%,19.41%
33,Profit Margin,-425.53%,-107.93%,-4056.88%,-816.16%,-921.73%,-2781.55%,-75.24%,-185.99%,-6.23%,16.84%
34,Free Cash Flow Margin,-,-,32.65%,85.33%,342.55%,-646.27%,-10.11%,-883.11%,489.54%,-4.92%
35,EBITDA,-72.86,-161.89,-353.15,284.36,-296.24,-596.19,-48.88,-27.86,-47.46,73.69
36,D&A For EBITDA,0.02,0.01,0.03,0.04,0.05,-0.06,0.57,0.55,0.65,0.59
37,EBIT,-72.89,-161.9,-353.18,284.32,-296.3,-596.13,-49.45,-28.41,-48.12,73.1
