,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,3906,4696,4372,4447,4781,5815,5184,4328,3249,3360,Upgrade
1,Revenue Growth (YoY),-10.65%,5.61%,-8.56%,-23.54%,-7.77%,34.38%,59.57%,28.81%,6.29%,5.96%,Upgrade
2,Cost of Revenue,3556,4317,4082,4138,4471,5443,4874,3979,2966,3059,Upgrade
3,Gross Profit,350.49,378.89,289.7,308.59,309.83,372.45,310.35,348.14,282.17,300.57,Upgrade
4,"Selling, General & Admin",251.08,232.05,190.79,162.32,182.12,193.86,184.58,170.72,159.38,173.4,Upgrade
5,Operating Expenses,242.61,229.02,205.56,172.78,195.06,200.47,197.84,180.87,181.34,177.28,Upgrade
6,Operating Income,107.88,149.88,84.14,135.81,114.77,171.98,112.51,167.27,100.83,123.29,Upgrade
7,Interest Expense,-35.89,-42.18,-36.79,-31.6,-25.36,-25.68,-26.6,-29.35,-34.32,-38.73,Upgrade
8,Interest & Investment Income,-,29.01,-,9.34,-,5.21,-,7.63,-,15.21,Upgrade
9,Earnings From Equity Investments,2.71,7.36,2.34,3.37,2.34,5.49,2.26,4.25,2.07,5.53,Upgrade
10,Currency Exchange Gain (Loss),-20.09,10.43,-26.57,9.74,-24.35,5.31,-1.36,12.78,8.5,-2.15,Upgrade
11,Other Non Operating Income (Expenses),89.87,-10.99,62.26,-12.32,17.67,2.56,20.22,-2.27,19.48,16.81,Upgrade
12,EBT Excluding Unusual Items,144.48,143.51,85.37,114.34,85.08,164.88,107.03,160.32,96.56,119.95,Upgrade
13,Gain (Loss) on Sale of Investments,-,98.03,-,39.79,-86.24,-20.6,32.09,46.35,-38.34,22.35,Upgrade
14,Gain (Loss) on Sale of Assets,0.03,0.02,0.03,0.02,0.01,0.05,0.03,0.02,0.01,-1.33,Upgrade
15,Asset Writedown,-55.42,-74.56,-13.12,-37.95,59.18,32.08,-53.72,-143.54,-437.56,-220.13,Upgrade
16,Legal Settlements,-,-,-,-,-,-,-,12.4,-,30,Upgrade
17,Other Unusual Items,-,0.04,-,4.65,-,12.48,-,5.84,-,-,Upgrade
18,Pretax Income,89.1,167.03,72.29,120.85,58.03,188.88,85.43,81.39,-379.33,-43.23,Upgrade
19,Income Tax Expense,18.07,58.44,20.47,36.69,31.33,45.56,17.43,25.7,-69.8,-4.57,Upgrade
20,Earnings From Continuing Operations,71.02,108.59,51.82,84.16,26.7,143.32,68,55.68,-309.53,-38.66,Upgrade
21,Minority Interest in Earnings,-37.65,-40.25,-31.44,-30.24,-36.16,-52.58,-43.63,-38.18,-18.01,-22.15,Upgrade
22,Net Income,33.37,68.34,20.38,53.92,-9.46,90.74,24.37,17.51,-327.54,-60.81,Upgrade
23,Net Income to Common,33.37,68.34,20.38,53.92,-9.46,90.74,24.37,17.51,-327.54,-60.81,Upgrade
24,Net Income Growth,63.74%,26.74%,-,-40.57%,-,418.28%,-,-,-,-,Upgrade
25,Shares Outstanding (Basic),278,278,278,278,278,278,278,278,278,278,Upgrade
26,Shares Outstanding (Diluted),278,278,278,278,278,278,278,278,278,278,Upgrade
27,EPS (Basic),0.12,0.25,0.07,0.19,-0.03,0.33,0.09,0.06,-1.18,-0.22,Upgrade
28,EPS (Diluted),0.12,0.25,0.07,0.19,-0.03,0.33,0.09,0.06,-1.18,-0.22,Upgrade
29,EPS Growth,63.78%,26.66%,-,-40.55%,-,418.08%,-,-,-,-,Upgrade
30,Free Cash Flow,199.63,300.79,94.54,123.89,166.06,-523.03,-11.49,79.18,326.82,-31.47,Upgrade
31,Free Cash Flow Per Share,0.72,1.08,0.34,0.45,0.60,-1.88,-0.04,0.28,1.18,-0.11,Upgrade
32,Operating Margin,2.76%,3.19%,1.92%,3.05%,2.40%,2.96%,2.17%,3.87%,3.10%,3.67%,Upgrade
33,Profit Margin,0.85%,1.46%,0.47%,1.21%,-0.20%,1.56%,0.47%,0.40%,-10.08%,-1.81%,Upgrade
34,Free Cash Flow Margin,5.11%,6.41%,2.16%,2.79%,3.47%,-8.99%,-0.22%,1.83%,10.06%,-0.94%,Upgrade
35,EBITDA,125.05,167.14,102.04,151.22,130.17,187.9,128.93,182.23,113.61,135.89,Upgrade
36,D&A For EBITDA,17.17,17.26,17.9,15.41,15.4,15.92,16.42,14.96,12.78,12.6,Upgrade
37,EBIT,107.88,149.88,84.14,135.81,114.77,171.98,112.51,167.27,100.83,123.29,Upgrade
