,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,91.42,49.35,170.85,189.7,247.27,318.07,280.51,290.78,376.14,-,-,57.19,137.23,137.23,81.86,81.86
1,Trading Asset Securities,446.26,486.46,401.53,585.13,589.72,513.03,585.08,587.04,477.17,-,-,186.33,40.17,40.17,57.15,57.15
2,Cash & Short-Term Investments,537.69,535.81,572.38,774.83,836.99,831.1,865.59,877.82,853.31,-,243.53,243.53,177.4,177.4,139.01,139.01
3,Cash Growth,-35.76%,-35.53%,-33.87%,-11.73%,-1.91%,-,255.44%,260.46%,381.01%,-,75.18%,75.18%,-,-,-,-
4,Accounts Receivable,11.81,15.66,15.3,15.78,12.83,20.45,12.35,18.57,18.5,-,-,20.37,22.89,22.89,18.26,18.26
5,Other Receivables,7.81,6.72,6.84,9.08,10.08,4.76,6.8,8.62,8.35,-,-,7.15,3.84,3.84,5.01,5.01
6,Receivables,19.62,40.38,22.14,42.85,22.91,25.21,19.16,27.2,26.85,-,-,27.52,26.72,26.72,23.27,23.27
7,Inventory,1.29,1.26,1.54,1.46,1.83,1.81,2.01,1.95,1.97,-,-,3.54,0.83,0.83,5.14,5.14
8,Other Current Assets,23.96,9.48,24.07,8.22,7.36,7.98,5.96,2.39,3.15,-,-,3.83,4.35,4.35,5.85,5.85
9,Total Current Assets,582.56,586.93,620.13,827.37,869.09,866.1,892.71,909.35,885.28,-,-,278.42,209.3,209.3,173.27,173.27
10,"Property, Plant & Equipment",205.35,207.9,206.21,65.8,7.83,6.9,7.36,7.36,8.54,-,-,10.23,4.68,4.68,4.9,4.9
11,Long-Term Investments,20.48,20.91,21.21,21.6,22.05,22.89,5,5,-,-,-,-,-,-,-,-
12,Goodwill,162.7,162.7,162.7,162.7,160.65,160.65,160.65,160.65,160.65,-,-,160.65,160.65,160.65,160.65,160.65
13,Other Intangible Assets,53.5,52.24,51.35,52.14,40.6,39.97,39.91,39.14,37.79,-,-,36.05,35.16,35.16,34.24,34.24
14,Long-Term Accounts Receivable,3.25,3.37,2.69,2.99,3.16,1.76,1.45,1.28,1.41,-,-,0.96,1.49,1.49,1.89,1.89
15,Long-Term Deferred Tax Assets,6.56,6.51,5.17,4.78,3.28,3.12,2.73,2.76,2.34,-,-,2.37,2.47,2.47,2.96,2.96
16,Long-Term Deferred Charges,-,-,-,0,0.01,0.03,0.05,0.06,0.08,-,-,8.15,3.01,3.01,1.54,1.54
17,Other Long-Term Assets,19.6,13.07,13.22,12.55,21.48,15.23,31.46,16.34,16.73,-,-,13.95,12.34,12.34,12.72,12.72
18,Total Assets,1054,1054,1083,1150,1128,1117,1141,1142,1113,-,-,510.79,429.12,429.12,392.17,392.17
19,Accounts Payable,46.13,46.88,43.49,48.52,42.84,41.54,38.24,35.55,22.86,-,-,26.78,24.27,24.27,17,17
20,Accrued Expenses,1.09,3.03,1.29,8.58,1.15,3.16,1.04,7.3,1.04,-,-,9.79,9.86,9.86,2.55,2.55
21,Current Portion of Leases,1.81,2.21,1.63,0.8,0.83,1.8,2.56,3.22,3.67,-,-,3.11,-,-,-,-
22,Current Income Taxes Payable,1.93,0.12,1.75,2.12,3.94,1.21,2.35,1.62,3.14,-,-,5.3,3.11,3.11,0.11,0.11
23,Current Unearned Revenue,4.96,4.76,3.28,5.47,2.75,3.41,2.2,5.46,2.31,-,-,6.6,3.58,3.58,4.37,4.37
24,Other Current Liabilities,0.61,1.37,1.19,2.54,1.62,0.92,0.49,0.92,0.44,-,-,0.86,0.62,0.62,10.58,10.58
25,Total Current Liabilities,56.53,58.38,52.63,68.03,53.14,52.04,46.88,54.07,33.46,-,-,52.43,41.45,41.45,34.62,34.62
26,Long-Term Leases,0.66,1.73,1.01,0.44,0.72,0.5,0.33,0.51,0.8,-,-,2.98,-,-,-,-
27,Long-Term Unearned Revenue,0.53,0.53,0.53,0.53,0.53,-,-,-,3.3,-,-,3.19,4.33,4.33,4.81,4.81
28,Long-Term Deferred Tax Liabilities,2.08,1.92,1.88,1.99,0.27,0.15,0.2,0.21,0.1,-,-,0.15,0.17,0.17,0.17,0.17
