,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Other Revenue,-0.85,0.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Revenue,46.61,48.03,43.18,57.77,56.09,59.88,43.4,55.16,59.69,45.5,52.59,66.99,58.66,58.66,40.07,40.07
2,Revenue Growth (YoY),-16.90%,-19.80%,-0.53%,4.74%,-6.03%,31.61%,-17.46%,-17.67%,1.75%,-22.44%,31.23%,67.19%,-,-,-,-
3,Cost of Revenue,9.14,9.31,9.49,15.59,10.5,10.2,7.31,9.1,7.3,5.96,9.34,10.12,11.48,11.48,5.83,5.83
4,Gross Profit,37.47,38.72,33.68,42.18,45.59,49.68,36.1,46.05,52.39,39.54,43.24,56.87,47.18,47.18,34.24,34.24
5,"Selling, General & Admin",28.5,28.15,27.43,35.21,30.84,27.68,27.68,34.09,27.4,22.22,23.51,30.18,27.16,27.16,18.67,18.67
6,Research & Development,9.27,12,11.62,11.23,9.92,9.31,8.75,9.14,8.96,8.6,8.43,6.46,6.72,6.72,5.75,5.75
7,Other Operating Expenses,-1.38,-0.67,-0.92,-1.32,-2.19,-2,-2.33,2.59,-1.88,-5.27,-1.97,-6.31,-2.49,-2.49,-1.63,-1.63
8,Operating Expenses,36.07,39.68,38.01,45.17,38.22,35.28,34.02,46.23,34.11,25.73,29.95,30.6,31.49,31.49,22.8,22.8
9,Operating Income,1.41,-0.96,-4.33,-2.99,7.37,14.4,2.08,-0.18,18.28,13.81,13.29,26.27,15.69,15.69,11.44,11.44
10,Interest Expense,-0.03,-0.06,-0.03,-0.01,-0.02,-0.03,-0.02,-0.05,-0.06,-0.04,-0.06,-0.31,-,-,-,-
11,Interest & Investment Income,0.15,1.12,1.78,1.78,1.99,1.94,2.17,2.46,1.07,0.91,0.83,0.66,0.87,0.87,0.63,0.63
12,Currency Exchange Gain (Loss),-0,0,-,-0.01,-0,0,-,-0.04,0,-0,-,-0.02,-0,-0,0,0
13,Other Non Operating Income (Expenses),-0.04,0.06,-0.06,-0.25,0,2.97,0.79,0.13,-0.1,-0.15,-0.36,2.54,-0.05,-0.05,-0.04,-0.04
14,EBT Excluding Unusual Items,1.5,0.16,-2.64,-1.48,9.34,19.28,5.02,2.32,19.19,14.52,13.7,29.14,16.52,16.52,12.03,12.03
15,Gain (Loss) on Sale of Investments,2.05,1.38,0.73,1.81,1.4,1.16,2.36,1.44,0.34,0.44,0.44,0.58,0.01,0.01,0.08,0.08
16,Gain (Loss) on Sale of Assets,-0.03,0,-0,-0.01,-0,0,-,-0,-0.01,-,-,-,-,-,0,0
17,Asset Writedown,0.03,-0.03,-,-0.03,0.02,-0.02,-,-0,0,-0,-,0.01,-0.28,-0.28,-,-
18,Other Unusual Items,-0.08,0.12,-0.04,1.32,-,-,-,8.29,-,-,-,-,-0.17,-0.17,0.08,0.08
19,Pretax Income,3.47,1.63,-1.95,1.61,10.76,20.42,7.38,12.05,19.53,14.95,14.13,29.73,16.09,16.09,12.19,12.19
