,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3642,3329,2370,3043,3975,3921,5461,4630,3020,2800,-,-,-,-,-,-,-
1,Market Cap Growth,-15.10%,-15.10%,-56.61%,-34.28%,31.62%,40.04%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3097,2789,1792,2199,3131,3086,4592,3776,2166,2558,-,-,-,-,-,-,-
3,Last Close Price,37.16,33.97,24.13,30.01,39.20,38.67,53.85,45.25,29.52,27.37,-,-,-,-,-,-,-
4,PE Ratio,378.04,345.59,142.16,-,95.94,79.51,98.48,93.79,54.56,40.67,-,-,-,-,-,-,-
5,PS Ratio,18.99,17.02,11.56,14.03,18.31,18.28,25.04,22.72,14.18,12.46,-,-,-,-,-,-,-
6,PB Ratio,3.63,3.35,2.39,2.97,3.69,3.66,5.14,4.24,2.78,2.61,-,-,-,-,-,-,-
7,P/TBV Ratio,4.23,4.23,3.02,3.71,4.57,4.46,6.29,5.15,3.38,3.18,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-14.27,-,-,155.60,-,72.42,58.56,46.70,-,-,-,-,-,-,-
9,P/OCF Ratio,61.07,61.07,38.66,-,66.59,83.30,-,60.08,46.42,37.56,-,-,-,-,-,-,-
10,EV/Sales Ratio,15.84,14.26,8.74,10.14,14.42,14.38,21.05,18.53,10.17,11.38,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,851.77,626.22,173.78,-,-,93.04,104.03,86.74,39.52,31.45,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-405.96,-,-,-,130.38,132.80,111.12,-,35.70,-,-,-,-,-,-,-
13,EV/FCF Ratio,-18.25,-,-10.79,-,-,122.46,-,59.06,42.00,42.67,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.01,0.01,-,-,-,-
15,Debt / EBITDA Ratio,0.37,0.16,0.25,-,0.11,0.04,0.03,0.16,0.17,0.05,-,0.10,0.05,-,-,-,-
16,Debt / FCF Ratio,-,-,-0.02,-,-,0.06,-,0.05,0.07,0.07,-,-,0.07,-,-,-,-
17,Asset Turnover,0.18,0.18,0.15,0.20,0.20,0.21,0.15,0.20,-,-,-,-,0.55,0.57,0.41,-,
18,Inventory Turnover,27.90,28.67,26.65,25.30,37.93,23.12,21.40,14.78,18.61,-,-,-,-,55.24,15.39,4.54,-
19,Quick Ratio,9.86,9.86,9.56,11.30,11.76,16.18,16.45,18.87,16.74,26.31,-,-,5.17,4.92,4.92,4.69,4.69
20,Current Ratio,10.31,10.31,10.05,11.78,12.16,16.35,16.64,19.04,16.82,26.46,-,-,5.31,5.05,5.05,5.00,5.00
21,Return on Equity (ROE),1.15%,1.15%,-1.01%,0.87%,3.33%,7.15%,2.37%,4.31%,-,-,11.20%,-,13.92%,14.50%,11.92%,-,
22,Return on Assets (ROA),0.33%,-0.22%,-0.97%,-0.66%,1.64%,3.19%,0.45%,-0.04%,-,-,-,-,9.14%,9.55%,7.29%,-,
23,Return on Capital (ROIC),0.35%,-0.24%,-1.03%,-0.69%,1.72%,3.33%,0.48%,-0.04%,-,-,7.27%,-,10.26%,10.69%,8.13%,-,
24,Return on Capital Employed (ROCE),-,-0.69%,-,-,-,2.20%,3.25%,3.11%,-,6.64%,-,-,15.08%,14.00%,9.95%,6.40%,3.20%
25,Earnings Yield,0.26%,0.29%,0.70%,1.06%,1.04%,1.26%,1.02%,1.07%,1.83%,2.46%,-,-,-,-,-,-,-
26,FCF Yield,-4.66%,-5.10%,-7.01%,-5.80%,-0.55%,0.64%,0.87%,1.38%,1.71%,2.14%,-,-,-,-,-,-,-
27,Dividend Yield,0.92%,-,-,-,0.89%,-,-,-,1.69%,-,-,-,-,-,-,-,-
28,Payout Ratio,356.78%,-,900.91%,-,-,-,256.86%,-,-,-,-,-,-,34.30%,34.30%,-,-
29,Buyback Yield / Dilution,0.03%,-0.33%,0.51%,-0.00%,-0.07%,-19.91%,-33.45%,-33.26%,-33.28%,-11.15%,0.00%,0.01%,-0.03%,-,-,-,-
30,Total Shareholder Return,0.95%,-0.33%,0.51%,-0.00%,0.83%,-19.91%,-33.45%,-33.26%,-31.59%,-11.15%,0.00%,0.01%,-0.03%,-,-,-,-
