,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,2273944,341198,1110432,386070,980473,343964,858379,549477,921223,681307,918362,358428,450999,170456,469430,439726,195260,345191,316126,209321,Upgrade
1,Short-Term Investments,363504,550924,398301,510968,90820,327450,332255,345196,361822,395077,345912,283938,260377,1673011,972775,714042,901387,804984,701274,741099,Upgrade
2,Trading Asset Securities,128210,-,-,-,-,400180,425180,541912,541912,37273,37591,37591,37591,37591,37591,41058,48258,76591,-,-,Upgrade
3,Cash & Short-Term Investments,2765658,892122,1508733,897038,1071293,1071594,1615814,1436585,1824956,1113657,1301865,679957,748966,1881058,1479796,1194826,1144905,1226766,1017401,950419,Upgrade
4,Cash Growth,158.16%,-16.75%,-6.63%,-37.56%,-41.30%,-3.78%,24.12%,111.28%,143.66%,-40.80%,-12.02%,-43.09%,-34.58%,53.33%,45.45%,25.72%,8.41%,68.45%,46.58%,33.73%,Upgrade
5,Accounts Receivable,1212252,1849357,1795016,1683784,1441728,1643353,1360779,1468592,1251450,1235380,1183810,1089884,1054594,1218256,832929,614356,747625,687154,690582,866446,Upgrade
6,Other Receivables,2209516,2144574,2183804,2912933,2782688,2317852,2185419,2226362,1681282,1389741,1355734,1392688,1385286,89481,73163,53591,349388,88180,102556,65868,Upgrade
7,Receivables,3618496,4079057,4116627,4681280,4575961,3995790,3773743,3862559,3120478,2640891,2567504,2487242,2459740,1323108,927462,679957,1100213,790844,804648,936123,Upgrade
8,Inventory,1582364,1786027,1570227,1579969,1503263,1664818,1547617,1650214,1487604,1557821,1425028,1506707,1251787,1386752,1216076,1076624,593256,563051,477674,444815,Upgrade
9,Prepaid Expenses,30132,36703,48076,49930,24624,38626,75550,111633,16897,26075,31068,36417,17397,21956,30451,29399,13127,14897,15803,17553,Upgrade
10,Other Current Assets,962464,1054011,911953,1006180,1132188,1421730,1012775,901013,1153908,1130169,1127098,799663,282331,426245,465587,509063,277821,253875,135129,174515,Upgrade
11,Total Current Assets,8959114,7847921,8155617,8214397,8307330,8192558,8025499,7962005,7603843,6468613,6452564,5509986,4760223,5039119,4119373,3489869,3129321,2849432,2450655,2523425,Upgrade
12,"Property, Plant & Equipment",6466970,6424990,6464650,6484236,4719964,4713335,5015499,6011797,6077718,5917811,5818594,6018664,6032829,5856517,7440523,7398607,5162543,4539802,4397607,3856876,Upgrade
13,Long-Term Investments,477377,951251,921643,977918,864079,448514,458411,303357,410313,388245,383929,704268,608856,880689,890051,631177,527974,641330,761323,915780,Upgrade
14,Goodwill,167517,175724,187104,206846,210623,237075,250416,249604,262598,283133,288585,329790,329914,255854,266996,289240,289240,306444,308525,311614,Upgrade
