,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,247.02,217.67,206.76,212.88,253.69,184.38,184.44,155.22,253.49,168.34,228.99,224.68,201.78,177.48
1,Other Revenue,-30.38,30.38,-,48.03,-17.53,17.53,-,43.51,-24.68,24.68,-,53.8,-,-
2,Revenue,216.64,248.06,206.76,260.91,236.16,201.91,184.44,198.73,228.81,193.02,228.99,278.48,201.78,177.48
3,Revenue Growth (YoY),-8.26%,22.86%,12.10%,31.29%,3.21%,4.61%,-19.46%,-28.64%,13.39%,8.75%,-,-,-,-
4,Cost of Revenue,144.03,187.29,145.32,197.37,164.59,152.88,135.8,155.05,171.88,145.81,168.77,211.74,138.76,125.51
5,Gross Profit,72.61,60.77,61.43,63.54,71.57,49.04,48.64,43.67,56.92,47.21,60.22,66.74,63.03,51.97
6,"Selling, General & Admin",24.88,22.92,22.99,25.56,19.21,20.1,19.68,25.57,21.13,21.45,19.07,20.36,19.69,16.79
7,Research & Development,11.13,12.05,10.92,10.9,9.99,9.65,8.15,7.24,10.37,8,9.79,8.31,9.05,7.62
8,Other Operating Expenses,0.84,1.03,1.96,0.35,1.84,1.71,1.44,6.99,0.65,-1.22,0.84,4.25,1.05,1.38
9,Operating Expenses,33.84,38.65,38.29,38.84,32.71,32.82,29.1,39.88,33.54,27.65,29.63,33.18,29.95,25.62
10,Operating Income,38.77,22.12,23.15,24.7,38.86,16.22,19.54,3.79,23.38,19.55,30.59,33.56,33.07,26.35
11,Interest Expense,-0.17,-0.15,-0.13,-0.21,-0.22,-,-0.14,-0.23,-0.43,-0.42,-1.03,-1.51,-,-0.85
12,Interest & Investment Income,0.87,1.92,1.16,1.65,1.27,4.92,1.81,2.04,1.57,0.89,0.11,0.73,1.78,0.69
13,Currency Exchange Gain (Loss),0.82,-0.82,-,4.78,-3.6,3.6,-,2.41,-0.84,0.84,-,-6.15,-,-
14,Other Non Operating Income (Expenses),-0.12,0.75,-1.28,-3.13,1.77,-1.35,0.65,-2.68,2.01,0.16,-0.42,6.17,-3.29,-1.38
15,EBT Excluding Unusual Items,40.16,23.83,22.89,27.79,38.08,23.39,21.86,5.33,25.69,21.02,29.25,32.8,31.57,24.81
16,Gain (Loss) on Sale of Investments,1.16,0.82,1.25,1.14,1.77,0.94,0.13,1.37,0.13,-0.02,0.06,-,-0,0
17,Gain (Loss) on Sale of Assets,-0.13,-0.15,-0.05,0.06,0.14,0.3,-,0.07,-0.27,0.08,0.45,0.05,0,-0.04
18,Asset Writedown,-4.65,1.69,-1.69,4.49,-5.12,1.73,-1.73,-1.64,-1.57,0.59,-0.85,2.51,-1.46,-1.29
19,Other Unusual Items,-0.9,1.65,1,0.26,-,-,-,6.13,-,-,-,3.34,-,-
20,Pretax Income,35.64,27.84,23.39,33.74,34.86,26.36,20.26,11.26,23.98,21.68,28.91,38.69,30.1,23.49
21,Income Tax Expense,4.21,2.87,2.63,2.87,3.41,4.16,1.92,-2.51,4.28,2.63,4.29,4.03,3.32,3.3
22,Earnings From Continuing Operations,31.43,24.96,20.77,30.86,31.45,22.2,18.34,13.77,19.7,19.05,24.62,34.66,26.77,20.19
23,Minority Interest in Earnings,-0.11,-0.17,-0.36,-0.28,-0.35,-0.45,-0.32,-0.32,-0.39,-0.16,-0.58,-1.17,-0.78,0.21
24,Net Income,31.32,24.79,20.41,30.58,31.1,21.75,18.02,13.45,19.31,18.9,24.04,33.49,25.99,20.39
25,Net Income to Common,31.32,24.79,20.41,30.58,31.1,21.75,18.02,13.45,19.31,18.9,24.04,33.49,25.99,20.39
26,Net Income Growth,0.72%,13.98%,13.28%,127.41%,61.06%,15.09%,-25.06%,-59.84%,-25.70%,-7.33%,-,-,-,-
27,Shares Outstanding (Basic),141,141,141,141,141,141,141,141,141,118,106,106,103,107
28,Shares Outstanding (Diluted),141,141,141,141,141,141,141,141,141,118,106,106,103,107
29,Shares Change (YoY),0.06%,-0.06%,0.01%,-0.03%,-0.02%,20.01%,33.34%,33.38%,36.59%,9.78%,-,-,-,-
30,EPS (Basic),0.22,0.18,0.14,0.22,0.22,0.15,0.13,0.10,0.14,0.16,0.23,0.32,0.25,0.19
31,EPS (Diluted),0.22,0.18,0.14,0.22,0.22,0.15,0.13,0.10,0.14,0.16,0.23,0.32,0.25,0.19
32,EPS Growth,0.66%,14.05%,13.27%,127.48%,61.08%,-4.11%,-43.80%,-69.89%,-45.60%,-15.59%,-,-,-,-
33,Free Cash Flow,-72.38,-25.94,-6.57,23.54,9.06,39.42,1.7,17.77,11.68,-3.35,-2.56,30.81,-,3.21
34,Free Cash Flow Per Share,-0.51,-0.18,-0.05,0.17,0.06,0.28,0.01,0.13,0.08,-0.03,-0.02,0.29,-,0.03
35,Dividend Per Share,-,-,-,0.380,-,-,-,0.250,-,-,-,0.350,-,-
36,Dividend Growth,-,-,-,52.00%,-,-,-,-28.57%,-,-,-,-,-,-
37,Gross Margin,33.52%,24.50%,29.71%,24.35%,30.31%,24.29%,26.37%,21.98%,24.88%,24.46%,26.30%,23.97%,31.24%,29.28%
38,Operating Margin,17.90%,8.92%,11.19%,9.47%,16.45%,8.03%,10.59%,1.91%,10.22%,10.13%,13.36%,12.05%,16.39%,14.84%
39,Profit Margin,14.46%,9.99%,9.87%,11.72%,13.17%,10.77%,9.77%,6.77%,8.44%,9.79%,10.50%,12.03%,12.88%,11.49%
40,Free Cash Flow Margin,-33.41%,-10.46%,-3.18%,9.02%,3.84%,19.52%,0.92%,8.94%,5.10%,-1.74%,-1.12%,11.06%,-,1.81%
41,EBITDA,48.42,32.96,32.8,34.35,48.2,26.9,28.88,13.13,32,28.5,39.21,42.18,40.66,33.93
42,EBITDA Margin,22.35%,13.29%,15.86%,13.17%,20.41%,13.32%,15.66%,6.61%,13.99%,14.76%,17.12%,15.15%,20.15%,19.12%
43,D&A For EBITDA,9.65,10.84,9.65,9.65,9.34,10.68,9.34,9.34,8.62,8.94,8.62,8.62,7.58,7.58
44,EBIT,38.77,22.12,23.15,24.7,38.86,16.22,19.54,3.79,23.38,19.55,30.59,33.56,33.07,26.35
45,EBIT Margin,17.90%,8.92%,11.19%,9.47%,16.45%,8.03%,10.59%,1.91%,10.22%,10.13%,13.36%,12.05%,16.39%,14.84%
46,Effective Tax Rate,11.81%,10.33%,11.24%,8.51%,9.78%,15.78%,9.49%,-,17.86%,12.11%,14.83%,10.42%,11.04%,14.06%
47,Revenue as Reported,216.64,248.06,206.76,260.91,236.16,201.91,184.44,198.73,228.81,193.02,228.99,278.48,-,177.48
