,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,231.5,245.36,338.66,298.68,157.11,202.86,211.37,198.43,198.14,-,84.44,138.59,-,-
1,Short-Term Investments,-,-,-,43.81,44.72,32.41,-,-,-,-,-,-,-,-
2,Trading Asset Securities,179.85,219.55,196.86,196.85,313.44,269.66,251.36,262.96,279.96,-,15.76,-,-,-
3,Cash & Short-Term Investments,411.34,464.92,535.52,539.34,515.27,504.92,462.73,461.4,478.1,-,100.2,138.59,-,147.57
4,Cash Growth,-20.17%,-7.92%,15.73%,16.89%,7.77%,-,361.80%,232.93%,-,-,-,-,-,-
5,Accounts Receivable,333.3,327.04,306.61,366.62,324.2,277.13,274.92,279.76,288.65,-,273.28,273.38,-,-
6,Other Receivables,2.61,3.43,1.82,1.02,1.42,2.61,2.2,0.52,1.06,-,1.66,0.57,-,-
7,Receivables,335.92,330.47,308.43,367.64,325.62,279.74,277.12,280.28,289.71,-,274.94,273.95,-,-
8,Inventory,227.6,205.67,197.33,190.26,193.7,193.2,186.28,200.65,214.49,-,213.65,192.93,-,-
9,Other Current Assets,34.63,26.17,27.61,24.81,25.82,26.18,27.46,24.93,22.69,-,29.29,25.74,-,-
10,Total Current Assets,1009,1027,1069,1122,1060,1004,953.59,967.26,1005,-,618.07,631.2,-,-
11,"Property, Plant & Equipment",377.51,372.01,363.52,360.08,359.16,363.77,358.51,369.13,350.07,-,333.48,334.43,-,-
12,Long-Term Investments,14.49,14.37,13.44,13.19,12.69,12.44,44.16,43.84,43.41,-,10.81,10.83,-,-
13,Other Intangible Assets,58.91,58.45,57.24,58.1,58.12,57.73,57.91,58.31,58.01,-,58.98,59.27,-,-
14,Long-Term Deferred Tax Assets,12.59,13.01,11.62,11.44,10.94,11.55,10.44,11.29,8.9,-,9,9.55,-,-
15,Long-Term Deferred Charges,48.81,42.16,41.94,34.6,33.46,33.25,34.1,31.97,19.33,-,17.25,17.84,-,-
16,Other Long-Term Assets,112.86,40.31,23.35,20.02,17.26,18.89,16.89,18.37,24,-,21.03,21.29,-,-
17,Total Assets,1635,1568,1580,1619,1552,1502,1476,1500,1509,-,1069,1084,-,-
18,Accounts Payable,236.75,207.4,201.38,237.4,207.7,179.1,136.97,174.39,186.85,-,171.45,166.53,-,-
19,Accrued Expenses,24.74,27.66,16.09,30.72,17.23,25.28,12.77,35.66,18.03,-,15.46,31.41,-,-
20,Short-Term Debt,-,-,-,-,-,-,-,-,15.01,-,57.56,86.79,-,-
21,Current Portion of Long-Term Debt,11.64,10.01,11.19,10.02,10.68,10.02,10.89,10.03,10.95,-,10.81,11.52,-,-
22,Current Portion of Leases,-,1.62,-,0.96,-,0.74,-,1.32,-,-,-,1.15,-,-
23,Current Income Taxes Payable,8.05,3.86,9.02,7.49,9.97,6.59,7.3,5.9,20.4,-,17.68,6.97,-,-
24,Current Unearned Revenue,44.06,46.72,38.93,44.3,44.69,46.62,43.57,43.98,44.2,-,33.54,47.79,-,-
25,Other Current Liabilities,20.53,18.28,24.11,26.23,22.56,22.26,38.74,21.87,19.48,-,34.86,25.01,-,-
26,Total Current Liabilities,345.77,315.57,300.73,357.11,312.84,290.6,250.23,293.15,314.93,-,341.37,377.17,-,-
27,Long-Term Debt,-,-,-,-,10,10,10,10,20,-,20.03,24.17,-,-
28,Long-Term Leases,4.83,5.08,2.58,1.55,2.47,2.62,2.74,2.49,1.5,-,1.64,1.9,-,-
29,Long-Term Unearned Revenue,2.73,2.98,3.23,3.48,3.73,3.98,4.23,4.48,4.73,-,5.24,5.42,-,-
30,Long-Term Deferred Tax Liabilities,1.69,1.69,1.73,1.74,1.82,1.73,1.39,1.94,-,-,-,-,-,-
31,Other Long-Term Liabilities,7.35,6.79,6.41,6.48,5.47,5.65,5.41,5.16,4.93,-,7.02,6.87,-,-
32,Total Liabilities,362.37,332.1,314.68,370.36,336.33,314.58,274,317.22,346.09,-,375.3,415.52,-,-
33,Common Stock,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,-,106.05,106.05,-,-
34,Additional Paid-In Capital,718.42,718.42,718.42,718.42,718.42,718.42,718.42,718.42,713.46,-,273.88,273.88,-,-
35,Retained Earnings,394.65,363.33,392.27,371.86,341.3,310.2,323.85,305.76,292.36,-,303.65,279.6,-,-
36,Comprehensive Income & Other,3.89,-1.52,-2.18,2.39,-0.17,0.9,2.22,1.98,0.32,-,-2.85,-2.66,-,-
37,Total Common Equity,1258,1222,1250,1234,1201,1171,1186,1168,1148,-,680.73,656.87,-,605.87
38,Minority Interest,13.93,13.82,15.4,15.04,14.76,16.16,15.71,15.39,15.07,-,12.6,12.03,-,-
39,Shareholders' Equity,1272,1235,1265,1249,1216,1187,1202,1183,1163,-,693.33,668.89,-,614.56
40,Total Liabilities & Equity,1635,1568,1580,1619,1552,1502,1476,1500,1509,-,1069,1084,-,-
41,Total Debt,16.48,16.71,13.77,12.53,23.15,23.38,23.63,23.84,47.46,-,90.05,125.52,-,98.88
42,Net Cash (Debt),394.87,448.2,521.75,526.81,492.12,481.55,439.1,437.56,430.64,-,10.15,13.06,-,48.69
43,Net Cash Growth,-19.76%,-6.92%,18.82%,20.40%,14.28%,-,4226.43%,3249.69%,-,-,-,-,-,-
44,Net Cash Per Share,2.79,3.17,3.69,3.73,3.48,3.41,3.10,3.09,3.05,-,0.10,0.12,-,0.45
45,Filing Date Shares Outstanding,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,117.83,106.05,106.05,103.5,107.33
46,Total Common Shares Outstanding,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,117.83,106.05,106.05,103.5,107.33
47,Working Capital,663.72,711.67,768.16,764.93,747.58,713.43,703.36,674.11,690.06,-,276.71,254.03,-,-
48,Book Value Per Share,8.90,8.64,8.84,8.73,8.49,8.28,8.39,8.26,8.12,-,6.42,6.19,-,5.71
49,Tangible Book Value,1199,1163,1193,1176,1143,1113,1128,1109,1090,-,621.74,597.6,-,543.81
50,Tangible Book Value Per Share,8.48,8.23,8.43,8.32,8.08,7.87,7.98,7.84,7.71,-,5.86,5.64,-,5.13
