,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4127,3030,2305,2759,3616,3553,2964,3067,2861,3254,4082,-,-,-,-
1,Market Cap Growth,-14.72%,-14.72%,-22.23%,-10.05%,26.40%,9.21%,-27.40%,-,-,-,-,-,-,-,-
2,Enterprise Value,3747,2596,1798,2281,3138,3088,2540,2651,2445,3256,4085,-,-,-,-
3,Last Close Price,29.19,21.43,16.30,19.06,24.98,24.55,20.48,20.94,19.53,22.22,27.56,-,-,-,-
4,PE Ratio,38.53,28.29,21.56,26.57,35.64,42.15,40.87,44.02,37.79,33.98,39.86,-,-,-,-
5,PS Ratio,4.43,3.25,2.42,3.05,4.09,4.33,3.64,3.81,3.37,3.50,4.52,-,-,-,-
6,PB Ratio,3.28,2.38,1.87,2.18,2.89,2.92,2.50,2.55,2.42,2.80,-,-,-,-,-
7,P/TBV Ratio,2.53,2.53,1.98,2.31,3.07,3.11,2.66,2.72,2.58,2.99,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,49.05,52.30,42.00,110.35,121.57,88.98,-,-,-,-,-
9,P/OCF Ratio,41.35,41.35,37.30,26.01,34.36,35.62,27.09,42.93,39.03,33.88,59.86,-,-,-,-
10,EV/Sales Ratio,4.02,2.78,1.89,2.52,3.55,3.76,3.12,3.29,2.88,3.50,4.53,-,-,-,-
11,EV/EBITDA Ratio,25.24,17.48,12.13,16.04,22.69,26.37,25.17,25.87,21.67,22.95,27.13,-,-,-,-
12,EV/EBIT Ratio,34.91,23.87,16.53,22.17,31.60,39.39,40.37,40.01,31.62,30.40,34.98,-,-,-,-
13,EV/FCF Ratio,-46.06,-,-,-,42.57,45.45,36.00,95.40,103.91,89.05,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.04,-,0.13,0.19,-,0.16
15,Debt / EBITDA Ratio,0.11,0.09,0.12,0.10,0.09,0.12,0.21,0.20,0.41,0.37,-,0.57,0.70,-,0.73
16,Debt / FCF Ratio,-,-,-,-,0.17,0.34,0.33,0.85,1.01,1.30,-,-,3.69,-,30.83
17,Asset Turnover,0.54,0.63,0.52,0.66,0.62,0.54,0.50,0.53,-,-,0.85,-,-,-,
18,Inventory Turnover,3.20,2.66,3.72,3.00,4.11,3.40,3.22,2.81,2.99,-,-,3.32,-,-,-
19,Quick Ratio,2.16,2.16,2.52,2.81,2.54,2.69,2.70,2.96,2.53,2.44,-,1.10,1.09,-,-
20,Current Ratio,2.92,2.92,3.26,3.55,3.14,3.39,3.45,3.81,3.30,3.19,-,1.81,1.67,-,-
21,Return on Equity (ROE),10.03%,7.99%,6.61%,10.02%,10.47%,7.44%,6.15%,4.70%,-,-,14.46%,-,-,-,
22,Return on Assets (ROA),6.05%,3.51%,3.62%,3.89%,6.36%,2.72%,3.28%,0.63%,-,-,7.10%,-,-,-,
23,Return on Capital (ROIC),7.63%,4.37%,4.55%,4.94%,7.93%,3.33%,4.02%,0.78%,-,-,9.69%,-,-,-,
24,Return on Capital Employed (ROCE),8.33%,8.44%,8.69%,8.05%,7.87%,6.33%,5.20%,5.41%,6.41%,8.97%,-,16.99%,13.15%,-,-
25,Earnings Yield,2.59%,3.53%,4.64%,3.76%,2.81%,2.37%,2.45%,2.27%,2.65%,2.94%,2.51%,-,-,-,-
26,FCF Yield,-1.97%,-2.68%,0.00%,2.37%,2.04%,1.91%,2.38%,0.91%,0.82%,1.12%,0.61%,-,-,-,-
27,Dividend Yield,1.23%,-,-,-,1.52%,-,-,-,1.28%,-,-,-,-,-,-
28,Payout Ratio,47.26%,0.30%,210.61%,0.49%,-,0.61%,163.41%,1.07%,11.08%,252.63%,4.30%,4.25%,11.55%,-,4.86%
29,Buyback Yield / Dilution,0.01%,-0.06%,0.06%,-0.01%,0.03%,0.02%,-20.01%,-33.34%,-33.38%,-36.59%,-9.78%,-,-,-,-
30,Total Shareholder Return,1.24%,-0.06%,0.06%,-0.01%,1.55%,0.02%,-20.01%,-33.34%,-32.10%,-36.59%,-9.78%,-,-,-,-
