,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,102,128,142,137,190,281,370,420,446,171,220,Upgrade
1,Market Cap Growth,-6.65%,-6.65%,-25.33%,-51.20%,-48.68%,-33.14%,-17.20%,145.75%,102.43%,-62.35%,-62.50%,Upgrade
2,Enterprise Value,113,118,103,233,272,294,353,488,533,215,208,Upgrade
3,Last Close Price,0.45,0.56,0.62,0.60,1.58,2.34,3.08,3.50,3.72,1.86,2.40,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,9.97,-2.36,-,-,Upgrade
5,PS Ratio,255.56,65.00,36.84,45.53,213.33,-5110.55,14.56,11.13,34.47,155.25,172.59,Upgrade
6,PB Ratio,-4.02,-4.02,-11.69,1.53,9.36,1.86,1.22,1.01,1.14,0.62,0.45,Upgrade
7,P/TBV Ratio,-,-,-,227.06,-,-,-,-,-,-,-,Upgrade
8,P/FCF Ratio,-,-,-,-,49.23,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,48.06,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,282.80,60.16,26.85,77.38,306.25,-5349.17,-,12.94,41.15,194.95,162.54,Upgrade
11,EV/FCF Ratio,-3.82,-,-,-,70.67,-,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,-0.42,-0.42,-0.77,0.01,5.29,0.73,0.36,0.26,0.28,0.35,0.13,Upgrade
13,Debt / FCF Ratio,-,-,-,-,27.79,-,-,-,-,-,-,Upgrade
14,Earnings Yield,-118.83%,-94.45%,-138.19%,-163.38%,-149.78%,-98.73%,-26.59%,10.03%,-42.38%,-317.06%,-233.34%,Upgrade
15,FCF Yield,-29.03%,-23.07%,-19.82%,8.52%,2.03%,-11.94%,-3.68%,-4.90%,-9.95%,-38.41%,-31.96%,Upgrade
16,Buyback Yield / Dilution,-33.66%,-2.99%,-90.35%,-84.85%,-0.04%,0.63%,-27.50%,-31.43%,-2.43%,-,-,Upgrade
17,Total Shareholder Return,-33.66%,-2.99%,-90.35%,-84.85%,-0.04%,0.63%,-27.50%,-31.43%,-2.43%,-,-,Upgrade
