,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1939,2169,1932,1370,1484,1549,898.84,424.43,-
1,Trading Asset Securities,456.32,59.15,480.64,253.75,217.62,-,0.08,-,-
2,Cash & Short-Term Investments,2396,2228,2413,1624,1701,1549,898.92,424.43,-
3,Cash Growth,-0.72%,37.17%,41.84%,4.86%,89.25%,264.93%,-,-,-
4,Accounts Receivable,2308,2106,1626,1669,1517,1302,1277,721.25,-
5,Other Receivables,69.99,69.39,64.19,61.05,50.52,23.29,20.93,21.07,-
6,Receivables,2378,2175,1690,1730,1567,1326,1298,742.32,-
7,Inventory,1042,1800,2382,2214,1372,1230,936.87,804.07,-
8,Other Current Assets,197.99,190.3,171.89,266.43,333.51,205.91,158.14,82.6,-
9,Total Current Assets,6014,6394,6656,5835,4974,4310,3292,2053,-
10,"Property, Plant & Equipment",2475,2295,2133,1808,1417,1334,1096,946.38,-
11,Long-Term Investments,77.67,132.89,61.34,36.17,9.73,10.88,-,-,-
12,Other Intangible Assets,61.5,30.61,35.74,31.08,86.17,33.7,40.69,29.9,-
13,Long-Term Deferred Tax Assets,28.07,13.99,11.7,7.12,3.08,-,1.5,0.75,-
14,Long-Term Deferred Charges,13.3,-,2.6,-,1.08,-,-,-,-
15,Other Long-Term Assets,25.94,65.58,75.35,243.21,220.29,15.98,10.49,4.01,-
16,Total Assets,8696,8932,8977,7961,6712,5705,4441,3034,-
17,Accounts Payable,1092,1281,1312,1255,918.09,764.74,778.05,433.18,-
18,Short-Term Debt,-,-,-,-,-,370,578.86,443.53,-
19,Current Portion of Long-Term Debt,105.12,185.52,180.84,254.6,347.51,-,-,-,-
20,Current Portion of Leases,11.92,4.31,5.35,6.06,5.14,2.53,2.43,0.88,-
21,Current Income Taxes Payable,82.24,90.09,75.53,68.47,38.61,33.88,19.67,6.2,-
22,Current Unearned Revenue,1859,2290,2822,2890,2633,2172,1136,842.65,-
23,Other Current Liabilities,406.69,419.3,346.52,405.11,298.22,347.28,236.55,305.29,-
24,Total Current Liabilities,3556,4271,4742,4879,4241,3690,2752,2032,-
25,Long-Term Debt,174.56,179.56,218.94,189.63,79.53,-,-,-,-
26,Long-Term Leases,29.25,14.94,15.92,17.1,9.11,1.88,2.78,1.73,-
27,Long-Term Unearned Revenue,43.58,44.36,45.22,42.43,0.33,0.35,0.38,0.4,-
28,Long-Term Deferred Tax Liabilities,26.07,31.59,20.37,9.36,0.07,4.13,0.5,2.27,-
29,Other Long-Term Liabilities,-,-,-,-,-,-,16.32,-,-
30,Total Liabilities,3830,4541,5043,5138,4330,3697,2772,2036,-
31,Common Stock,1306,1303,1252,643.66,573.4,571.77,494.15,0.17,-
32,Retained Earnings,2823,2447,2025,1603,1236,933.54,705.35,561.82,-
33,Treasury Stock,-38.95,-38.94,-1.54,-36.58,-0,-,-,-,-
34,Comprehensive Income & Other,673.8,671.2,649.03,605.85,572.42,502.5,469.54,436.32,-
35,Total Common Equity,4764,4382,3925,2816,2382,2008,1669,998.31,-
36,Minority Interest,101.76,8.12,8.94,6.92,-0.14,-,-,-,-
37,Shareholders' Equity,4866,4391,3934,2823,2382,2008,1669,998.31,-
38,Total Liabilities & Equity,8696,8932,8977,7961,6712,5705,4441,3034,-
39,Total Debt,320.85,384.33,421.06,467.4,441.29,374.41,584.07,446.15,-
40,Net Cash (Debt),2075,1843,1992,1157,1260,1174,314.85,-21.72,-
41,Net Cash Growth,4.16%,59.37%,58.10%,-1.51%,300.15%,-,-,-,-
42,Net Cash Per Share,1.67,1.46,1.61,0.95,1.15,0.96,0.40,-0.03,-
43,Filing Date Shares Outstanding,1170,1190,1148,1074,1038,1038,1038,1000,750
44,Total Common Shares Outstanding,1170,1190,1148,1074,1038,1038,1038,1000,750
45,Working Capital,2458,2123,1914,955.14,733.57,619.84,540.62,21.69,-
46,Book Value Per Share,4.07,3.68,3.42,2.62,2.30,1.94,1.61,1.00,-
47,Tangible Book Value,4703,4352,3889,2785,2296,1974,1628,968.41,-
48,Tangible Book Value Per Share,4.02,3.66,3.39,2.59,2.21,1.90,1.57,0.97,-
49,Machinery,-,2086,-,1796,-,1297,-,1212,-
50,Construction In Progress,-,708,-,389.49,-,418.36,-,43.89,-
51,Order Backlog,-,-,-,-,-,-,-,-,3225
