,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,3477,3669,3692,3521,2965,2431,1856,1537,1442
1,Revenue Growth (YoY),-5.82%,4.18%,24.52%,44.88%,59.77%,58.17%,28.69%,-,-
2,Cost of Revenue,2443,2627,2679,2517,2177,1742,1370,1123,1011
3,Gross Profit,1033,1042,1013,1004,788.16,688.61,485.9,413.66,430.45
4,"Selling, General & Admin",345.73,370.22,348.15,370.99,323.92,259.08,228.98,214.83,135.44
5,Research & Development,219.02,250.06,168.09,170.58,145.51,149.19,77.44,80.32,45.46
6,Other Operating Expenses,-12.53,-26.45,-5.88,15.75,1.32,-13.28,-4.55,-3.71,-8.57
7,Operating Expenses,603.96,593.36,509.98,542.55,485.62,392.91,306.75,288.82,172.32
8,Operating Income,429.35,448.48,503.15,461.55,302.54,295.7,179.15,124.84,258.12
9,Interest Expense,-4.97,-5.95,-7.34,-8.05,-7.9,-11.29,-11.51,-8.65,-3.81
10,Interest & Investment Income,25.7,38.14,21.63,12.29,2.97,1.75,0.37,0.52,1.15
11,Earnings From Equity Investments,-0.2,-4.29,-3.59,-3.58,-1.15,-0.03,-,-,-
12,Currency Exchange Gain (Loss),19.71,0.89,-17.15,-46.37,39.96,-15.42,-1.34,-19.05,-14.2
13,EBT Excluding Unusual Items,469.59,477.26,496.7,415.84,336.42,270.71,166.68,97.65,241.27
14,Gain (Loss) on Sale of Investments,3.09,5.96,4.05,4.09,4.54,2.15,1.15,1.59,1.55
15,Gain (Loss) on Sale of Assets,-0.34,-0.1,-0.28,-1.1,-,-0.37,-0.24,-0.49,-0.13
16,Asset Writedown,-4.85,4.78,-4.03,0.86,0.27,9.07,-,-,-
17,Pretax Income,467.49,487.9,496.43,419.69,341.23,281.56,167.59,98.75,242.68
18,Income Tax Expense,93.66,66.39,75.4,56.04,38.69,42.56,24.74,19.91,32.13
19,Earnings From Continuing Operations,373.83,421.52,421.03,363.65,302.54,239,142.84,78.84,210.55
20,Minority Interest in Earnings,2.06,0.82,1.32,2.95,0.14,-,-,-,-
21,Net Income,375.89,422.34,422.35,366.59,302.67,239,142.84,78.84,210.55
22,Net Income to Common,375.89,422.34,422.35,366.59,302.67,239,142.84,78.84,210.55
23,Net Income Growth,-11.00%,15.21%,39.54%,53.39%,111.89%,203.15%,-32.16%,-,-
24,Shares Outstanding (Basic),1170,1179,1148,1064,1038,1038,752,750,750
25,Shares Outstanding (Diluted),1240,1264,1241,1220,1092,1224,784,750,750
26,Shares Change (YoY),-0.07%,3.60%,13.63%,-0.34%,39.21%,63.26%,4.58%,-,-
27,EPS (Basic),0.32,0.36,0.37,0.34,0.29,0.23,0.19,0.11,0.28
28,EPS (Diluted),0.30,0.33,0.34,0.30,0.28,0.20,0.18,0.11,0.28
29,EPS Growth,-11.76%,10.42%,21.43%,52.21%,55.56%,86.85%,-35.71%,-,-
30,Free Cash Flow,86.59,-124.22,224.72,-66.46,81.78,833.53,-101.93,-64.28,90.18
31,Free Cash Flow Per Share,0.07,-0.10,0.18,-0.05,0.07,0.68,-0.13,-0.09,0.12
32,Operating Margin,12.35%,12.23%,13.63%,13.11%,10.20%,12.17%,9.65%,8.12%,17.90%
33,Profit Margin,10.81%,11.51%,11.44%,10.41%,10.21%,9.83%,7.70%,5.13%,14.60%
34,Free Cash Flow Margin,2.49%,-3.39%,6.09%,-1.89%,2.76%,34.29%,-5.49%,-4.18%,6.25%
35,EBITDA,507.25,501,566.88,503.19,350.57,327.24,221.99,159.85,288.93
36,D&A For EBITDA,77.91,52.53,63.74,41.63,48.03,31.54,42.84,35.01,30.81
37,EBIT,429.35,448.48,503.15,461.55,302.54,295.7,179.15,124.84,258.12
