,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,8439,6309,6546,7589,9310,7873,9286,8070,-,-
1,Market Cap Growth,-16.87%,-16.87%,-29.69%,-3.61%,0.26%,-2.44%,-,-,-,-
2,Enterprise Value,6319,4287,4403,6289,7834,6436,8907,8096,-,-
3,Last Close Price,6.92,5.10,5.39,6.31,8.50,7.26,8.78,7.91,-,-
4,PE Ratio,10.22,7.36,7.03,8.90,12.30,12.41,19.81,30.27,-,-
5,Forward PE,8.15,5.88,6.02,7.13,10.10,10.74,19.77,-,-,-
6,PS Ratio,1.06,0.82,0.81,0.97,1.27,1.25,1.76,1.98,-,-
7,PB Ratio,1.58,1.21,1.35,1.79,2.92,2.82,3.77,4.02,-,-
8,P/TBV Ratio,1.25,1.25,1.37,1.81,2.96,2.93,3.83,4.12,-,-
9,P/FCF Ratio,-,-156.03,-,44.38,-,7.34,10.34,-,-,-
10,P/OCF Ratio,11.07,11.07,8.85,8.31,9.33,4.31,6.44,60.00,-,-
11,PEG Ratio,0.37,0.37,0.37,0.37,0.37,0.42,0.68,-,-,-
12,EV/Sales Ratio,0.82,0.56,0.54,0.81,1.07,1.02,1.69,1.98,-,-
13,EV/EBITDA Ratio,5.79,3.96,3.74,5.44,8.12,8.11,13.21,17.63,-,-
14,EV/EBIT Ratio,6.73,4.55,4.20,6.03,9.07,9.18,15.28,22.14,-,-
15,EV/FCF Ratio,-156.28,-106.02,-,36.78,-,6.00,9.92,-,-,-
16,Debt / Equity Ratio,0.07,0.07,0.09,0.11,0.17,0.19,0.19,0.35,0.45,-
17,Debt / FCF Ratio,-,-8.53,-,2.66,-,0.48,0.51,-,-,-
18,Return on Capital Employed (ROCE),17.08%,17.08%,20.42%,22.78%,24.80%,24.21%,23.58%,18.00%,38.19%,-
19,Earnings Yield,10.16%,13.59%,14.22%,11.23%,8.13%,8.06%,5.05%,3.30%,-,-
20,FCF Yield,-0.48%,-0.64%,1.69%,2.25%,0.19%,13.62%,9.67%,-2.48%,-,-
21,Buyback Yield / Dilution,-1.75%,0.07%,-3.60%,-13.63%,0.34%,-39.21%,-63.26%,-4.58%,-,-
22,Total Shareholder Return,-0.31%,0.07%,-3.60%,-13.63%,0.34%,-39.21%,-63.26%,-4.58%,-,-
