,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,441,354,800,1000,1035,1287,7730,7227,3122,2148,2650,Upgrade
1,Market Cap Growth,-65.67%,-64.62%,-22.77%,-22.31%,-86.60%,-82.20%,147.62%,236.52%,17.79%,-17.36%,-8.66%,Upgrade
2,Enterprise Value,779,712,1072,1197,1131,1210,7454,7115,3044,2008,2524,Upgrade
3,Last Close Price,0.86,0.69,1.56,1.95,2.02,2.51,15.08,14.10,6.09,4.19,5.17,Upgrade
4,PE Ratio,-,56.01,-,-,-,10.43,22.71,25.23,79.41,117.19,292.79,Upgrade
5,Forward PE,-,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,4.80,Upgrade
6,PS Ratio,0.27,0.47,-,1.01,-,0.49,3.13,3.68,2.03,1.80,2.26,Upgrade
7,PB Ratio,0.53,0.42,0.94,1.14,1.04,1.30,7.99,8.15,5.01,3.77,4.71,Upgrade
8,P/TBV Ratio,0.45,0.45,0.99,1.14,1.09,1.38,8.23,8.47,5.32,4.04,5.06,Upgrade
9,P/FCF Ratio,-,23.58,-,-,-,-,-,-,102.34,-,98.43,Upgrade
10,P/OCF Ratio,15.15,16.85,-,-,-,-,-,-,50.33,-,62.68,Upgrade
11,PEG Ratio,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,Upgrade
12,EV/Sales Ratio,0.47,0.94,-,1.21,-,0.46,3.01,3.62,1.98,1.68,2.15,Upgrade
13,EV/EBITDA Ratio,18.81,19.65,-,-,-,7.73,46.49,77.22,64.36,67.39,156.68,Upgrade
14,EV/EBIT Ratio,-,33.43,-,-,-,8.58,51.92,94.38,97.17,124.23,851.08,Upgrade
15,EV/FCF Ratio,-39.04,47.44,-,-,-,-,-,-,99.81,-,93.74,Upgrade
16,Debt / Equity Ratio,0.58,0.58,0.64,0.53,0.38,0.31,0.20,0.11,0.15,0.11,0.12,Upgrade
17,Debt / FCF Ratio,-,32.48,-,-,-,-,-,-,2.98,-,2.43,Upgrade
18,Return on Capital Employed (ROCE),-,2.09%,-,-,-,12.51%,12.87%,7.83%,4.60%,2.64%,0.49%,Upgrade
19,Earnings Yield,-16.49%,1.79%,-,-4.32%,-,9.58%,4.40%,3.96%,1.26%,0.85%,0.34%,Upgrade
20,FCF Yield,-4.52%,4.24%,-,-10.74%,-,-24.23%,-3.24%,-0.45%,0.98%,1.69%,1.02%,Upgrade
