,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,111,111,101,96,86,95,90,106,82,72,124
1,Market Cap Growth,15.51%,15.51%,17.30%,1.61%,-5.08%,-10.14%,9.47%,46.99%,-33.33%,-66.87%,-55.67%
2,Enterprise Value,51,66,53,89,53,48,41,47,42,7,89
3,Last Close Price,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.05,0.09
4,PE Ratio,20.16,19.45,13.54,15.02,7.86,4.46,8.43,-,-46.75,-,-
5,PS Ratio,0.42,0.40,0.31,0.24,0.21,0.29,0.35,0.69,0.62,0.55,0.81
6,PB Ratio,0.74,0.73,0.66,0.65,0.59,0.67,0.67,0.87,0.74,0.64,1.09
7,P/TBV Ratio,0.73,0.73,0.66,0.65,0.59,0.67,0.67,0.87,0.74,0.64,1.09
8,P/FCF Ratio,13.06,13.06,-,6.60,-,-,-,-,-12.15,-,3.12
9,P/OCF Ratio,9.85,9.85,-,5.61,-,-,-,-,-12.15,-,3.05
10,EV/Sales Ratio,0.19,0.24,0.16,0.22,0.13,0.15,0.16,0.31,0.31,0.06,0.58
11,EV/EBITDA Ratio,6.99,-,5.13,25.86,6.85,2.47,4.73,-,-,-,-
12,EV/EBIT Ratio,10.60,-,6.70,65.62,-,2.67,5.21,-,-,-,-
13,EV/FCF Ratio,5.98,7.69,-,6.09,-,-,-,-,-6.13,-,2.25
14,Debt / Equity Ratio,0.13,0.13,-,-,0.07,-,-,-,-,-,-
15,Debt / FCF Ratio,2.35,2.35,-,-,-,-,-,-,-,-,-
16,Return on Capital Employed (ROCE),3.13%,-,5.17%,0.91%,-,12.59%,5.82%,-,-,-,-
17,Earnings Yield,5.14%,5.14%,7.39%,6.66%,12.73%,22.42%,11.86%,-2.53%,-2.14%,-23.21%,-25.64%
18,FCF Yield,7.66%,7.66%,36.25%,15.15%,-45.56%,-19.08%,-29.07%,-1.82%,-8.23%,7.48%,32.00%
19,Buyback Yield / Dilution,0.75%,1.19%,0.30%,-,2.13%,-10.54%,-17.54%,-4.07%,0.06%,-3.01%,-3.96%
20,Total Shareholder Return,0.75%,1.19%,0.30%,-,2.13%,-10.54%,-17.54%,-4.07%,0.06%,-3.01%,-3.96%
