,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,32891,26804,39504,38919,48282,44595,38392,49043,54720,39913,55657,Upgrade
1,Market Cap Growth,-31.13%,-31.13%,-18.18%,-12.73%,25.76%,-9.07%,-29.84%,22.87%,-1.68%,-13.12%,-5.14%,Upgrade
2,Enterprise Value,21681,16481,27851,27577,36417,32549,29063,40572,47111,32063,46185,Upgrade
3,Last Close Price,11.24,9.16,13.26,13.06,16.14,14.91,12.77,16.32,18.18,13.26,18.10,Upgrade
4,PE Ratio,19.55,15.93,25.63,26.02,68.11,52.94,56.73,42.43,127.00,-,19.70,Upgrade
5,Forward PE,14.08,11.83,14.40,16.93,31.64,34.36,17.16,18.86,22.89,21.93,17.80,Upgrade
6,PS Ratio,3.97,3.23,5.13,5.77,8.20,7.75,5.71,6.75,8.40,5.54,6.13,Upgrade
7,PB Ratio,1.43,1.13,1.71,1.73,2.16,1.95,1.63,2.15,2.46,2.01,2.59,Upgrade
8,P/TBV Ratio,1.30,1.30,1.99,2.00,2.50,2.23,1.87,2.51,2.84,2.14,3.00,Upgrade
9,P/FCF Ratio,-,-308.28,-,24.61,41.00,16.89,12.71,49.42,-124.74,-,37.75,Upgrade
10,P/OCF Ratio,60.31,60.31,-,19.46,31.96,15.60,10.63,30.32,280.59,-,23.54,Upgrade
11,PEG Ratio,0.86,0.76,0.35,0.45,0.86,1.03,1.66,1.66,1.66,1.66,1.66,Upgrade
12,EV/Sales Ratio,2.61,1.99,3.62,4.09,6.18,5.66,4.32,5.59,7.23,4.45,5.08,Upgrade
13,EV/EBITDA Ratio,9.71,7.30,12.66,11.90,25.42,18.41,16.26,23.40,49.85,19.31,12.28,Upgrade
14,EV/EBIT Ratio,12.75,9.69,19.28,20.61,97.96,48.54,45.07,58.75,-636.87,-,16.61,Upgrade
15,EV/FCF Ratio,-249.36,-189.55,-,17.44,30.93,12.33,9.62,40.88,-107.39,-,31.32,Upgrade
16,Debt / Equity Ratio,0.07,0.07,0.05,0.05,0.02,0.02,0.00,0.00,0.01,0.01,0.01,Upgrade
17,Debt / FCF Ratio,-,-18.07,-,0.65,0.36,0.17,0.03,0.08,-0.28,-,0.12,Upgrade
18,Return on Capital Employed (ROCE),7.17%,7.17%,6.15%,5.85%,1.64%,2.88%,2.72%,3.01%,-0.33%,-,12.78%,Upgrade
19,Earnings Yield,5.12%,6.28%,3.90%,3.84%,1.47%,1.89%,1.76%,2.36%,0.79%,2.14%,5.08%,Upgrade
20,FCF Yield,-0.26%,-0.32%,-1.09%,4.06%,2.44%,5.92%,7.87%,2.02%,-0.80%,-0.73%,2.65%,Upgrade
21,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.00%,-0.00%,-0.00%,Upgrade,
22,Total Shareholder Return,1.53%,-,-,-,-,-,-,-,0.00%,-0.00%,-0.00%,Upgrade
