,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,151076,16224,45141,77765,4214,5407,4135,4454,15512,3647,85212,104207,202975,2191,1610,542.64,477.54,1058,914.85,1153,Upgrade
1,Short-Term Investments,100000,100000,132000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Trading Asset Securities,51520,344520,89520,89520,89520,300000,300000,300000,300000,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,302596,460744,266661,167285,93734,305407,304135,304454,315512,3647,85212,104207,202975,2191,1610,542.64,477.54,1058,914.85,1153,Upgrade
4,Cash Growth,222.82%,50.86%,-12.32%,-45.05%,-70.29%,8274.04%,256.92%,192.16%,55.44%,66.46%,5193.60%,19103.60%,42404.30%,107.12%,75.95%,-52.95%,-49.31%,-66.21%,-83.99%,-80.44%,Upgrade
5,Accounts Receivable,351163,34629,39370,58706,265834,53839,53628,45324,28105,47718,55432,12183,7517,2206,38740,52534,47497,23564,27403,86201,Upgrade
6,Other Receivables,52849,28275,21315,17233,17473,49865,48143,36841,47612,65162,43992,15073,11724,29240,28170,27508,24288,14411,23844,25479,Upgrade
7,Receivables,614463,433596,397556,475594,460257,448517,443434,412902,361215,503568,398337,173738,187923,350246,88040,259318,239470,117384,298632,184258,Upgrade
8,Inventory,88416,27473,16350,21918,18446,15485,15488,19268,22278,24078,32311,27109,26704,1122,1122,1122,1122,1122,1122,1122,Upgrade
9,Prepaid Expenses,484.77,1338,2906,2432,378.67,1447,2028,2561,452.97,5102,888.62,299.58,305.89,502.54,896.24,91.06,163.03,104.54,148.75,107.33,Upgrade
10,Other Current Assets,55220,141395,93181,40726,109133,24411,17950,17030,16425,69218,314556,310525,307681,3816,4072,4776,3906,24851,14573,8905,Upgrade
11,Total Current Assets,1061179,1064545,776655,707955,681950,795267,783035,756215,715883,605614,831304,615879,725588,357878,95740,265851,245139,144519,315390,195545,Upgrade
12,"Property, Plant & Equipment",785605,813253,817694,830815,802850,806904,820427,830868,843235,922761,866213,115190,117593,32883,33747,34612,35477,14212,14419,14823,Upgrade
13,Long-Term Investments,274647,695761,689343,683771,677784,672451,667336,670686,666019,685200,678239,893562,881412,667625,661890,655788,658233,448159,448144,448173,Upgrade
14,Goodwill,160504,59893,61958,64024,66089,68154,70220,72285,74351,500007,78482,641.61,658.21,-,-,-,-,-,-,-,Upgrade
15,Other Intangible Assets,104042,390.31,29386,29640,286.54,298.34,310.15,321.96,333.8,349.08,364.01,168.45,179.58,190.71,201.84,212.97,93.8,100.86,34.88,38.37,Upgrade
16,Other Long-Term Assets,103456,71943,72461,73148,72924,183909,173352,162625,151740,120450,109148,63310,55919,50775,44895,41830,35710,22999,14996,407.4,Upgrade
17,Total Assets,2602333,2818685,2570047,2514675,2427206,3001278,2988974,2967296,2936584,3193729,2923099,2038102,2010699,1350253,1380223,1353622,1330282,1286591,1314796,1335514,Upgrade
18,Accounts Payable,112611,279360,37077,36693,33032,18940,17440,20128,24897,113795,47115,42328,36260,10588,57052,73752,66591,40461,40472,32840,Upgrade
19,Accrued Expenses,103247,61557,63543,62214,69445,65307,59067,53217,46427,73625,30450,23362,9161,10761,13932,11340,9135,4054,10840,23769,Upgrade
20,Short-Term Debt,166119,191166,311873,143047,77340,491825,487721,496162,464110,438346,457151,439662,440046,38500,41200,41200,41200,38500,43750,55550,Upgrade
21,Current Portion of Long-Term Debt,-,100000,-,29937,139345,-,29718,29718,56959,69850,27188,-,-,107366,88206,87451,86923,-,121268,-,Upgrade
22,Current Income Taxes Payable,59152,3177,2095,1582,1245,6620,6589,6517,5407,4703,4289,4543,4013,3993,10208,9162,7768,9423,7646,4400,Upgrade
23,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,6.36,54.55,109.09,-,3.33,9.56,20.24,32.51,Upgrade
24,Other Current Liabilities,44367,24844,23530,127823,18856,14853,8824,6273,1104,121451,3014,801.83,9426,34081,33797,6653,6648,6156,2896,2900,Upgrade
25,Total Current Liabilities,485496,660105,438118,401296,339263,597545,609359,612015,598905,821769,569207,510699,498914,205343,244505,229558,218269,98603,226892,119491,Upgrade
26,Long-Term Debt,711632,661632,663596,674521,676370,998619,998619,998619,998619,1055578,1055631,360000,360000,-,2550,2550,2550,91343,-,137687,Upgrade
27,Long-Term Deferred Tax Liabilities,2007,-,-,-,-,-,-,-,-,13.27,-,-,-,-,-,-,-,121.66,121.66,-,Upgrade
28,Other Long-Term Liabilities,14815,14034,14034,14034,14034,12014,12014,12068,12092,200,200,200,200,200,200,200,200,200,200,-,Upgrade
29,Total Liabilities,1213950,1335771,1115749,1089851,1029667,1608177,1619992,1622702,1609616,1877560,1625038,870899,859114,205543,247255,232308,221019,190268,227214,257178,Upgrade
30,Common Stock,1062361,1062361,1062361,1062361,1062361,1062361,1062361,1062361,1062361,1062361,1062361,1062361,1011774,1011774,1011774,1011774,1011774,1011774,1011774,1011774,Upgrade
31,Additional Paid-In Capital,1061,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,Upgrade
32,Retained Earnings,99555,217557,198225,180400,164130,163842,149175,134503,121942,112680,99529,103792,138763,128935,117194,105538,93510,81642,72911,62598,Upgrade
33,Comprehensive Income & Other,19769,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
34,Total Common Equity,1182746,1280967,1261636,1243810,1227540,1227253,1212586,1197913,1185353,1176090,1162939,1167203,1151586,1141758,1130017,1118361,1106333,1094465,1085734,1075421,Upgrade
35,Minority Interest,205636,201947,192663,181014,169998,165848,156397,146680,141616,140079,135121,-,-,2952,2952,2953,2929,1858,1848,2915,Upgrade
36,Shareholders' Equity,1388382,1482914,1454299,1424825,1397538,1393100,1368983,1344594,1326969,1316169,1298061,1167203,1151586,1144710,1132968,1121313,1109262,1096323,1087582,1078336,Upgrade
37,Total Liabilities & Equity,2602333,2818685,2570047,2514675,2427206,3001278,2988974,2967296,2936584,3193729,2923099,2038102,2010699,1350253,1380223,1353622,1330282,1286591,1314796,1335514,Upgrade
38,Total Debt,877751,952799,975470,847505,893055,1490443,1516057,1524499,1519688,1563773,1539970,799662,800046,145866,131956,131201,130673,129843,165018,193237,Upgrade
39,Net Cash (Debt),-575155,-492055,-708808,-680219,-799321,-1185037,-1211922,-1220045,-1204176,-1560126,-1454758,-695455,-597072,-143675,-130346,-130658,-130195,-128786,-164103,-192083,Upgrade
40,Net Cash Per Share,-5405.45,-4631.71,-6675.81,-6402.90,-7524.00,-11154.75,-11407.82,-11453.50,-11334.91,-14685.46,-13123.64,-6519.03,-5620.23,-1352.41,-1227.35,-1229.49,-1225.53,-1212.26,-1544.70,-1801.27,Upgrade
41,Filing Date Shares Outstanding,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,Upgrade
42,Total Common Shares Outstanding,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,Upgrade
