,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,209.07,63.55,41.17,31.49,98.93,41.36,37.03,35.12,81.37,81.37,20.03,27.1
1,Other Revenue,-,-0.12,0.12,-,0.05,-0.02,0.02,-,0.04,0.04,0.06,-
2,Revenue,209.07,63.43,41.29,31.49,98.99,41.33,37.05,35.12,81.4,81.4,20.1,27.1
3,Revenue Growth (YoY),111.21%,53.45%,11.43%,-10.34%,21.60%,-49.22%,84.37%,29.58%,-,-,-,-
4,Cost of Revenue,-32.59,17.15,9.4,6.03,23.5,7.59,12.52,6.76,14.75,14.75,5.09,5.69
5,Gross Profit,241.66,46.27,31.89,25.46,75.48,33.75,24.54,28.36,66.65,66.65,15.01,21.42
6,"Selling, General & Admin",-38.47,14.03,13.67,10.77,20.11,9.66,16.07,11.29,8.2,8.2,7.15,7.31
7,Research & Development,-53.75,17.04,17.63,19.08,12.42,16.45,14.08,14.23,11.26,11.26,8.54,11.21
8,Other Operating Expenses,270.99,-6.68,-0.47,-2.73,-0.99,-0.47,-3.33,-2.7,5.34,5.34,-10.09,-5.39
9,Operating Expenses,166.96,26.29,35.83,32.03,53.16,30.6,26.02,24.45,30.03,30.03,5.85,13.98
10,Operating Income,74.7,19.98,-3.94,-6.57,22.33,3.15,-1.49,3.91,36.62,36.62,9.16,7.44
11,Interest Expense,-25.69,-0.29,-0.36,-0.47,-0.46,-0.52,-0.6,-0.6,-0.45,-0.45,-,-0.09
12,Interest & Investment Income,1.12,8.82,7.32,9.54,9.36,12.1,12.57,4.49,1.24,1.24,0.97,0.98
13,Currency Exchange Gain (Loss),-,-0.01,0.01,-,-0.02,-0.02,0.02,-,0.01,0.01,0.03,-
14,Other Non Operating Income (Expenses),-6.8,6.1,-6.09,0.01,0.24,-0.31,0.05,-0.04,0,0,-0.01,-0
15,EBT Excluding Unusual Items,43.33,34.61,-3.06,2.5,31.44,14.4,10.55,7.76,37.42,37.42,10.15,8.33
16,Gain (Loss) on Sale of Assets,0.04,-0.03,-0,-0,-0.06,0.07,-0.07,0.08,-,-,-,-
17,Asset Writedown,5.02,-5.02,0.58,-0.58,0.81,-0.81,0.14,-0.14,-,-,0.22,-0.22
18,Other Unusual Items,6.67,-8.45,1.77,0.01,1.37,-0.01,0.01,-,11.95,11.95,-,-
19,Pretax Income,55.06,21.1,-0.71,1.93,33.56,13.65,10.63,7.71,49.37,49.37,10.37,8.12
20,Income Tax Expense,5.24,0.98,-2.37,-2.3,3.49,-0.21,-0.27,-0.77,5.53,5.53,-0.69,0.9
21,Net Income,49.82,20.12,1.66,4.23,30.06,13.86,10.89,8.48,43.84,43.84,11.06,7.22
22,Net Income to Common,49.82,20.12,1.66,4.23,30.06,13.86,10.89,8.48,43.84,43.84,11.06,7.22
23,Net Income Growth,65.71%,45.11%,-84.78%,-50.11%,-31.42%,-68.37%,-1.50%,17.51%,-,-,-,-
24,Shares Outstanding (Basic),216,258,195,198,160,248,247,170,166,166,152,168
25,Shares Outstanding (Diluted),216,258,195,198,160,248,247,170,166,166,152,168
26,Shares Change (YoY),35.45%,4.01%,-21.24%,16.57%,-3.83%,49.10%,63.28%,0.83%,-,-,-,-
27,EPS (Basic),0.23,0.08,0.01,0.02,0.19,0.06,0.04,0.05,0.26,0.26,0.07,0.04
28,EPS (Diluted),0.23,0.08,0.01,0.02,0.19,0.06,0.04,0.05,0.26,0.26,0.07,0.04
29,EPS Growth,22.34%,39.52%,-80.67%,-57.20%,-28.69%,-78.79%,-39.68%,16.55%,-,-,-,-
30,Free Cash Flow,-,-50.47,36.41,-96.6,39.47,-28.29,7.36,-78.6,10.62,10.62,16.09,-26.87
31,Free Cash Flow Per Share,-,-0.20,0.19,-0.49,0.25,-0.11,0.03,-0.46,0.06,0.06,0.11,-0.16
32,Dividend Per Share,-,-,-,-,0.107,-,-,-,-,-,-,-
33,Gross Margin,115.59%,72.95%,77.24%,80.84%,76.26%,81.64%,66.22%,80.75%,81.88%,81.88%,74.70%,79.01%
34,Operating Margin,35.73%,31.50%,-9.55%,-20.87%,22.56%,7.61%,-4.01%,11.13%,44.98%,44.98%,45.59%,27.45%
35,Profit Margin,23.83%,31.72%,4.02%,13.44%,30.37%,33.54%,29.40%,24.15%,53.85%,53.85%,55.02%,26.63%
36,Free Cash Flow Margin,-,-79.57%,88.18%,-306.78%,39.88%,-68.44%,19.86%,-223.81%,13.05%,13.05%,80.08%,-99.16%
37,EBITDA,79.05,24.33,1.49,-2.22,26.68,7.06,2.75,7.82,40.87,40.87,12.73,10.12
38,EBITDA Margin,37.81%,38.37%,3.60%,-7.05%,26.95%,17.07%,7.42%,22.26%,50.21%,50.21%,63.33%,37.35%
39,D&A For EBITDA,4.35,4.35,5.43,4.35,4.35,3.91,4.24,3.91,4.25,4.25,3.57,2.68
40,EBIT,74.7,19.98,-3.94,-6.57,22.33,3.15,-1.49,3.91,36.62,36.62,9.16,7.44
41,EBIT Margin,35.73%,31.50%,-9.55%,-20.87%,22.56%,7.61%,-4.01%,11.13%,44.98%,44.98%,45.59%,27.45%
42,Effective Tax Rate,9.51%,4.66%,-,-,10.41%,-,-,-,11.19%,11.19%,-,11.09%
43,Revenue as Reported,-,63.43,41.29,31.49,98.99,41.33,37.05,35.12,81.4,81.4,20.1,27.1
