,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,1414,1650,1637,1735,-,1756,1826,224.92,224.92,147.17,-
1,Trading Asset Securities,-,150,0.9,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1564,1564,1650,1637,1735,-,1756,1826,224.92,224.92,147.17,160.94
3,Cash Growth,-9.84%,-,-6.01%,-10.33%,671.33%,-,1093.23%,1034.29%,-,-,-,-
4,Accounts Receivable,-,333.34,322.43,312.22,295.82,-,250.42,246.47,218.52,218.52,139.2,-
5,Other Receivables,-,3.19,3.13,1.8,1.39,-,10.29,1.36,0.81,0.81,0.98,-
6,Receivables,-,336.53,325.57,314.02,297.21,-,260.72,247.83,219.33,219.33,140.18,-
7,Inventory,-,240.76,178.97,153.47,124.53,-,108.28,106.48,99.61,99.61,87.95,-
8,Other Current Assets,-,38.05,21.24,28.38,22.62,-,33.03,39.24,9.08,9.08,10.06,-
9,Total Current Assets,-,2179,2176,2133,2179,-,2158,2219,552.94,552.94,385.36,-
10,"Property, Plant & Equipment",-,184.13,140.42,132,105.1,-,81.39,66.67,64.36,64.36,64.17,-
11,Other Intangible Assets,-,50.44,51.05,51.69,52.38,-,51.38,51.96,52.53,52.53,53.68,-
12,Long-Term Accounts Receivable,-,-,2.61,-,1.66,-,3.71,-,5.89,5.89,7.53,-
13,Long-Term Deferred Tax Assets,-,16.58,3.42,-,-,-,-,-,-,-,-,-
14,Long-Term Deferred Charges,-,3.93,4.59,4.42,2.73,-,2.58,2.56,2.54,2.54,2.95,-
15,Other Long-Term Assets,-,6.68,20.44,23.63,12.45,-,0.37,7.07,0.14,0.14,0.47,-
16,Total Assets,-,2441,2399,2345,2354,-,2297,2347,678.41,678.41,514.16,-
17,Accounts Payable,-,47.61,53.16,39.29,43,-,18.66,12.26,18.52,18.52,18.35,-
18,Accrued Expenses,-,10.56,8.54,5.76,10.67,-,6.79,2.67,15.91,15.91,4.98,-
19,Short-Term Debt,-,30.02,60.04,60.05,60.05,-,60.06,60.06,60.06,60.06,-,-
20,Current Portion of Leases,-,3.2,3.17,3.13,3.1,-,1.38,1.36,1.34,1.34,1.3,-
21,Current Income Taxes Payable,-,23.73,8.8,0.4,-,-,-,10.88,9.06,9.06,5.19,-
22,Current Unearned Revenue,-,119.73,64.48,5.75,8.44,-,7.81,3.45,4.81,4.81,1.51,-
23,Other Current Liabilities,-,17.38,16.57,16.57,16.24,-,13.66,0.71,0.18,0.18,0.18,-
24,Total Current Liabilities,-,252.25,214.76,130.95,141.5,-,108.36,91.39,109.89,109.89,31.5,-
25,Long-Term Leases,-,2.83,3.65,4.45,5.25,-,4.47,4.82,5.17,5.17,5.85,-
26,Long-Term Unearned Revenue,-,1.7,2.2,2.73,3.27,-,4.53,5.27,6.03,6.03,14.39,-
27,Long-Term Deferred Tax Liabilities,-,-,-,8.06,10.36,-,7.58,7.84,8.61,8.61,2.23,-
28,Other Long-Term Liabilities,-,1.94,1.82,1.67,1.71,-,1.8,1.89,2.03,2.03,1.7,-
29,Total Liabilities,-,258.72,222.43,147.87,162.09,-,126.72,111.22,131.73,131.73,55.68,-
30,Common Stock,-,216.53,216.53,154.67,154.67,-,154.67,154.67,116,116,116,-
31,Additional Paid-In Capital,-,1744,1743,1804,1803,-,1826,1825,182.44,182.44,181.92,-
32,Retained Earnings,-,237.02,216.9,238.44,234.21,-,190.28,256.72,248.24,248.24,160.56,-
33,Treasury Stock,-,-15.1,-,-,-,-,-,-,-,-,-,-
34,Shareholders' Equity,2182,2182,2176,2197,2191,-,2171,2236,546.68,546.68,458.48,438.09
35,Total Liabilities & Equity,-,2441,2399,2345,2354,-,2297,2347,678.41,678.41,514.16,-
36,Total Debt,36.06,36.06,66.86,67.63,68.4,-,65.9,66.24,66.57,66.57,7.15,7.02
37,Net Cash (Debt),1528,1528,1584,1569,1666,-,1690,1759,158.35,158.35,140.02,153.93
38,Net Cash Growth,-8.31%,-,-6.30%,-10.79%,952.39%,-,1107.07%,1042.97%,-,-,-,-
39,Net Cash Per Share,7.06,5.93,8.13,7.94,10.43,-,6.83,10.37,0.95,0.95,0.92,0.92
40,Filing Date Shares Outstanding,216.53,216.53,216.53,216.53,216.53,247.68,216.53,216.53,216.53,216.53,162.4,168.22
41,Total Common Shares Outstanding,216.53,216.53,216.53,216.53,216.53,247.68,216.53,216.53,162.4,162.4,162.4,168.22
42,Working Capital,-,1927,1961,2002,2038,-,2050,2128,443.05,443.05,353.86,-
43,Book Value Per Share,10.08,10.08,10.05,10.15,10.12,-,10.03,10.33,3.37,3.37,2.82,2.69
44,Tangible Book Value,2132,2132,2125,2145,2139,-,2119,2184,494.15,494.15,404.8,383.26
45,Tangible Book Value Per Share,9.85,9.85,9.82,9.91,9.88,-,9.79,10.09,3.04,3.04,2.49,2.35
46,Machinery,-,-,143.89,-,118.36,-,94.57,-,82.17,82.17,76.57,-
47,Construction In Progress,-,-,49.84,-,28.48,-,22.71,-,10.71,10.71,9.79,-
