,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,13921,12199,11208,10151,9588,8582,8295,8278,10117,-,-,-,-
1,Market Cap Growth,42.14%,42.14%,35.12%,22.63%,-5.23%,-,-,-,-,-,-,-,-
2,Enterprise Value,12393,10671,9624,8582,7926,6921,6605,6518,9958,-,-,-,-
3,Last Close Price,64.29,56.34,51.76,46.88,44.17,39.54,38.21,38.14,46.15,-,-,-,-
4,PE Ratio,183.69,160.88,199.88,203.76,162.36,135.58,107.62,77.33,94.36,-,-,-,-
5,PS Ratio,40.34,35.33,47.65,47.64,45.91,40.39,42.56,35.23,46.40,-,-,-,-
6,PB Ratio,6.38,5.59,5.14,4.66,4.36,3.92,-,3.81,4.52,-,-,-,-
7,P/TBV Ratio,5.72,5.72,5.26,4.78,4.47,4.01,-,3.91,4.63,-,-,-,-
8,P/FCF Ratio,-,-,-,-207.14,-,-142.89,-,-165.56,-,-,-,-,-
9,P/OCF Ratio,-,-,-,266.24,-,-1020.82,-,-462.12,-,-,-,-,-
10,EV/Sales Ratio,35.89,30.91,40.92,40.27,37.95,32.57,33.89,27.74,45.68,-,-,-,-
11,EV/EBITDA Ratio,122.00,103.95,191.41,260.03,-,156.23,112.91,70.61,97.35,-,-,-,-
12,EV/EBIT Ratio,147.24,126.79,302.70,-,-,248.13,156.56,-,115.38,-,-,-,-
13,EV/FCF Ratio,-,-,-,-175.12,-,-115.23,-,-130.37,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.03,0.03,0.03,-,0.03,0.03,0.12,0.12,0.02,0.02
15,Debt / EBITDA Ratio,0.35,0.11,0.37,5.66,-,0.60,-,4.78,2.12,0.40,0.40,0.13,0.17
16,Debt / FCF Ratio,-,-,-,-1.36,-,-1.14,-,-1.32,-,6.36,-423.59,-0.66,-
17,Asset Turnover,-,0.10,0.07,-,-,-,0.06,0.09,0.48,0.55,-,-,
18,Inventory Turnover,-,-,0.33,0.23,-,-,-,0.47,0.26,0.59,0.63,-,-
19,Quick Ratio,-,-,7.53,9.20,14.90,14.36,-,18.61,22.69,4.04,4.04,9.12,-
20,Current Ratio,-,-,8.64,10.13,16.29,15.40,-,19.92,24.28,5.03,5.03,12.23,-
21,Return on Equity (ROE),9.13%,3.69%,0.30%,-,-,-,1.98%,2.44%,32.08%,34.89%,9.87%,-,
22,Return on Assets (ROA),-,2.06%,-0.42%,-,-,-,-0.16%,0.65%,13.49%,15.35%,-,-,
23,Return on Capital (ROIC),8.42%,2.24%,-0.44%,-,-,-,-0.16%,0.67%,14.93%,16.97%,5.03%,-,
24,Return on Capital Employed (ROCE),-,-,1.45%,-,-,1.26%,-,-,3.83%,15.80%,9.36%,3.44%,-
25,Earnings Yield,0.54%,0.62%,0.50%,0.49%,0.62%,0.74%,0.93%,1.29%,1.06%,-,-,-,-
26,FCF Yield,-,-0.64%,-0.48%,-0.81%,-0.70%,-1.07%,-0.60%,-0.41%,-,-,-,-,
27,Dividend Yield,0.16%,-,-,-,-,0.27%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,1.19%,1422.92%,9.29%,5.93%,3.33%,702.29%,6.19%,0.79%,0.79%,-,-
29,Buyback Yield / Dilution,-5.11%,-35.45%,-4.01%,21.24%,-16.57%,3.83%,-49.10%,-63.28%,-0.83%,-,-,-,-
30,Total Shareholder Return,-4.94%,-35.45%,-4.01%,21.24%,-16.57%,4.10%,-49.10%,-63.28%,-0.83%,-,-,-,-
