,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,25812,-,17920,-,17207,-,15456,-,21495,-,27423,-,17923,-,25888,-,6347,6347,-,-
1,Short-Term Investments,3815,-,6975,-,7715,-,17373,-,12661,-,5846,-,8413,-,2644,-,3589,3589,-,-
2,Trading Asset Securities,9694,-,10744,-,8151,-,2722,-,1271,-,2755,-,2578,-,935.23,-,947.74,947.74,-,-
3,Cash & Short-Term Investments,39321,35638,35638,33073,33073,-,35551,35428,35428,-,36024,28914,28914,-,29467,10883,10883,10883,-,9274
4,Cash Growth,18.89%,-,0.24%,-6.65%,-6.65%,-,-1.31%,22.53%,22.53%,-,22.25%,165.67%,165.67%,-,-,17.35%,-,-,-,-
5,Accounts Receivable,16078,-,15429,-,15053,-,15999,-,15236,-,14162,-,12278,-,12868,-,5430,5430,-,-
6,Other Receivables,-,-,229.02,-,538.81,-,419.16,-,230.84,-,760.13,-,774.05,-,355.32,-,10783,10783,-,-
7,Receivables,16078,-,15658,-,15591,-,16418,-,15467,-,14929,-,13059,-,13265,-,16255,16255,-,-
8,Inventory,645.8,-,661.97,-,624.29,-,536.54,-,647.45,-,717.75,-,683.17,-,538.74,-,393.09,393.09,-,-
9,Prepaid Expenses,-,-,2125,-,2281,-,2047,-,2074,-,1539,-,1667,-,1440,-,1262,1262,-,-
10,Restricted Cash,336,-,238.85,-,193.96,-,234.31,-,237.75,-,14.88,-,7.32,-,400.31,-,56.74,56.74,-,-
11,Other Current Assets,11359,-,4153,-,4895,-,3983,-,3750,-,1189,-,1071,-,494.19,-,289.3,289.3,-,-
