,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,82587,78326,85651,51236,48683,59631,60658,74466,85743,91860,83838,103991,109477,149711,183380,261540,-,-,-,-,-
1,Market Cap Growth,31.35%,31.35%,41.20%,-31.20%,-43.22%,-35.09%,-27.65%,-28.39%,-21.68%,-38.64%,-54.28%,-60.24%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,73537,74546,81984,52748,50220,55486,56484,68849,80061,72766,63567,90306,95619,135354,169023,292479,-,-,-,-,-
3,Last Close Price,13.46,12.80,14.00,8.38,7.97,9.78,9.95,12.22,14.10,15.12,13.80,17.12,19.34,26.45,32.40,42.30,-,-,-,-,-
4,PE Ratio,12.95,11.88,14.04,13.56,24.36,87.84,-803.60,-120.48,-,-58.17,-,-,-,-7.70,-,-,-,-,-,-,-
5,Forward PE,10.41,7.86,15.87,13.86,16.06,22.80,29.32,41.33,51.27,191.07,89.65,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,0.43,0.40,0.43,0.27,0.26,0.32,0.35,0.44,0.51,0.59,0.61,0.77,0.81,1.16,1.60,2.41,-,-,-,-,-
7,PB Ratio,1.42,1.17,1.33,0.82,0.81,0.98,-,1.27,1.41,1.53,-,1.87,2.19,3.02,-,5.38,-,-,-,-,-
8,P/TBV Ratio,1.63,1.63,1.91,1.18,1.20,1.44,-,1.88,2.13,2.30,-,2.15,2.61,3.59,-,6.42,-,-,-,-,-
9,PEG Ratio,0.22,0.17,0.40,0.55,0.30,0.44,0.61,0.86,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.38,0.38,0.42,0.28,0.27,0.30,0.32,0.41,0.48,0.47,0.46,0.67,0.71,1.05,1.47,2.69,-,-,-,-,-
11,EV/EBITDA Ratio,3.68,6.45,7.25,6.02,7.52,11.20,14.59,21.02,-,29.79,34.09,149.16,-,-90.26,-,-,-,-,-,-,-
12,EV/EBIT Ratio,11.32,11.47,13.33,12.96,24.30,97.15,-585.82,-172.46,-,-126.13,-,-,-,-35.36,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.37,0.37,0.42,0.42,0.49,0.49,-,0.46,0.45,0.45,-,0.34,0.38,0.38,-,0.37,-11.99,-11.99,-11.99,-,-12.83
14,Debt / EBITDA Ratio,1.23,1.93,1.95,1.79,5.55,2.90,-,4.28,-,4.09,-,8.84,-,3.89,-,-,-,9.23,9.23,-,3.50
15,Debt / FCF Ratio,1.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.94,6.42,-,14.14
16,Asset Turnover,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.53,-,-,-,
17,Inventory Turnover,258.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201.44,-,-,-
18,Quick Ratio,1.40,1.40,-,1.46,-,1.24,-,1.52,-,1.49,-,1.83,-,1.71,-,1.88,-,1.03,1.03,-,-
19,Current Ratio,1.71,1.71,-,1.66,-,1.44,-,1.72,-,1.68,-,1.96,-,1.85,-,2.01,-,1.11,1.11,-,-
20,Return on Equity (ROE),13.69%,16.78%,15.80%,2.33%,9.06%,-,3.78%,-7.79%,-,-,-0.76%,-13.37%,-,-,-89.87%,-,-,-,-,-,
21,Return on Assets (ROA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.05%,-,-,-,
22,Return on Capital (ROIC),5.20%,6.14%,6.71%,0.27%,3.73%,-,1.09%,-4.22%,-,-,-0.94%,-3.92%,-,-,-3.44%,-15.19%,-3.53%,-,-,-,
23,Return on Capital Employed (ROCE),7.81%,7.81%,-,4.97%,-,0.70%,-,-0.51%,-,-0.70%,-,-,-,-5.97%,-,-,-,-,-,-,-
24,Earnings Yield,7.99%,8.42%,7.12%,7.38%,4.10%,1.14%,-0.12%,-0.83%,-1.33%,-1.72%,-1.53%,-2.19%,-6.95%,-12.99%,-12.40%,-9.26%,-,-,-,-,-
25,Buyback Yield / Dilution,-1.07%,-1.95%,-,-,-,-1.60%,-,-,-,-6.05%,-,-3.44%,-,-44.01%,-,-38.20%,-,-,-,-,-
26,Total Shareholder Return,-1.07%,-1.95%,-,-,-,-1.60%,-,-,-,-6.05%,-,-3.44%,-,-44.01%,-,-38.20%,-,-,-,-,-
