,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,52097,44396,44207,42137,47201,41663,41033,36728,43008,35771,31272,27351,30472,25749,26061,22411,20916,20916,15771,15771
1,Revenue Growth (YoY),10.37%,6.56%,7.74%,14.73%,9.75%,16.47%,31.21%,34.28%,41.14%,38.92%,19.99%,22.04%,45.69%,23.11%,65.24%,42.10%,-,-,-,-
2,Cost of Revenue,47080,39198,38955,38906,42848,38362,37639,35093,39192,33121,29098,25890,27727,24479,24523,22180,19796,19796,13744,13744
3,Gross Profit,5017,5197,5253,3231,4353,3300,3394,1636,3816,2649,2173,1461,2745,1270,1539,230.69,1120,1120,2027,2027
4,"Selling, General & Admin",2332,2247,2162,2281,2159,2164,1996,2033,2147,1866,1614,1593,1494,1558,1411,1483,973.65,973.65,773.69,773.69
5,Research & Development,915.38,912.7,880.81,862.46,880.14,866.51,920.74,903.77,892.37,792.48,694.38,743.64,711.15,723.17,699.21,679.82,583.03,583.03,444.14,444.14
6,Operating Expenses,3258,3160,3032,3144,3145,3030,3053,2937,3216,2658,2399,2336,2319,2281,2140,2162,1569,1569,1310,1310
7,Operating Income,1759,2037,2221,87.68,1208,270.17,341.17,-1301,599.64,-9.45,-225.62,-874.87,426.02,-1011,-601.17,-1932,-449.52,-449.52,717.22,717.22
8,Interest Expense,-719.93,-,-507.33,-,-485.86,-,-541.51,-,-482.74,-,-393.61,-,-355.96,-,-329.26,-,-116.05,-116.05,-105.53,-105.53
9,Interest & Investment Income,507.33,-,719.93,-,720.16,-,683.98,-,454.87,-,161.98,-,167.14,-,66.49,-,68.33,68.33,63.87,63.87
10,Earnings From Equity Investments,-1.99,-,1.99,-,10.38,-,5.48,-,1.28,-,-14.32,-,-20.17,-,-16.6,-,-28.5,-28.5,-3.54,-3.54
11,Currency Exchange Gain (Loss),20.66,-,-20.66,-,16.72,-,-17.79,-,-29.91,-,-30.9,-,-21.92,-,-,-,-,-,-,-
12,Other Non Operating Income (Expenses),622.37,588.12,84.64,315.42,127.8,321.49,54.75,287.84,550.94,-102.48,601.41,-425.4,192.22,-53.05,9422,-9021,148.06,148.06,90.17,90.17
13,EBT Excluding Unusual Items,2187,2625,2500,403.1,1597,591.66,526.07,-1013,1094,-111.94,98.94,-1300,387.33,-1064,8542,-10952,-377.68,-377.68,762.2,762.2
14,Gain (Loss) on Sale of Investments,-62.51,-,62.51,-,-190.25,-,117.64,-,-117.72,-,-58.14,-,222.83,-,93.98,-,70.29,70.29,-32.42,-32.42
15,Gain (Loss) on Sale of Assets,-60.24,-,60.24,-,1.7,-,7.86,-,-100.13,-,-16.3,-,14.83,-,-0.43,-,-17.88,-17.88,1.4,1.4
16,Asset Writedown,-,-,-,-,-16.48,-,-,-,-34.27,-,-,-,-,-,-,-,-,-,-,-
