,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,145.45,172.46,295.73,106.82,132.87,184.71,281.95,379.64,259.33,478.75,556.79,573.42,-,13.22,-,76.81,24.8,48.24,48.24
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,50.7,-,17,-,51.04,-,21,45.3,-,-
2,Trading Asset Securities,164.3,206,144.35,307.7,249,288,236,127.85,-,-,-,-,-,15,-,-,-,-,-
3,Cash & Short-Term Investments,309.75,378.46,440.08,414.52,381.87,472.71,517.95,507.49,259.33,529.45,556.79,590.42,-,79.26,97.81,97.81,70.1,48.24,48.24
4,Cash Growth,-18.88%,-19.94%,-15.04%,-18.32%,47.25%,-10.72%,-6.97%,-14.05%,-,568.01%,469.24%,503.63%,-,64.29%,102.75%,-,-,-,-
5,Accounts Receivable,480.13,396.28,317.43,347.47,243.47,152.33,145.96,172.26,252.25,170.04,97.11,160.78,-,162.26,-,140.23,184.07,115.43,115.43
6,Other Receivables,11.06,8.09,12.54,6.34,8.08,5.83,5.45,4.89,9.5,6.94,6.48,2.5,-,2.99,-,2.83,2.88,3,3
7,Receivables,491.19,404.37,329.97,353.81,251.55,158.16,151.41,177.15,261.74,176.98,103.58,163.27,-,165.25,-,143.05,186.95,138.24,138.24
8,Inventory,265.92,269.42,168.37,122.34,163.25,134.8,82.86,76.23,77.74,92.68,65.71,47.03,-,56.83,-,24.72,40.22,67.74,67.74
9,Other Current Assets,61.51,29.04,26.6,2.91,25.46,16.01,6.16,3.99,213.79,16.53,73.05,4.61,-,0.75,-,0.31,0.15,1.3,1.3
10,Total Current Assets,1128,1081,965.01,893.58,822.13,781.68,758.39,764.87,812.6,815.64,799.13,805.33,-,302.09,-,265.89,297.42,255.53,255.53
11,"Property, Plant & Equipment",213.13,210.85,206.72,213.95,203.32,194.81,190.84,192.72,130.3,114.71,104.51,94.03,-,91.24,-,55.5,52.67,52.51,52.51
12,Long-Term Investments,-,-,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,29.78,29.78,29.78,29.78,29.94,6.7,6.7,6.7,17.9,17.9,24.18,-,-,-,-,-,-,-,-
14,Other Intangible Assets,12.04,12.14,12.53,12.79,3.9,3.76,3.84,3.83,3.65,3.77,3.68,3.1,-,3.29,-,2.72,2.76,1.38,1.38
15,Long-Term Deferred Tax Assets,22.47,22.18,23.43,23.92,7.33,7.93,7.5,16.95,6.73,6,5.89,6.11,-,5.19,-,4.65,4.41,2.84,2.84
16,Long-Term Deferred Charges,5.53,5.15,4.76,4.66,11.08,3.94,1.58,1.75,2.36,2.46,2.74,2.23,-,6.07,-,5.31,5.05,4.54,4.54
17,Other Long-Term Assets,9.75,6.79,4.86,4.66,1.46,5.83,8.32,5.99,8.09,8.43,13.69,2.51,-,4.69,-,0.37,0.01,1.88,1.88
18,Total Assets,1421,1368,1252,1188,1084,1005,977.17,992.81,981.61,968.9,953.83,913.3,-,412.57,-,334.46,362.32,318.69,318.69
19,Accounts Payable,335.89,333.08,193.48,141.83,118.73,110.91,65.49,53.42,83.28,101.31,47.35,39.07,-,71.48,-,30.25,67.53,74.23,74.23
20,Accrued Expenses,15.91,21.07,14.37,40.04,10.48,15.16,9.86,21.22,9.03,20.02,9.45,15.18,-,20.59,-,15.67,17.04,12.61,12.61
