,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,6214,3879,2941,3265,3436,2895,2878,2169,1854,2335,2235,2649,3787,-,-,-,-,-,-,-
1,Market Cap Growth,34.00%,34.00%,2.18%,50.56%,85.37%,23.99%,28.76%,-18.13%,-51.04%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6030,3618,2611,2976,3147,2476,2413,1933,1618,1825,1707,2583,3721,-,-,-,-,-,-,-
3,Last Close Price,84.10,52.50,39.80,43.42,45.70,38.50,38.27,28.41,24.29,30.59,29.28,34.07,48.71,-,-,-,-,-,-,-
4,PE Ratio,65.59,40.95,33.30,55.27,61.65,73.17,74.27,51.33,-,43.63,39.80,-,68.64,-,-,-,-,-,-,-
5,PS Ratio,5.90,3.69,3.14,4.43,5.10,5.91,6.13,4.51,4.06,4.99,5.13,6.13,8.96,-,-,-,-,-,-,-
6,PB Ratio,7.28,4.28,3.37,3.70,3.93,3.38,3.58,2.63,2.25,2.79,2.76,3.16,4.62,-,-,-,-,-,-,-
7,P/TBV Ratio,4.78,4.78,3.77,4.07,4.31,3.68,3.65,2.67,2.29,2.92,2.88,3.36,4.64,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-177.30,-134.02,-,-,-58.44,-97.52,-,-,-115.36,-443.36,-,-,-,-,-,-,-
9,P/OCF Ratio,139.71,-,142.24,211.59,321.77,-,65.50,64.27,33.16,-,-,79.51,85.36,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.73,3.44,2.79,4.03,4.67,5.05,5.14,4.02,3.54,3.90,3.92,5.97,8.81,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,40.97,28.69,23.60,42.45,-,54.85,84.19,47.86,-,30.80,27.65,42.58,58.68,-,-,-,-,-,-,-
12,EV/EBIT Ratio,58.24,34.94,29.14,59.43,-,88.04,185.51,73.39,-,38.07,33.18,52.22,69.88,-,-,-,-,-,-,-
13,EV/FCF Ratio,-325.73,-,-,-161.58,-122.73,-,-,-52.10,-85.13,-,-,-112.48,-435.63,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.08,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.07,0.01,0.01,0.01,0.01,-,0.05,-,-,-,-,-
15,Debt / EBITDA Ratio,0.49,0.28,0.28,0.68,6.28,0.29,0.72,0.85,-,0.08,0.06,0.73,0.20,-,0.17,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,-3.88,-2.67,-,-,-1.38,-2.91,-,-,-0.37,-1.03,-,-,-,-,-,-,-
17,Asset Turnover,0.87,1.01,0.49,0.94,0.72,0.54,0.35,0.34,0.69,0.60,0.27,-,-,-,-,0.93,2.01,1.05,-,
18,Inventory Turnover,3.53,2.94,4.33,2.59,6.46,2.94,3.48,2.76,4.29,4.83,4.96,2.96,-,-,-,-,7.81,7.10,3.27,-
19,Quick Ratio,1.73,1.73,1.78,2.56,3.21,3.71,4.44,7.27,7.23,4.59,5.20,6.86,9.60,-,2.38,-,4.30,2.56,1.78,1.78
20,Current Ratio,2.44,2.44,2.46,3.20,3.74,4.81,5.51,8.24,8.08,7.15,6.00,8.31,10.25,-,2.95,-,4.74,2.96,2.74,2.74
21,Return on Equity (ROE),15.91%,24.51%,3.79%,6.63%,13.86%,8.01%,0.41%,-1.15%,12.29%,8.75%,-1.22%,-,-,18.95%,0.66%,15.73%,60.86%,15.36%,-,
22,Return on Assets (ROA),10.57%,8.36%,4.26%,-4.40%,10.77%,1.08%,2.79%,-8.14%,7.66%,4.58%,0.08%,-,-,-,-,2.56%,34.60%,7.10%,-,
23,Return on Capital (ROIC),15.37%,11.58%,5.48%,-5.39%,12.75%,1.24%,3.13%,-9.32%,8.98%,5.30%,0.09%,-,-,13.72%,3.77%,3.37%,48.82%,10.15%,-,
24,Return on Capital Employed (ROCE),10.81%,10.81%,9.65%,5.27%,-,3.08%,1.51%,2.98%,-,5.52%,6.18%,5.77%,6.38%,-,22.71%,-,24.72%,24.91%,8.04%,4.02%
25,Earnings Yield,1.52%,2.44%,3.00%,1.81%,1.62%,1.37%,1.35%,1.95%,2.07%,2.29%,2.51%,1.95%,1.46%,-,-,-,-,-,-,-
26,FCF Yield,-0.30%,-0.48%,-0.58%,-0.56%,-0.75%,-0.51%,-0.81%,-1.71%,-1.03%,-0.38%,0.78%,-0.87%,-0.23%,-,-,-,-,-,-,-
27,Dividend Yield,0.77%,-,-,-,1.53%,-,-,-,2.06%,-,-,-,1.03%,-,-,-,-,-,-,-
28,Payout Ratio,55.16%,0.61%,119.78%,2.90%,0.48%,0.28%,262.71%,-,-,0.22%,211.13%,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,0.01%,0.08%,-0.25%,0.20%,-0.01%,-0.04%,0.31%,-0.27%,-1.93%,-66.04%,-33.97%,-32.82%,-31.38%,31.42%,-8.53%,-9.49%,-,-,-,-
30,Total Shareholder Return,0.78%,0.08%,-0.25%,0.20%,1.53%,-0.04%,0.31%,-0.27%,0.13%,-66.04%,-33.97%,-32.82%,-30.35%,31.42%,-8.53%,-9.49%,-,-,-,-
