,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,306.8,328.29,149.89,263.81,187.92,132.49,86.39,80.98,167.41,144.25,61.97,89.97,136.91,139.24,52.15,78.39,171.81,83.61,83.61
1,Other Revenue,-2.53,2.53,-,3.6,-0.47,0.47,-,2.01,-0.34,0.34,-,4.21,-1.7,1.7,-,2.73,-0.63,0.32,0.32
2,Revenue,304.27,330.82,149.89,267.41,187.45,132.96,86.39,82.99,167.08,144.58,61.97,94.18,135.21,140.94,52.15,81.12,171.18,83.93,83.93
3,Revenue Growth (YoY),62.32%,148.82%,73.50%,222.22%,12.20%,-8.04%,39.41%,-11.88%,23.57%,2.59%,18.84%,16.09%,-21.01%,67.93%,-37.87%,-,-,-,-
4,Cost of Revenue,196.8,236.77,94.3,230.62,109.7,94.58,54.86,82.64,102.91,98.13,41.72,69.41,77.34,97.2,32.16,63.37,95.83,55.46,55.46
5,Gross Profit,107.47,94.06,55.6,36.79,77.76,38.38,31.54,0.35,64.16,46.45,20.25,24.76,57.87,43.74,19.99,17.75,75.35,28.47,28.47
6,"Selling, General & Admin",21.08,21.2,17.46,21.57,16.35,15.78,13.41,11.94,16.7,16.53,15.88,12.85,10.21,11.23,11.52,6.51,14.28,10.76,10.76
7,Research & Development,23.64,23.36,20.23,27.78,15.83,16.34,10.71,16.52,12.58,13.31,9.08,13.6,9.52,12.08,8.83,9.22,9.09,8.09,8.09
8,Other Operating Expenses,-0.7,1.26,-1.57,3.16,-1.98,0.29,-1.03,7.68,0.34,-4.85,-1.06,2.39,0.88,-0.27,-0.73,0.77,1.17,0.5,0.5
9,Operating Expenses,48.53,50.24,34.8,56.81,32.75,34.1,20.54,32.51,34.27,28.83,19.95,24.64,24.47,28.11,15.9,14.18,28.22,19.42,19.42
10,Operating Income,58.94,43.81,20.8,-20.01,45,4.29,10.99,-32.16,29.89,17.62,0.31,0.12,33.4,15.63,4.09,3.57,47.13,9.05,9.05
11,Interest Expense,-0.73,-0.65,-0.83,-1.09,-0.63,-0.51,-0.66,-0.22,-0.18,-0.13,-0.16,-0.19,-0.1,-0.08,-0.19,-,-,-,-
12,Interest & Investment Income,2.14,1.35,1.47,2.91,1.31,3.77,1.11,2.57,4.26,2.62,1.8,1.93,0.93,0.41,0.36,0.45,0.29,0.66,0.66
13,Currency Exchange Gain (Loss),-0.15,0.15,-,0.26,-0.28,0.28,-,-,-,-,-,-,-,-,-,-0,-,-,-
14,Other Non Operating Income (Expenses),-1.07,-0.23,0.05,1.38,0.22,-1.79,-0.11,0.77,0.75,-0.94,-0.12,-0.24,0.01,-0.14,-0.07,-0.18,0.04,-0.04,-0.04
15,EBT Excluding Unusual Items,59.14,44.44,21.49,-16.55,45.62,6.03,11.34,-29.04,34.72,19.17,1.83,1.62,34.24,15.81,4.19,3.84,47.47,9.67,9.67
16,Gain (Loss) on Sale of Investments,-,-,-,7.7,-,-,-,0.85,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.1,-0.1,0,0.5,0.09,-0.1,-0.01,-0.67,0.11,-0,0.08,-0.07,-0.14,-0.05,-,0,-0.01,-0.07,-0.07
18,Asset Writedown,-21.37,11.37,-11.37,14.07,-14.07,10.25,-10.25,7.23,-7.23,4.69,-4.69,5.01,-5.01,2.79,-2.79,-,-,-,-
19,Other Unusual Items,0.37,2.68,-,5,-0,0,-,9.48,-,-,-,2.58,-0.01,0.01,-,4.12,0.13,0.82,0.82
20,Pretax Income,38.23,58.39,10.12,10.72,31.64,16.19,1.09,-12.14,27.6,23.85,-2.78,9.14,29.08,18.55,1.39,7.96,47.59,10.41,10.41
