,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,1962,1780,1415,1353,1079,1350,1327,1155,798.52,1616,850.06,693.88
1,Other Revenue,-,-111.97,111.97,-,413.74,-37.97,37.97,-,647.91,-486.69,29.03,457.67
2,Revenue,1962,1668,1527,1353,1493,1312,1365,1155,1446,1129,879.09,1152
3,Revenue Growth (YoY),31.39%,27.16%,11.81%,17.19%,3.22%,16.15%,55.31%,0.26%,-,-,-,-
4,Cost of Revenue,-4567,997.05,2127,1443,2785,834,2007,1127,1933,925.4,1641,710.94
5,Gross Profit,6529,670.8,-600.1,-90.32,-1292,477.66,-641.83,27.62,-487.05,203.87,-762.32,440.6
6,"Selling, General & Admin",-132.57,47.34,47.15,38.08,25.83,34.18,37.4,34.71,31.82,26.24,38.92,27.87
7,Research & Development,-1352,505.61,376.26,470.15,455.79,407.59,289.21,344.88,210.77,233.93,160.17,212.48
8,Other Operating Expenses,9519,-409.85,-34.66,-308.7,179.97,-217.7,-52.28,-27.08,110.8,-100.39,-447.7,455.22
9,Operating Expenses,8034,142.86,389.45,199.22,661.28,224.39,273.93,352.73,353.24,160.28,-249.01,696.12
10,Operating Income,-1505,527.94,-989.56,-289.54,-1953,253.27,-915.75,-325.11,-840.29,43.59,-513.3,-255.52
11,Interest Expense,-80.55,-78.13,-94.16,-110.5,-55.76,-111.77,-121.08,-126.8,-102.07,-86.88,-61.04,-70.18
12,Interest & Investment Income,282.79,18.65,28.5,33.41,16.87,68.24,13.02,27.71,20.07,18.38,8.51,9.04
13,Currency Exchange Gain (Loss),-,13.1,-13.1,-,-2.17,5.06,-5.06,-,-51.09,-12.68,12.68,-
14,Other Non Operating Income (Expenses),20.93,-15.51,-6.25,4.11,-25.37,20.01,-29.73,26.38,26.42,-30.3,-24.48,21.43
15,EBT Excluding Unusual Items,-1282,466.06,-1075,-362.52,-2019,234.81,-1059,-397.81,-946.95,-67.89,-577.62,-295.24
16,Gain (Loss) on Sale of Investments,-2.4,-,0.16,2.24,-5.15,-4.69,47.92,-3.09,-18.43,-,-,-
17,Gain (Loss) on Sale of Assets,-69.11,74.6,-1.81,-3.68,-0.08,26.29,0.42,0.04,0.51,4.26,10.61,-
18,Asset Writedown,748.66,-748.66,287.43,-287.43,818.82,-818.82,219.44,-219.44,286.09,-286.09,159.28,-159.28
19,Other Unusual Items,-,-313.27,311.9,1.37,237.94,-,-,-,295.73,-75.32,75.32,-
20,Pretax Income,-605.1,-521.27,-476.9,-650.03,-967.89,-562.41,-790.83,-620.3,-383.05,-425.04,-332.42,-454.51
21,Income Tax Expense,-1285,-,-,-,-,-,-,-,-,-,-,-
22,Earnings From Continuing Operations,680.14,-521.27,-476.9,-650.03,-967.89,-562.41,-790.83,-620.3,-383.05,-425.04,-332.42,-454.51
23,Minority Interest in Earnings,-964.02,307.85,248.26,407.91,370.57,309.97,181.85,120.71,164.36,128.07,123.55,90.61
24,Net Income,-283.88,-213.42,-228.64,-242.12,-597.32,-252.44,-608.98,-499.59,-218.69,-296.97,-208.87,-363.9
25,Net Income to Common,-283.88,-213.42,-228.64,-242.12,-597.32,-252.44,-608.98,-499.59,-218.69,-296.97,-208.87,-363.9
26,Shares Outstanding (Basic),7133,7075,5380,8071,6727,7194,5562,4996,5384,4934,5215,5199
27,Shares Outstanding (Diluted),7133,7075,5380,8071,6727,7194,5562,4996,5384,4934,5215,5199
28,Shares Change (YoY),6.04%,-1.66%,-3.28%,61.54%,24.95%,45.80%,6.64%,-3.90%,-,-,-,-
29,EPS (Basic),-0.04,-0.03,-0.04,-0.03,-0.09,-0.04,-0.11,-0.10,-0.04,-0.06,-0.04,-0.07
30,EPS (Diluted),-0.04,-0.03,-0.04,-0.03,-0.09,-0.04,-0.11,-0.10,-0.04,-0.06,-0.04,-0.07
31,Free Cash Flow,-,-216.3,-463.82,-1099,-1013,-1334,-2810,-2567,-3510,-2893,-1145,-1834
32,Free Cash Flow Per Share,-,-0.03,-0.09,-0.14,-0.15,-0.19,-0.51,-0.51,-0.65,-0.59,-0.22,-0.35
33,Gross Margin,332.83%,40.22%,-39.31%,-6.68%,-86.52%,36.42%,-47.01%,2.39%,-33.67%,18.05%,-86.72%,38.26%
34,Operating Margin,-76.75%,31.65%,-64.82%,-21.40%,-130.82%,19.31%,-67.07%,-28.16%,-58.09%,3.86%,-58.39%,-22.19%
35,Profit Margin,-14.47%,-12.80%,-14.98%,-17.89%,-40.01%,-19.25%,-44.60%,-43.27%,-15.12%,-26.30%,-23.76%,-31.60%
36,Free Cash Flow Margin,-,-12.97%,-30.38%,-81.26%,-67.84%,-101.67%,-205.80%,-222.31%,-242.65%,-256.15%,-130.21%,-159.28%
37,EBITDA,-670.55,1363,5.35,545.32,-1118,770.02,-141.39,191.64,-323.54,353.89,-46.86,54.78
38,EBITDA Margin,-34.19%,81.71%,0.35%,40.30%,-74.89%,58.71%,-10.36%,16.60%,-22.37%,31.34%,-5.33%,4.76%
39,D&A For EBITDA,834.86,834.86,994.91,834.86,834.86,516.75,774.37,516.75,516.75,310.3,466.44,310.3
