,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,35812,35868,29552,27932,34242,35364,37185,39814,-,-,-,-,-
1,Market Cap Growth,1.43%,1.43%,-20.53%,-29.84%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,48197,48253,41829,40145,44709,45276,45628,55021,-,-,-,-,-
3,Last Close Price,5.12,5.13,4.23,3.96,4.86,5.02,5.28,5.67,-,-,-,-,-
4,PS Ratio,5.44,5.51,4.89,4.91,6.20,6.64,7.05,7.81,-,-,-,-,-
5,PB Ratio,3.03,2.13,1.75,1.66,2.12,2.23,2.22,2.31,-,-,-,-,-
6,P/TBV Ratio,3.23,3.23,2.66,2.52,3.03,3.07,3.09,3.26,-,-,-,-,-
7,P/OCF Ratio,-,-,17.78,12.66,12.67,13.53,12.77,22.80,-,-,-,-,-
8,EV/Sales Ratio,7.40,7.41,6.92,7.06,8.10,8.50,8.64,10.80,-,-,-,-,-
9,EV/EBITDA Ratio,44.51,-,52.59,198.18,800.86,-,91.86,-,-,-,-,-,-
10,EV/EBIT Ratio,-,-,-15.47,-,-,-,-24.96,-,-,-,-,-,-
11,Debt / Equity Ratio,0.73,0.73,0.73,0.93,0.88,0.71,0.69,0.79,2.22,1.88,-,-,1.30
12,Debt / EBITDA Ratio,11.31,-,2.25,251.33,6.49,-,3.73,-,18.84,-,-,-,25.48
13,Asset Turnover,-,0.19,0.17,0.16,0.18,0.15,0.17,0.17,-,-,-,-,
14,Inventory Turnover,-,-,1.84,4.27,2.95,5.01,1.35,3.30,2.00,-,-,-,-
15,Quick Ratio,-,-,0.74,1.13,1.02,0.70,0.63,1.08,0.31,0.41,-,-,-
16,Current Ratio,-,-,1.11,1.50,1.57,1.03,1.00,1.48,0.65,0.74,-,-,-
17,Return on Equity (ROE),16.13%,-12.39%,-11.57%,-16.24%,-23.76%,-13.24%,-26.65%,-36.48%,-,-,-,-,
18,Return on Assets (ROA),-,3.81%,-6.96%,-2.18%,-14.72%,1.77%,-7.02%,-2.99%,-,-,-,-,
19,Return on Capital (ROIC),-12.93%,4.30%,-7.90%,-2.52%,-17.63%,2.14%,-8.84%,-3.93%,-,-,-,-,
20,Return on Capital Employed (ROCE),-,-,-10.84%,-,-,-,-7.07%,-,-,-,-,-,-
21,Earnings Yield,-2.70%,-2.70%,-4.34%,-4.73%,-4.97%,-5.54%,-4.25%,-4.08%,-,-,-,-,-
22,FCF Yield,-,-9.45%,-14.00%,-18.27%,-21.84%,-27.48%,-29.59%,-,-,-,-,-,
23,Buyback Yield / Dilution,-12.99%,-6.04%,1.66%,3.28%,-61.54%,-24.95%,-45.80%,-6.64%,3.90%,-,-,-,-
24,Total Shareholder Return,-12.99%,-6.04%,1.66%,3.28%,-61.54%,-24.95%,-45.80%,-6.64%,3.90%,-,-,-,-
