,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,4749,7904,5805,3995,4766,8768,1778,1713,-,-,-
1,Short-Term Investments,-,-,50.1,-,150.3,-,200.66,-,160.02,-,-,-
2,Trading Asset Securities,-,-,100.05,51.82,50.37,524.25,226.61,1002,1133,-,-,-
3,Cash & Short-Term Investments,4749,4749,8054,5857,4196,5290,9195,2780,3006,-,-,657.18
4,Cash Growth,13.17%,-10.23%,-12.42%,110.69%,39.59%,-,-,323.00%,-,-,-,-
5,Accounts Receivable,-,1177,956.72,703.55,550.29,344.83,511.85,416.08,589.71,-,-,-
6,Other Receivables,-,39.57,59.34,42.66,21.91,19.23,20.11,22.77,21.86,-,-,-
7,Receivables,-,1216,1016,746.21,572.21,364.06,531.96,438.86,611.57,-,-,-
8,Inventory,-,2271,2060,1925,1984,2462,2463,2405,2103,-,-,-
9,Prepaid Expenses,-,-,12.83,-,3.5,-,14.14,-,11.16,-,-,-
10,Other Current Assets,-,803.87,920.36,1652,282.28,818.85,1102,1094,783.02,-,-,-
11,Total Current Assets,-,9040,12063,10180,7038,8935,13307,6718,6515,-,-,-
12,"Property, Plant & Equipment",-,21151,21073,21736,22285,22034,20527,18010,16437,-,-,-
13,Long-Term Investments,-,978.19,864.7,735.27,328.03,206.34,154.45,153.26,152.07,-,-,-
14,Other Intangible Assets,-,881.54,911.03,937.79,978.14,1013,1038,979.64,992.94,-,-,-
15,Long-Term Deferred Tax Assets,-,-,-,-,-,5.22,6.81,-,-,-,-,-
16,Long-Term Deferred Charges,-,62.89,68.89,61.36,56.86,48.01,52.06,48.82,23.78,-,-,-
17,Other Long-Term Assets,-,947.8,1154,1298,885.15,2525,1649,2584,1738,-,-,-
18,Total Assets,-,33061,36134,34948,31570,34768,36733,28494,25860,-,-,-
19,Accounts Payable,-,2669,2459,2992,2921,4914,4058,4737,3969,-,-,-
20,Accrued Expenses,-,183.19,164.87,86.78,168.94,159.19,136.86,78.84,145.56,-,-,-
21,Short-Term Debt,-,4360,4461,2262,2596,2755,2563,3112,2359,-,-,-
22,Current Portion of Long-Term Debt,-,574.19,632.31,454.16,428.35,330.52,1250,1452,1397,-,-,-
23,Current Portion of Leases,-,-,24.69,-,25.33,-,51.49,-,10.44,-,-,-
24,Current Income Taxes Payable,-,32.98,-,158.24,-,28.53,-,6.68,-,-,-,-
25,Current Unearned Revenue,-,247.85,263.42,462.33,571.73,573.53,614.54,582.28,606.85,-,-,-
26,Other Current Liabilities,-,41.15,48.08,70.84,97.45,166.95,310.43,296.95,309.82,-,-,-
27,Total Current Liabilities,-,8108,8053,6487,6809,8927,8985,10266,8798,-,-,-
28,Long-Term Debt,-,7305,8913,9924,6719,6894,8248,9854,9576,-,-,-
29,Long-Term Leases,-,4.71,1518,1510,1529,1521,1514,26.88,9.97,-,-,-
30,Long-Term Unearned Revenue,-,781.45,859.55,856.75,665.12,673.67,735.19,342.07,369.68,-,-,-
31,Long-Term Deferred Tax Liabilities,-,-,-,-,-,5.22,6.81,-,-,-,-,-
32,Other Long-Term Liabilities,-,-,-,-,-,-,-,1509,-,-,-,-
