,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,34033,23935,26927,18899,26810,20076,36089,22301
1,Revenue Growth (YoY),26.94%,19.22%,-25.39%,-15.25%,-,-,-,-
2,Cost of Revenue,16855,12008,12682,8969,11685,9335,21008,12311
3,Gross Profit,17177,11927,14244,9930,15125,10741,15081,9990
4,"Selling, General & Admin",5772,4774,3613,3314,2341,3897,4784,3418
5,Operating Expenses,5772,4774,3613,3314,2341,3897,4784,3418
6,Operating Income,11405,7153,10631,6616,12785,6844,10296,6572
7,Interest Expense,-7484,-3699,-5289,-3817,-8536,-4302,-7088,-3617
8,Interest & Investment Income,5.4,-,5.1,4.3,183.51,-,31.7,238.06
9,Earnings From Equity Investments,-,-69.4,-,-,-64.86,-32.43,-238.24,-119.12
10,Other Non Operating Income (Expenses),-1296,-1757,-3251,-1659,-2550,-1277,-500,-1607
11,Pretax Income,2630,1628,2097,1145,1818,1232,2502,1466
12,Income Tax Expense,2047,1222,1793,909.88,2138,1093,2180,1090
13,Net Income,583.23,406.51,303.38,235.18,-319.89,139.69,321.93,376.33
14,Net Income to Common,583.23,406.51,303.38,235.18,-319.89,139.69,321.93,376.33
15,Net Income Growth,-,191.00%,-5.76%,-37.51%,-,-,-,-
16,Shares Outstanding (Basic),20,21,20,20,25,20,20,20
17,Shares Outstanding (Diluted),20,21,20,20,25,20,20,20
18,Shares Change (YoY),-18.27%,3.12%,0.52%,-1.05%,-,-,-,-
19,EPS (Basic),29.00,19.82,15.00,12.00,-13.00,7.02,16.00,19.00
20,EPS (Diluted),29.00,19.82,15.00,12.00,-13.00,7.02,16.00,19.00
21,EPS Growth,-,182.20%,-6.25%,-36.84%,-,-,-,-
22,Free Cash Flow,4844,4844,15912,15912,4811,4811,2738,2738
23,Free Cash Flow Per Share,240.88,236.23,786.72,811.89,195.51,241.92,136.07,138.22
24,Gross Margin,50.47%,49.83%,52.90%,52.54%,56.42%,53.50%,41.79%,44.80%
25,Operating Margin,33.51%,29.89%,39.48%,35.01%,47.69%,34.09%,28.53%,29.47%
26,Profit Margin,1.71%,1.70%,1.13%,1.24%,-1.19%,0.70%,0.89%,1.69%
27,Free Cash Flow Margin,14.23%,20.24%,59.09%,84.19%,17.94%,23.96%,7.59%,12.28%
28,EBIT,11405,7153,10631,6616,12785,6844,10296,6572
29,EBIT Margin,33.51%,29.89%,39.48%,35.01%,47.69%,34.09%,28.53%,29.47%
30,Effective Tax Rate,77.82%,75.03%,85.53%,79.46%,117.60%,88.67%,87.13%,74.33%
31,Revenue as Reported,34033,23935,26927,18899,26810,20076,36089,22301
