,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,348000,384000,376000,360000,366000,356000,720000,714000,560000
1,Market Cap Growth,7.87%,7.87%,-47.78%,-49.58%,-34.64%,-,-,-,-
2,Enterprise Value,581069,620007,612007,-,-,-,-,-,-
3,Last Close Price,17400.00,19200.00,18800.00,18000.00,18300.00,17800.00,36000.00,35700.00,28000.00
4,PE Ratio,271.87,251.26,601.42,1004.56,971.05,-,859.24,1022.54,1488.06
5,PS Ratio,4.07,3.70,3.89,3.88,3.59,3.38,9.18,12.23,25.11
6,PB Ratio,0.99,1.09,1.06,1.02,-,1.01,2.04,-,-
7,P/TBV Ratio,1.09,1.09,1.06,1.02,-,1.01,2.04,-,-
8,P/FCF Ratio,9.25,9.25,9.06,8.69,12.95,23.58,69.99,130.40,204.55
9,P/OCF Ratio,9.25,9.25,9.06,8.69,12.95,23.58,69.99,130.40,204.55
10,EV/Sales Ratio,6.78,5.97,6.34,-,-,-,-,-,-
11,EV/EBIT Ratio,21.21,17.32,16.46,-,-,-,-,-,-
12,EV/FCF Ratio,14.94,14.94,14.75,-,-,-,-,-,-
13,Debt / Equity Ratio,0.69,0.69,0.69,0.71,-,0.77,0.77,-,-
14,Debt / FCF Ratio,5.92,5.92,5.92,6.07,-,17.92,26.31,-,-
15,Asset Turnover,0.11,0.08,-,-,0.09,-,-,-,
16,Inventory Turnover,0.08,0.13,0.09,-,-,0.09,-,-,-
17,Quick Ratio,0.42,0.42,0.42,0.40,-,0.39,0.39,-,-
18,Current Ratio,1.19,1.19,1.19,1.21,-,1.20,1.20,-,-
19,Return on Equity (ROE),0.66%,0.46%,-,-,-0.36%,-,-,-,
20,Return on Assets (ROA),2.39%,1.50%,-,-,2.65%,-,-,-,
21,Return on Capital (ROIC),4.76%,2.97%,-,-,5.13%,-,-,-,
22,Return on Capital Employed (ROCE),7.52%,9.78%,10.15%,9.64%,-,9.54%,6.20%,-,-
23,Earnings Yield,0.37%,0.40%,0.17%,0.10%,0.10%,0.15%,0.12%,0.10%,0.07%
24,FCF Yield,10.81%,10.81%,11.03%,11.51%,7.72%,4.24%,1.43%,0.77%,0.49%
25,Buyback Yield / Dilution,-1.04%,18.27%,-3.12%,-0.52%,1.05%,-,-,-,-
26,Total Shareholder Return,-1.04%,18.27%,-3.12%,-0.52%,1.05%,-,-,-,-
