,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,12179,12179,15622,-,10214,10214,-,-
1,Short-Term Investments,410.75,410.75,0.14,-,-,-,-,-
2,Trading Asset Securities,0.14,0.14,-,-,0.14,0.14,-,-
3,Cash & Short-Term Investments,12590,12590,15622,-,10214,10214,-,-
4,Cash Growth,23.26%,23.26%,-,-,-,-,-,-
5,Accounts Receivable,23947,23947,2899,-,3980,3980,-,-
6,Other Receivables,309659,309659,309026,-,308634,308634,-,-
7,Receivables,333606,333606,311925,-,312614,312614,-,-
8,Inventory,536871,536871,549130,-,549092,549092,-,-
9,Prepaid Expenses,52.66,52.66,82.16,-,117.01,117.01,-,-
10,Other Current Assets,103659,103659,104103,-,115165,115165,-,-
11,Total Current Assets,986779,986779,980861,-,987203,987203,-,-
12,"Property, Plant & Equipment",2428,2428,2293,-,2452,2452,-,-
13,Long-Term Investments,22638,22638,22717,-,22717,22717,-,-
14,Long-Term Deferred Tax Assets,327.57,327.57,327.57,-,327.57,327.57,-,-
15,Other Long-Term Assets,183149,183149,187761,-,191402,191402,-,-
16,Total Assets,1195321,1195321,1193959,-,1204101,1204101,-,-
17,Accounts Payable,19495,19495,34147,-,25150,25150,-,-
18,Accrued Expenses,31715,31715,30682,-,31488,31488,-,-
19,Short-Term Debt,241202,241202,230102,-,248767,248767,-,-
20,Current Income Taxes Payable,16150,16150,12415,-,24401,24401,-,-
21,Current Unearned Revenue,88.71,88.71,99.71,-,66.29,66.29,-,-
22,Other Current Liabilities,520447,520447,504053,-,491784,491784,-,-
23,Total Current Liabilities,829098,829098,811500,-,821656,821656,-,-
24,Long-Term Debt,4457,4457,21527,-,21855,21855,-,-
25,Other Long-Term Liabilities,7882,7882,7862,-,7991,7991,-,-
26,Total Liabilities,841438,841438,840889,-,851501,851501,-,-
27,Common Stock,200000,200000,200000,-,200000,200000,-,-
28,Additional Paid-In Capital,99849,99849,99849,-,99849,99849,-,-
29,Retained Earnings,50144,50144,49330,-,48860,48860,-,-
30,Comprehensive Income & Other,3891,3891,3891,-,3891,3891,-,-
31,Shareholders' Equity,353883,353883,353070,-,352600,352600,-,-
32,Total Liabilities & Equity,1195321,1195321,1193959,-,1204101,1204101,-,-
33,Total Debt,245659,245659,251629,-,270622,270622,-,-
34,Net Cash (Debt),-233069,-233069,-236007,-,-260407,-260407,-,-
35,Net Cash Per Share,-11588.83,-11365.01,-11668.83,-,-10582.59,-13094.15,-,-
36,Filing Date Shares Outstanding,20.11,20.51,20.23,19.6,24.61,19.89,20.12,19.81
37,Total Common Shares Outstanding,20.11,20.51,20.23,19.6,24.61,19.89,20.12,19.81
38,Working Capital,157681,157681,169361,-,165547,165547,-,-
39,Book Value Per Share,17596.07,17256.24,17456.74,-,14329.16,17729.90,-,-
40,Tangible Book Value,353883,353883,353070,-,352600,352600,-,-
41,Tangible Book Value Per Share,17596.07,17256.24,17456.74,-,14329.16,17729.90,-,-
42,Buildings,290.7,290.7,-,-,242.61,242.61,-,-
43,Machinery,38466,38466,-,-,38310,38310,-,-
44,Construction In Progress,2240,2240,2240,-,2240,2240,-,-
