,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,819,881,951,1391,1550,1744,2378,4227,7451,15993,8525
1,Market Cap Growth,-36.71%,-36.71%,-38.64%,-20.20%,-34.81%,-58.75%,-68.09%,-73.57%,-12.60%,54.68%,21.00%
2,Enterprise Value,788,-1068,-597,-1941,472,-2271,1365,612,7516,13980,7264
3,Last Close Price,0.47,0.50,0.54,0.79,0.88,0.99,1.35,2.40,3.97,8.38,4.47
4,PE Ratio,4.20,4.52,5.04,4.53,4.20,-3.51,-,4.70,8.26,58.51,-
5,Forward PE,-,6.89,6.89,6.89,6.89,6.89,6.89,6.89,9.50,5.73,5.39
6,PS Ratio,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.08,0.16,1.01,-
7,PB Ratio,0.12,0.13,0.14,0.21,0.22,0.25,0.33,0.55,0.97,2.48,1.29
8,P/TBV Ratio,0.13,0.13,0.15,0.21,0.23,0.26,0.35,0.57,1.02,2.61,1.34
9,P/FCF Ratio,-,-,-,-,-29.76,-,3.22,-,3.91,-,-
10,P/OCF Ratio,-,-,-,-,38.99,-,2.27,-,3.18,-,-
11,EV/Sales Ratio,0.02,-,-,-,0.01,-,0.02,0.01,0.16,0.89,-
12,EV/EBITDA Ratio,1.20,-,-,-,0.51,-,-,0.40,4.97,24.87,-
13,EV/EBIT Ratio,1.35,-,-,-,0.55,-,-,0.44,5.33,26.20,-
14,EV/FCF Ratio,-0.40,-,-,-,-9.06,-,1.85,-,3.95,-,-
15,Debt / Equity Ratio,0.94,0.94,0.92,1.01,0.97,0.99,0.94,0.80,0.81,0.91,0.86
16,Debt / FCF Ratio,-,-,-,-,-130.37,-,9.16,-,3.25,-,-
17,Return on Capital Employed (ROCE),5.68%,5.68%,6.03%,8.04%,8.55%,-2.77%,-,12.66%,14.09%,6.50%,-
18,Earnings Yield,23.81%,22.14%,19.85%,22.08%,23.83%,-28.45%,-17.86%,21.27%,12.11%,1.71%,-
19,FCF Yield,-242.63%,-225.65%,-159.29%,52.66%,-3.36%,40.99%,31.01%,35.10%,25.56%,-11.21%,-
