,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,9149,6246,6861,46622,53132,52780,60697,60697,63600,62456,53220,Upgrade
1,Market Cap Growth,-86.60%,-86.60%,-87.09%,-11.67%,-12.46%,-13.04%,-4.56%,-2.82%,19.50%,84.18%,169.24%,Upgrade
2,Last Close Price,1.04,0.71,0.78,5.30,6.04,6.00,6.90,6.90,7.23,7.10,6.05,Upgrade
3,PE Ratio,14.91,10.18,-,55.77,47.96,142.72,-,-84.78,-,11.13,8.74,Upgrade
4,PS Ratio,1.24,0.85,0.90,6.30,6.73,7.31,8.30,14.09,9.49,5.32,4.42,Upgrade
5,PB Ratio,0.11,0.07,0.08,0.52,0.58,0.55,0.61,0.62,0.67,0.70,0.60,Upgrade
6,P/FCF Ratio,-,-,-0.19,-,-6.93,-,-1.02,-,-,-,-,Upgrade
7,P/OCF Ratio,-,-,-0.19,-,-7.16,-,-1.03,-,-,-,-,Upgrade
8,Debt / Equity Ratio,1.11,1.11,1.80,1.62,1.85,1.26,1.26,1.42,1.80,2.26,1.97,Upgrade
9,Debt / FCF Ratio,-,-,-4.35,-,-22.26,-,-2.09,-,-,-,-,Upgrade
10,Earnings Yield,6.71%,9.83%,11.76%,1.79%,2.08%,0.70%,0.81%,-1.18%,2.25%,8.99%,11.44%,Upgrade
11,FCF Yield,-798.57%,-1169.74%,-529.23%,-15.62%,-14.43%,-55.64%,-97.88%,-253.04%,-156.64%,-157.18%,-147.37%,Upgrade
12,Buyback Yield / Dilution,-,-,-,-,-,-,-,-38.41%,-51.75%,-9.64%,Upgrade,
13,Total Shareholder Return,-,-,-,-,-,-,-,-38.41%,-51.75%,-9.64%,Upgrade,
