,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,415,573,1182,1648,2686,4728,13074,17157,18554,19700,22171
1,Market Cap Growth,-65.19%,-65.19%,-56.00%,-65.15%,-79.45%,-72.44%,-29.54%,-12.91%,-16.32%,-,-
2,Enterprise Value,30995,33602,32632,36041,40997,48906,62782,63120,55941,61342,49623
3,Last Close Price,0.10,0.16,0.33,0.46,0.75,1.32,3.65,4.46,4.83,4.97,5.28
4,PE Ratio,-,-,-,-0.86,-,2.29,3.94,3.64,4.17,4.68,5.17
5,Forward PE,-,0.43,0.43,0.53,0.64,1.26,2.43,3.21,2.94,3.50,3.43
6,PS Ratio,0.01,0.01,0.02,0.03,0.06,0.06,0.14,0.19,0.24,0.30,0.35
7,PB Ratio,0.06,0.03,0.04,0.05,0.08,0.11,0.30,0.42,0.52,0.71,0.95
8,P/TBV Ratio,0.10,0.10,0.16,0.14,0.21,0.31,0.89,1.25,1.43,2.02,2.27
9,P/FCF Ratio,-,-,-,0.28,0.22,0.17,0.60,1.02,2.78,-,-
10,P/OCF Ratio,-,-,-,0.28,0.22,0.17,0.60,1.02,2.76,-,-
11,PEG Ratio,-,-,-,-,-,-,0.14,0.14,0.13,-,-
12,EV/Sales Ratio,0.48,0.52,0.44,0.73,0.92,0.64,0.67,0.70,0.71,0.93,0.78
13,EV/EBITDA Ratio,-,-,-,-54.84,-,8.90,7.70,5.60,5.36,6.29,5.14
14,EV/EBIT Ratio,-,-,-,-52.21,-,8.96,7.74,5.62,5.38,6.31,5.16
15,EV/FCF Ratio,-4.61,-,-,6.10,3.31,1.79,2.88,3.75,8.40,-,-
16,Debt / Equity Ratio,1.06,1.06,0.80,0.73,0.85,0.84,1.13,1.61,1.80,2.08,1.93
17,Debt / FCF Ratio,-,-,-,4.23,2.45,1.32,2.26,3.92,9.66,-,-
18,Return on Capital Employed (ROCE),-,-,-,-1.75%,-,8.68%,11.65%,14.12%,14.29%,15.76%,21.24%
19,Earnings Yield,-1545.22%,-1119.15%,-395.72%,-115.82%,-56.66%,43.58%,25.37%,27.48%,23.96%,21.36%,19.34%
20,FCF Yield,-1617.66%,-1171.68%,-205.08%,358.35%,460.43%,576.84%,166.94%,98.03%,35.91%,-93.43%,-102.82%
21,Dividend Yield,0.00%,-,-,-,-,-,-,11.29%,10.11%,9.68%,9.10%
22,Buyback Yield / Dilution,-1.62%,-3.24%,-,-,2.49%,2.49%,-,-,-1.38%,-19.39%,-17.86%
23,Total Shareholder Return,-1.62%,-3.24%,-,-,2.49%,2.49%,-,11.29%,8.73%,-9.72%,-8.76%
