,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,344.53,591.14,561.02,567.24,393.16,351.88,394.93,344.4,297.82,364.91
1,Short-Term Investments,100,120,130,55,185.69,64.79,3.92,13.93,28.85,30.79
2,Trading Asset Securities,-,-,-,-,-,-,-,-,22.07,-
3,Cash & Short-Term Investments,444.53,711.14,691.02,622.24,578.84,416.67,398.85,358.33,348.75,395.7
4,Cash Growth,-35.67%,14.29%,19.38%,49.34%,45.13%,16.28%,14.37%,-9.44%,-8.29%,17.53%
5,Accounts Receivable,23.52,28.54,47.4,59.75,76.72,110.97,101.86,94.48,86.61,83.74
6,Other Receivables,14.34,8.85,9.94,5.47,15.5,10.64,4.71,7.37,-,8.91
7,Receivables,37.86,38.24,57.34,66.06,92.22,122.79,111.88,106.99,86.61,98.9
8,Inventory,8.09,10.34,10.73,17.26,15.91,18.21,15.09,14.86,11.34,8.78
9,Restricted Cash,0.65,0.65,0.65,0.56,-,0.56,0.62,0.62,0.62,0.62
10,Other Current Assets,1.97,4.95,1.02,11.93,5.38,6.85,10.19,6.69,-,3.58
11,Total Current Assets,493.09,765.31,760.76,718.04,692.36,565.08,536.63,487.49,447.31,507.56
12,"Property, Plant & Equipment",26.88,36.11,40.88,48.7,56.29,69.65,65.98,49.44,49.04,31.68
13,Long-Term Investments,62.8,50.5,48.71,50.13,41.01,117.05,137.37,142.47,107.02,4.15
14,Other Intangible Assets,0.85,0.89,1.14,1.26,1.3,1.48,1.7,1.92,1.7,1.74
15,Long-Term Accounts Receivable,6.4,5.12,5.76,3.85,3.73,4.22,2.59,3.3,3.9,6.05
16,Long-Term Deferred Tax Assets,1.46,1.6,1.59,1.52,1.23,2.5,2.29,2.25,2.56,2.3
17,Other Long-Term Assets,12.21,13.24,17.49,19.6,15.91,3.69,4.58,7.31,9.2,12.56
18,Total Assets,603.68,872.78,876.33,843.1,811.83,763.66,751.13,694.17,620.72,566.04
19,Accounts Payable,36.12,31.55,34.02,47.22,36.31,55.73,57.04,62.15,48.01,50.32
20,Accrued Expenses,9.75,13.52,11.47,14.01,12.81,16.26,15.15,16.61,16.3,27.75
21,Current Portion of Leases,10.93,10.9,13.27,15.21,14.26,11.83,12.94,9.21,9.82,9.84
22,Current Income Taxes Payable,9.61,10.1,9.81,9.04,8.77,9.71,9.58,11.69,9.46,12.21
23,Current Unearned Revenue,19.55,24.29,25.07,32.9,27.4,23.46,35.73,30.86,44.76,23.46
24,Other Current Liabilities,72.28,30.85,52.77,25.33,54.8,26.74,49.04,21.67,47.34,22.65
25,Total Current Liabilities,158.24,121.21,146.41,143.71,154.34,143.72,179.47,152.2,175.68,146.22
26,Long-Term Leases,30.73,38.9,45.38,52.24,52.42,54.07,46.73,34.92,31.86,19.09
27,Long-Term Deferred Tax Liabilities,6.06,11.43,9.79,8.56,6.73,3.35,2.96,3.06,1.95,2.34
28,Total Liabilities,195.02,171.54,201.58,204.51,213.49,201.13,229.15,190.18,209.5,167.64
29,Common Stock,8.88,8.88,8.88,8.88,8.88,8.88,8.88,8.87,8.87,8.87
30,Additional Paid-In Capital,179.33,179.33,179.33,179.33,179.33,179.33,179.35,179.14,179.12,179.12
31,Retained Earnings,355.88,648.46,621.97,585.82,545.56,509.29,468.75,450.93,358.15,345.33
32,Comprehensive Income & Other,-135.43,-135.43,-135.43,-135.43,-135.43,-134.97,-134.99,-134.95,-134.93,-134.93
33,Total Common Equity,408.65,701.23,674.75,638.6,598.34,562.53,521.98,503.99,411.22,398.39
34,Shareholders' Equity,408.65,701.23,674.75,638.6,598.34,562.53,521.98,503.99,411.22,398.39
35,Total Liabilities & Equity,603.68,872.78,876.33,843.1,811.83,763.66,751.13,694.17,620.72,566.04
36,Total Debt,41.66,49.8,58.65,67.44,66.67,65.89,59.66,44.13,41.68,28.93
37,Net Cash (Debt),402.87,661.34,632.37,554.79,512.17,350.78,339.19,314.2,307.06,366.77
38,Net Cash Growth,-36.29%,19.21%,23.47%,58.16%,51.00%,11.64%,10.46%,-14.33%,-11.42%,8.94%
39,Net Cash Per Share,0.40,0.65,0.62,0.55,0.50,0.34,0.33,0.31,0.30,-
40,Filing Date Shares Outstanding,1016,1016,1016,1016,1016,1016,1016,1015,1015,1015
41,Total Common Shares Outstanding,1016,1016,1016,1016,1016,1016,1016,1015,1015,1015
42,Working Capital,334.86,644.11,614.35,574.34,538.02,421.36,357.17,335.29,271.62,361.34
43,Book Value Per Share,0.40,0.69,0.66,0.63,0.59,0.55,0.51,0.50,0.41,0.39
44,Tangible Book Value,407.81,700.35,673.61,637.34,597.05,561.04,520.28,502.08,409.52,396.66
45,Tangible Book Value Per Share,0.40,0.69,0.66,0.63,0.59,0.55,0.51,0.49,0.40,0.39
46,Machinery,-,11.29,-,12.55,-,17.21,-,17.36,-,15.95
47,Leasehold Improvements,-,25.17,-,22.66,-,23.49,-,22.79,-,17.12
