,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,35.37,32.47,33.52,26.09,42.34,36.06,31.64,43,51.7,46.33,78.46,87.84,64.21,146.5,65.54,65.54
1,Other Revenue,-,-0.05,0.05,-,0.14,-0.04,0.04,-,0.22,-0.04,0.04,-,0.11,-0.02,0.01,0.01
2,Revenue,35.37,32.42,33.57,26.09,42.48,36.02,31.69,43,51.92,46.29,78.49,87.84,64.31,146.48,65.55,65.55
3,Revenue Growth (YoY),-16.75%,-9.98%,5.94%,-39.34%,-18.18%,-22.20%,-59.63%,-51.05%,-19.26%,-68.40%,19.74%,34.00%,-,-,-,-
4,Cost of Revenue,-32.65,-3.64,28.02,8.28,51.22,-5.24,18.74,5.96,34.16,-4.3,16.53,7.91,21.35,6.46,13.37,13.37
5,Gross Profit,68.02,36.07,5.55,17.81,-8.74,41.25,12.95,37.04,17.77,50.59,61.97,79.93,42.96,140.02,52.18,52.18
6,"Selling, General & Admin",-72.12,24.39,24.53,23.21,21.41,23.79,20.49,22.16,32.54,13.36,19.9,17.14,20.06,23.26,12.98,12.98
7,Research & Development,-33.76,11.34,11.41,11,7.58,11.9,14.3,11.01,12.62,10.47,8.33,9.68,9.87,12.3,5.96,5.96
8,Other Operating Expenses,194.98,-15.83,9.32,-8.64,8.61,-2,-5.45,-0.5,3.01,-0.91,-0.13,1.04,0.7,1.56,0.82,0.82
9,Operating Expenses,85.57,20.63,48.02,25.6,36.8,33.56,28.48,32.89,47.88,22.24,29.13,29.03,28.59,42.77,19.9,19.9
10,Operating Income,-17.55,15.44,-42.47,-7.79,-45.54,7.7,-15.53,4.15,-30.11,28.35,32.84,50.9,14.37,97.25,32.28,32.28
11,Interest Expense,-32.09,-0.87,-0.93,-0.98,-0.88,-0.87,-0.9,-0.93,-0.97,-1,-1.01,-1.07,-0.87,-0.39,-0.27,-0.27
12,Interest & Investment Income,2.78,9.68,9.28,13.13,10.85,12.49,12.68,13.39,7.45,0.68,0.43,0.51,0.57,0.96,0.43,0.43
13,Currency Exchange Gain (Loss),-,-0.27,0.27,-,0.65,-1.42,1.42,-,2.84,-1.54,1.54,-,-0.81,0.36,-0.18,-0.18
14,Other Non Operating Income (Expenses),-0.59,-0.35,-0.26,0.05,-1.69,1.1,0.25,-0.34,-4.65,2.77,1.92,-0.19,0.6,-0.71,-0.03,-0.03
15,EBT Excluding Unusual Items,-47.45,23.62,-34.11,4.42,-36.61,18.99,-2.07,16.27,-25.44,29.27,35.72,50.14,13.85,97.47,32.22,32.22
16,Gain (Loss) on Sale of Investments,1.8,-,-,-1.8,1.05,0.33,-0.49,-2.64,3.55,-,-,-,-,-0.07,-0.04,-0.04
