,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,668.95,1131,1393,863.7,1648,1691,1486,929.92,1699,-,-,189.39,-,183.59,183.59
1,Trading Asset Securities,-,-,-,-,621.7,258.26,211.42,431.72,966.85,232.88,-,-,-,-,70.07,70.07
2,Cash & Short-Term Investments,668.95,668.95,1131,1393,1485,1906,1902,1918,1897,1932,-,189.39,189.39,-,253.67,253.67
3,Cash Growth,-54.97%,-64.91%,-40.54%,-27.35%,-21.69%,-1.33%,-,912.68%,901.50%,-,-,-25.34%,-,-,-,-
4,Accounts Receivable,-,62.73,58.73,70.84,79.97,77.43,88.24,116.18,134.66,130.58,-,-,96.58,-,27.86,27.86
5,Other Receivables,-,4.91,4.45,5.26,3.45,2.29,6.95,2.04,10.35,2.61,-,-,2.95,-,2.53,2.53
6,Receivables,-,67.64,63.18,76.1,83.42,79.72,95.19,118.22,145,133.19,-,-,99.53,-,30.39,30.39
7,Inventory,-,80.15,78.7,86.59,84.97,99.03,92.83,94.4,77.08,77.29,-,-,37.19,-,23,23
8,Other Current Assets,-,1153,773.85,508.78,416.41,9.72,13.5,19.13,16.29,21.7,-,-,6.11,-,4.25,4.25
9,Total Current Assets,-,1970,2047,2065,2070,2095,2104,2150,2135,2164,-,-,332.22,-,311.3,311.3
10,"Property, Plant & Equipment",-,161.57,151.65,152.32,133.92,127.62,129.41,132.42,134.98,141.05,-,-,137.95,-,34.2,34.2
11,Long-Term Investments,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,18.34,18.46,18.59,18.71,17.87,17.98,18.08,18.18,18.26,-,-,6.71,-,0.1,0.1
13,Long-Term Deferred Tax Assets,-,41.58,37.01,31.72,27.94,32.72,29.26,27.7,18.51,16.49,-,-,12.96,-,11.5,11.5
14,Long-Term Deferred Charges,-,14.25,15.06,15.44,9.69,12.15,8.1,8.41,5.6,4.94,-,-,4.93,-,2.85,2.85
15,Other Long-Term Assets,-,27.92,27.26,27.17,38.45,15.93,16.63,16.8,21.05,18.69,-,-,18.33,-,2.78,2.78
16,Total Assets,-,2244,2296,2310,2299,2301,2305,2353,2333,2363,-,-,513.1,-,362.73,362.73
17,Accounts Payable,-,19.27,6.45,21.47,17.94,17.59,5.09,25.32,20.9,44.02,-,-,23.64,-,5.54,5.54
18,Accrued Expenses,-,7.49,8.13,7.77,11.82,13.02,12.91,18.25,18.03,12.23,-,-,21.21,-,16.51,16.51
19,Current Portion of Leases,-,20.78,20.45,20.37,13.87,10.6,10.14,9.52,13.95,9.71,-,-,8.69,-,3.5,3.5
20,Current Income Taxes Payable,-,1.39,0.51,2.58,1.34,3.23,2.28,4.59,5.01,13.99,-,-,4.52,-,12.94,12.94
21,Current Unearned Revenue,-,5.14,4.65,4.42,4.19,3.52,8.43,3.82,4.81,8.48,-,-,11.61,-,33.44,33.44
22,Other Current Liabilities,-,0.55,46.01,0.74,0.97,1.65,18.52,6.93,1.32,3.36,-,-,2.11,-,15.38,15.38
23,Total Current Liabilities,-,54.62,86.19,57.35,50.12,49.61,57.37,68.41,64.02,91.79,-,-,71.78,-,87.3,87.3
24,Long-Term Leases,-,53.23,57.95,62.29,59.44,60.74,63.7,67.04,69.2,71.83,-,-,78.34,-,13.39,13.39
25,Long-Term Unearned Revenue,-,0.94,0.96,1.41,0.87,0.54,0.54,-,-,-,-,-,-,-,-,-
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,4.69,4.89,5.67,-,2.75,-,-,3.21,-,1.38,1.38
27,Total Liabilities,-,108.78,145.09,121.06,110.43,115.59,126.49,141.12,133.22,166.37,-,-,153.33,-,102.07,102.07
28,Common Stock,-,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,-,-,52.63,-,52.63,52.63
29,Additional Paid-In Capital,-,1960,1957,1954,1950,1945,1942,1941,1940,1938,-,-,208.13,-,204.76,204.76
30,Retained Earnings,-,114.51,123.87,165.23,167.86,170.02,166.51,200.38,190.1,188.92,-,-,98.82,-,3.07,3.07
