,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2410,2318,2595,2253,2606,3893,3511,3613,4700,5333,5299,-,-,-,-,-,-
1,Market Cap Growth,-40.46%,-40.46%,-26.08%,-37.65%,-44.57%,-27.00%,-33.74%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1815,1723,1542,942,771,2059,1682,1771,2850,3483,5197,-,-,-,-,-,-
3,Last Close Price,34.51,33.20,36.98,31.59,36.54,54.59,49.23,50.66,65.25,74.04,73.56,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,212.86,113.67,75.93,58.79,47.61,-,-,-,-,-,-
5,PS Ratio,19.03,18.19,19.29,16.30,19.12,25.41,21.59,20.89,21.39,20.16,19.13,-,-,-,-,-,-
6,PB Ratio,1.13,1.09,1.22,1.05,1.19,1.78,1.61,1.66,2.12,2.42,2.41,-,-,-,-,-,-
7,P/TBV Ratio,1.10,1.10,1.23,1.06,1.20,1.79,1.62,1.67,2.14,2.44,2.43,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-731.80,740.98,-,135.50,235.32,16422.96,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,44.76,49.19,56.30,77.64,105.11,233.85,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,14.24,13.52,11.46,6.82,5.66,13.44,10.35,10.24,12.97,13.17,18.76,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-22.01,-,-,-,-67.49,-,67.23,-,39.59,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-19.19,-,-,-,-49.78,-,80.90,-,41.09,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-305.99,219.21,-,64.93,115.37,9958.42,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.04,-,0.24,0.24,-,0.06,0.06
15,Debt / EBITDA Ratio,-,-,1.03,-,-,-,1.81,-,3.05,-,0.70,-,0.42,1.05,-,0.13,0.13
16,Debt / FCF Ratio,-,-,-,-25.47,23.51,-,2.75,4.81,267.48,-,-,-,-,85.69,-,0.27,0.54
17,Asset Turnover,-,0.06,0.06,0.05,0.07,0.06,0.05,0.07,0.09,-,-,-,-,-,0.72,-,
18,Inventory Turnover,-,-,-,1.36,0.39,2.23,-,0.80,0.28,1.77,-,-,-,-,-,2.33,-
19,Quick Ratio,-,-,13.49,13.86,25.62,31.30,40.03,34.82,29.76,31.89,22.50,-,-,4.03,-,3.25,3.25
20,Current Ratio,-,-,36.07,23.75,36.00,41.30,42.22,36.67,31.42,33.35,23.58,-,-,4.63,-,3.57,3.57
21,Return on Equity (ROE),-6.85%,-1.75%,-1.16%,-0.48%,-0.55%,0.64%,0.22%,2.02%,0.11%,-,-,-,-,-,40.87%,-,
22,Return on Assets (ROA),-,1.70%,-4.61%,-0.85%,-4.95%,0.84%,-1.67%,0.44%,-3.21%,-,-,-,-,-,22.25%,-,
23,Return on Capital (ROIC),-1.99%,1.74%,-4.72%,-0.86%,-5.04%,0.85%,-1.71%,0.45%,-3.30%,-,-,-,-,-,29.07%,-,
24,Return on Capital Employed (ROCE),-,-,-3.67%,-,-,-,-1.50%,-,1.54%,-,5.57%,-,-,39.92%,-,23.44%,11.72%
25,Earnings Yield,-2.27%,-2.36%,-0.82%,-0.37%,-0.04%,0.33%,0.47%,0.88%,1.32%,1.70%,2.10%,-,-,-,-,-,-
26,FCF Yield,-,-1.16%,-0.14%,0.13%,0.62%,0.74%,0.42%,0.01%,-0.63%,-0.30%,-,-,-,-,-,-,
27,Dividend Yield,1.42%,-,-,-,-,0.92%,-,-,-,0.68%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,-,2878.26%,-,-,-,-,-,-,-,30.58%,30.58%
29,Buyback Yield / Dilution,1.52%,5.96%,-5.61%,-5.24%,5.56%,-6.69%,-32.99%,-27.62%,-32.43%,-37.94%,3.63%,-94.64%,-92.93%,-,-,-,-
30,Total Shareholder Return,2.94%,5.96%,-5.61%,-5.24%,5.56%,-5.77%,-32.99%,-27.62%,-32.43%,-37.27%,3.63%,-94.64%,-92.93%,-,-,-,-
